C000001_cs_000	Zaměstnanci v ozbrojených silách
C002324_cs_000	pracovník půjčovny stavebních strojů a zařízení/pracovnice půjčovny stavebních strojů a zařízení
C002324_cs_001	pracovnice půjčovny stavebních strojů a zařízení
C002324_cs_002	pracovník půjčovny stavebních strojů a zařízení
C002324_cs_003	vedoucí půjčovny stavebních strojů a zařízení
C002325_cs_000	vedoucí výroby obalů
C002326_cs_000	úvěrový pracovník/úvěrová pracovnice
C002326_cs_001	úvěrová poradkyně
C002326_cs_002	úvěrová pracovnice
C002326_cs_003	úvěrový poradce
C002326_cs_004	úvěrový pracovník
C002327_cs_000	vedoucí zahradnického týmu
C002327_cs_001	zahradnická mistrová
C002327_cs_002	zahradnický mistr
C002328_cs_000	burzovní makléř/burzovní makléřka
C002328_cs_001	burzovní makléř
C002328_cs_002	burzovní makléřka
C002329_cs_000	obchodník s realitami/obchodnice s realitami
C002329_cs_001	obchodnice s nemovitostmi
C002329_cs_002	obchodnice s realitami
C002329_cs_003	obchodník s nemovitostmi
C002329_cs_004	obchodník s realitami
C002329_cs_005	realitní agent
C002329_cs_006	realitní agentka
C002329_cs_007	realitní makléř
C002329_cs_008	realitní makléřka
C002330_cs_000	konfekcionér klínových řemenů/konfekcionérka klínových řemenů
C002330_cs_001	konfekcionér klínových řemenů
C002330_cs_002	konfekcionérka klínových řemenů
C002330_cs_003	obsluha strojů na konfekci formování klínových řemenů
C002330_cs_004	pracovnice konfekce formování a řezání klínových řemenů
C002330_cs_005	pracovník konfekce formování a řezání klínových řemenů
C002331_cs_000	šéfcukrář/šéfcukrářka
C002331_cs_001	hlavní cukrář
C002331_cs_002	hlavní cukrářka
C002331_cs_003	vrchní cukrář
C002331_cs_004	vrchní cukrářka
C002331_cs_005	šéfcukrář
C002331_cs_006	šéfcukrářka
C002332_cs_000	muzejní registrátor/muzejní registrátorka
C002332_cs_001	muzejní registrátor
C002332_cs_002	muzejní registrátorka
C002332_cs_003	registrátor
C002332_cs_004	registrátorka
C002333_cs_000	obsluha dokončovacího stroje v kožedělném průmyslu
C002334_cs_000	obsluha laminovacích strojů
C002335_cs_000	operátor koksovny/operátorka koksovny
C002335_cs_001	hutní technik operátor
C002335_cs_002	hutní technička operátorka
C002335_cs_003	koksař
C002335_cs_004	koksařka
C002336_cs_000	prodavač ortopedických potřeb/prodavačka ortopedických potřeb
C002336_cs_001	prodavač ortopedických pomůcek
C002336_cs_002	prodavač ortopedických potřeb
C002336_cs_003	prodavačka ortopedických pomůcek
C002336_cs_004	prodavačka ortopedických potřeb
C002337_cs_000	vedoucí stěhovací společnosti
C002337_cs_001	koordinátor stěhovacích služeb
C002337_cs_002	koordinátorka stěhovacích služeb
C002337_cs_003	ředitel stěhovací společnosti
C002337_cs_004	ředitelka stěhovací společnosti
C002338_cs_000	pracovník velína automatických lanových vozidel/pracovnice velína automatických lanových vozidel
C002338_cs_001	pracovnice velína automatických lanových vozidel
C002338_cs_002	pracovník velína automatických lanových vozidel
C002339_cs_000	pracovník ostrahy veřejných akcí/pracovnice ostrahy veřejných akcí
C002339_cs_001	pořádková služba
C002339_cs_002	pracovnice ostrahy veřejných akcí
C002339_cs_003	pracovník ostrahy veřejných akcí
C002340_cs_000	výrobce elektrolyzérů/výrobkyně elektrolyzérů
C002340_cs_001	výrobce betonových elektrolyzérů
C002340_cs_002	výrobce elektrolyzérů
C002340_cs_003	výrobkyně elektrolyzérů
C002341_cs_000	konzultant v oblasti mezikulturní komunikace/konzultantka v oblasti mezikulturní komunikace
C002341_cs_001	interkulturní mediátor
C002341_cs_002	konzultant v oblasti mezikulturní komunikace
C002341_cs_003	konzultantka v oblasti mezikulturní komunikace
C002342_cs_000	úředník pro pomoc obětem/úřednice pro pomoc obětem
C002342_cs_001	pracovnice humanitární pomoci
C002342_cs_002	pracovnice restorativní justice
C002342_cs_003	pracovnice služby pro oběti
C002342_cs_004	pracovník humanitární pomoci
C002342_cs_005	pracovník restorativní justice
C002342_cs_006	pracovník služby pro oběti
C002342_cs_007	úřednice pro pomoc obětem
C002342_cs_008	úředník pro pomoc obětem
C002343_cs_000	učitel v oboru dopravní technologie na odborné škole/učitelka v oboru dopravní technologie na odborné škole
C002343_cs_001	učitel v oboru dopravní technologie
C002343_cs_002	učitel v oboru dopravní technologie na odborné škole
C002343_cs_003	učitelka v oboru dopravní technologie
C002343_cs_004	učitelka v oboru dopravní technologie na odborné škole
C002344_cs_000	kuchař/kuchařka
C002344_cs_001	kuchař
C002344_cs_002	kuchařka
C002344_cs_003	pracovnice kuchyně
C002344_cs_004	pracovník kuchyně
C002345_cs_000	technik údržby letadel/technička údržby letadel
C002345_cs_001	technik údržby letadel
C002345_cs_002	technička údržby letadel
C002346_cs_000	pracovník pro extrakci škrobu/pracovnice pro extrakci škrobu
C002346_cs_001	obsluha výrobny škrobu
C002346_cs_002	pracovnice pro extrakci škrobu
C002346_cs_003	pracovnice provádějící přeměnu škrobu
C002346_cs_004	pracovník pro extrakci škrobu
C002346_cs_005	pracovník provádějící přeměnu škrobu
C002347_cs_000	specialista zahraničního obchodu v oblasti zemědělských strojů a zařízení/specialistka zahraničního obchodu v oblasti zemědělských strojů a zařízení
C002347_cs_001	specialista zahraničního obchodu v oblasti zemědělských strojů a zařízení
C002347_cs_002	specialistka zahraničního obchodu v oblasti zemědělských strojů a zařízení
C002348_cs_000	učitel zemědělství, lesnictví a rybářství na odborné škole/učitelka zemědělství, lesnictví a rybářství na odborné škole
C002348_cs_001	učitel zemědělství, lesnictví a rybářství
C002348_cs_002	učitel zemědělství, lesnictví a rybářství na odborné škole
C002348_cs_003	učitelka zemědělství, lesnictví a rybářství
C002348_cs_004	učitelka zemědělství, lesnictví a rybářství na odborné škole
C002349_cs_000	kožařský specialista technolog / kožařská specialistka technoložka
C002349_cs_001	kožařská specialistka pro řízení výroby
C002349_cs_002	kožařská specialistka technoložka
C002349_cs_003	kožařský specialista pro řízení výroby
C002349_cs_004	kožařský specialista technolog
C002350_cs_000	návrhář desek plošných spojů/návrhářka desek plošných spojů
C002350_cs_001	návrhář desek plošných spojů
C002350_cs_002	návrhářka desek plošných spojů
C002351_cs_000	přednášející v oboru sociální práce
C002351_cs_001	instruktor sociální práce
C002351_cs_002	instruktorka sociální práce
C002351_cs_003	profesor sociální politiky
C002351_cs_004	profesor sociální práce
C002351_cs_005	profesorka sociální politiky
C002351_cs_006	profesorka sociální práce
C002351_cs_007	přednášející v oboru sociální politiky
C002351_cs_008	učitel sociální práce
C002351_cs_009	učitelka sociální práce
C002352_cs_000	obsluha zařízení pro intermodální železniční přepravu
C002352_cs_001	operátor zařízení pro intermodální železniční přepravu
C002352_cs_002	operátorka zařízení pro intermodální železniční přepravu
C002353_cs_000	střihač oděvů/střihačka oděvů
C002353_cs_001	střihač oděvů
C002353_cs_002	střihačka oděvů
C002354_cs_000	ortotik-protetik/ortotička-protetička
C002355_cs_000	právní asistent/právní asistentka
C002355_cs_001	právní asistent
C002355_cs_002	právní asistentka
C002356_cs_000	provozní pracovník kempinku/provozní pracovnice kempinku
C002356_cs_001	pracovnice péče o zákazníky kempinku
C002356_cs_002	pracovník péče o zákazníky kempinku
C002356_cs_003	provozní pracovnice kempinku
C002356_cs_004	provozní pracovnice kempu
C002356_cs_005	provozní pracovník kempinku
C002356_cs_006	provozní pracovník kempu
C002357_cs_000	hardwarový inženýr/hardwarová inženýrka
C002357_cs_001	hardwarová inženýrka
C002357_cs_002	hardwarový inženýr
C002358_cs_000	koordinátor čekací listiny/koordinátorka čekací listiny
C002358_cs_001	koordinátor čekací listiny
C002358_cs_002	koordinátorka čekací listiny
C002359_cs_000	pracovník pro mytí oken/pracovnice pro mytí oken
C002359_cs_001	pracovnice pro mytí oken
C002359_cs_002	pracovník pro mytí oken
C002360_cs_000	výrobce matrací/výrobkyně matrací
C002360_cs_001	výrobce matrací
C002360_cs_002	výrobkyně matrací
C002361_cs_000	operátor krizové linky/operátorka krizové linky
C002361_cs_001	operátkorka linky důvěry
C002361_cs_002	operátor krizové linky
C002361_cs_003	operátor linky důvěry
C002361_cs_004	operátorka krizové linky
C002362_cs_000	environmentální geolog/environmentální geoložka
C002362_cs_001	environmentální geolog
C002362_cs_002	environmentální geoložka
C002363_cs_000	velkoobchodník s porcelánem a skleněnými výrobky/velkoobchodnice s porcelánem a skleněnými výrobky
C002363_cs_001	velkoobchodnice s porcelánem a skleněnými výrobky
C002363_cs_002	velkoobchodník s porcelánem a skleněnými výrobky
C002364_cs_000	kontrolor příručních zavazadel/kontrolorka příručních zavazadel
C002364_cs_001	kontrolor příručních zavazadel
C002364_cs_002	kontrolor zavazadel
C002364_cs_003	kontrolorka příručních zavazadel
C002364_cs_004	kontrolorka zavazadel
C002364_cs_005	pracovnice bezpečnostní kontroly letiště
C002364_cs_006	pracovník bezpečnostní kontroly letiště
C002365_cs_000	asistent správy investičního fondu / asistentka správy investičního fondu
C002365_cs_001	asistent managementu investičního fondu
C002365_cs_002	asistentka managementu investičního fondu
C002366_cs_000	manažer cestovní agentury/manažerka cestovní agentury
C002366_cs_001	manažer cestovní agentury
C002366_cs_002	manažer prodeje zájezdů
C002366_cs_003	manažerka cestovní agentury
C002366_cs_004	manažerka prodeje zájezdů
C002366_cs_005	vedoucí cestovní agentury
C002367_cs_000	operátor plechovkové a lahvové linky/operátorka plechovkové a lahvové linky
C002367_cs_001	kontrolor výroby nápojů
C002367_cs_002	kontrolorka výroby nápojů
C002367_cs_003	operátor nápojové balicí linky
C002367_cs_004	operátor plechovkové a lahvové linky
C002367_cs_005	operátorka nápojové balicí linky
C002367_cs_006	operátorka plechovkové a lahvové linky
C002368_cs_000	obsluha tkalcovských/pletařských strojů
C002369_cs_000	pracovník obsluhující zápustkový kovací buchar/pracovnice obsluhující zápustkový kovací buchar
C002369_cs_001	obsluha zápustkového kovacího bucharu
C002369_cs_002	pracovnice obsluhující zápustkový kovací buchar
C002369_cs_003	pracovnice obsluhující zápustkový kovací lis
C002369_cs_004	pracovník obsluhující zápustkový kovací buchar
C002369_cs_005	pracovník obsluhující zápustkový kovací lis
C002370_cs_000	konstruktér obuvnických střihů/konstruktérka obuvnických střihů
C002370_cs_001	konstruktér obuvnických střihů
C002370_cs_002	konstruktérka obuvnických střihů
C002371_cs_000	inženýr v oboru design kotlů a tlakových nádob/inženýrka v oboru design kotlů a tlakových nádob
C002371_cs_001	designér v oboru kotlů a tlakových nádob
C002371_cs_002	designérka v oboru kotlů a tlakových nádob
C002371_cs_003	inspektor montážní linky pro kotle a tlakové nádoby
C002371_cs_004	inspektorka montážní linky pro kotle a tlakové nádoby
C002371_cs_005	inženýr montážní linky pro kotle a tlakové nádoby
C002371_cs_006	inženýr v oboru design kotlů a tlakových nádob
C002371_cs_007	inženýr v oboru design vybavení
C002371_cs_008	inženýr v oboru kotlů a tlakových nádob
C002371_cs_009	inženýr v oboru technologie kotlů a tlakových nádob
C002371_cs_010	inženýrka montážní linky pro kotle a tlakové nádoby
C002371_cs_011	inženýrka v oboru design kotlů a tlakových nádob
C002371_cs_012	inženýrka v oboru design vybavení
C002371_cs_013	inženýrka v oboru kotlů a tlakových nádob
C002371_cs_014	inženýrka v oboru technologie kotlů a tlakových nádob
C002371_cs_015	konzultant v oboru navrhování kotlů a tlakových nádob
C002371_cs_016	konzultantka v oboru navrhování kotlů a tlakových nádob
C002371_cs_017	obsluha montážní linky pro kotle a tlakové nádoby
C002371_cs_018	odbornice v oboru navrhování technologie kotlů a tlakových nádob
C002371_cs_019	odborník v oboru navrhování technologie kotlů a tlakových nádob
C002371_cs_020	operátor montážní linky pro kotle a tlakové nádoby
C002371_cs_021	operátorka montážní linky pro kotle a tlakové nádoby
C002371_cs_022	poradce v oboru navrhování kotlů a tlakových nádob
C002371_cs_023	poradce v oboru navrhování technologie kotlů a tlakových nádob
C002371_cs_024	poradkyně v oboru navrhování kotlů a tlakových nádob
C002371_cs_025	poradkyně v oboru navrhování technologie kotlů a tlakových nádob
C002371_cs_026	specialista v oboru navrhování kotlů a tlakových nádob
C002371_cs_027	specialistka v oboru navrhování kotlů a tlakových nádob
C002371_cs_028	strojnice montážní linky pro kotle a tlakové nádoby
C002371_cs_029	strojník montážní linky pro kotle a tlakové nádoby
C002372_cs_000	vedoucí zařízení pro zvířata
C002372_cs_001	vedoucí zvířecího útulku
C002372_cs_002	vedoucí útulku pro zvířata
C002372_cs_003	ředitel safari
C002372_cs_004	ředitel zoo
C002372_cs_005	ředitel zoologické zahrady
C002372_cs_006	ředitelka safari
C002372_cs_007	ředitelka zoo
C002372_cs_008	ředitelka zoologické zahrady
C002373_cs_000	plánovač dopravy/plánovačka dopravy
C002373_cs_001	plánovač dopravního provozu
C002373_cs_002	plánovač dopravy
C002373_cs_003	plánovačka dopravního provozu
C002373_cs_004	plánovačka dopravy
C002373_cs_005	referent specialista územního plánování
C002373_cs_006	referentka specialistka územního plánování
C002373_cs_007	urbanista
C002373_cs_008	urbanistka
C002374_cs_000	učitel kadeřnictví na odborné škole/učitelka kadeřnictví na odborné škole
C002374_cs_001	učitel holičství
C002374_cs_002	učitel kadeřnictví na odborné škole
C002374_cs_003	učitel vlasové stylistiky
C002374_cs_004	učitelka holičství
C002374_cs_005	učitelka kadeřnictví na odborné škole
C002374_cs_006	učitelka vlasové stylistiky
C002375_cs_000	vedoucí oddělení likvidace pojistných událostí
C002375_cs_001	ředitel úseku likvidace pojistných událostí
C002375_cs_002	ředitel úseku pojištění a likvidace
C002375_cs_003	ředitelka úseku likvidace pojistných událostí
C002375_cs_004	ředitelka úseku pojištění a likvidace
C002376_cs_000	lodní elektrikář/lodní elektrikářka
C002376_cs_001	lodní elektrikář
C002376_cs_002	lodní elektrikářka
C002377_cs_000	masér – terapeut/masérka – terapeutka
C002377_cs_001	masér
C002377_cs_002	masér – terapeut
C002377_cs_003	masérka
C002377_cs_004	masérka – terapeutka
C002378_cs_000	manažer pro rovné příležitosti a sociální začleňování/manažerka pro rovné příležitosti a sociální začleňování
C002378_cs_001	koordinátor pro rovné příležitosti
C002378_cs_002	koordinátor pro rovné příležitosti v zaměstnání
C002378_cs_003	koordinátor sociálního začleňování
C002378_cs_004	koordinátorka pro rovné příležitosti
C002378_cs_005	koordinátorka pro rovné příležitosti v zaměstnání
C002378_cs_006	koordinátorka sociálního začleňování
C002378_cs_007	manažer pro rovné příležitosti a sociální začleňování
C002378_cs_008	manažerka pro rovné příležitosti a sociální začleňování
C002379_cs_000	košíkář a pletař/košíkářka a pletařka
C002379_cs_001	košíkář a pletař
C002379_cs_002	košíkářka a pletařka
C002380_cs_000	inženýr v oboru nanotechnologie/inženýrka v oboru nanotechnologie
C002380_cs_001	inženýr v oboru nanotechnologie
C002380_cs_002	inženýrka v oboru nanotechnologie
C002380_cs_003	specialista v oblasti nanosystémů
C002380_cs_004	specialistka v oblasti nanosystémů
C002381_cs_000	suflér/suflérka
C002381_cs_001	nápověda
C002381_cs_002	suflér
C002381_cs_003	suflérka
C002382_cs_000	lodní zprostředkovatel/lodní zprostředkovatelka
C002382_cs_001	lodní zprostředkovatel
C002382_cs_002	lodní zprostředkovatelka
C002383_cs_000	sochař/sochařka
C002383_cs_001	sochař
C002383_cs_002	sochařka
C002384_cs_000	vedoucí oddělení
C002384_cs_001	ředitel úseku
C002384_cs_002	ředitelka úseku
C002385_cs_000	výtvarník layoutu animace/výtvarnice layoutu animace
C002385_cs_001	výtvarnice layoutu animace
C002385_cs_002	výtvarník layoutu animace
C002386_cs_000	přepravce živých zvířat/přepravkyně živých zvířat
C002386_cs_001	přepravce živých zvířat
C002386_cs_002	přepravkyně živých zvířat
C002386_cs_003	převozce živých zvířat
C002386_cs_004	převozkyně živých zvířat
C002387_cs_000	technik zpracování mléka/technička zpracování mléka
C002387_cs_001	kontrolor zpracování mléka
C002387_cs_002	kontrolorka zpracování mléka
C002387_cs_003	technik zpracování mléka
C002387_cs_004	technička zpracování mléka
C002388_cs_000	technik biochemik/technička biochemička
C002389_cs_000	mechanik důlních zařízení/mechanička důlních zařízení
C002389_cs_001	mechanik důlních zařízení
C002389_cs_002	mechanička důlních zařízení
C002390_cs_000	asistent inženýra/asistentka inženýra
C002390_cs_001	asistent inženýra
C002390_cs_002	asistentka inženýra
C002391_cs_000	obsluha podélné řezačky
C002391_cs_001	operátor podélné řezačky
C002391_cs_002	operátorka podélné řezačky
C002392_cs_000	čalouník/čalounice
C002392_cs_001	čalounice
C002392_cs_002	čalouník
C002393_cs_000	pivovarník/pivovarnice
C002393_cs_001	pivovarnice
C002393_cs_002	pivovarník
C002393_cs_003	pracovnice pivovaru
C002393_cs_004	pracovník pivovaru
C002394_cs_000	porodní asistent/porodní asistentka
C002394_cs_001	laktační konzultant
C002394_cs_002	laktační konzultantka
C002394_cs_003	laktační poradce
C002394_cs_004	laktační poradkyně
C002394_cs_005	porodní asistent
C002394_cs_006	porodní asistentka
C002395_cs_000	rodinný sociální pracovník/rodinná sociální pracovnice
C002395_cs_001	rodinná sociální pracovnice
C002395_cs_002	rodinný sociální pracovník
C002396_cs_000	koordinátor kompletace obuvi/koordinátorka kompletace obuvi
C002396_cs_001	koordinátor kompletace obuvi
C002396_cs_002	koordinátorka kompletace obuvi
C002397_cs_000	manažer pro dovoz a vývoz porcelánových, keramických a skleněných výrobků/manažerka pro dovoz a vývoz porcelánových, keramických a skleněných výrobků
C002397_cs_001	manažer pro dovoz a vývoz porcelánových, keramických a skleněných výrobků
C002397_cs_002	manažerka pro dovoz a vývoz porcelánových, keramických a skleněných výrobků
C002398_cs_000	stavitel prefabrikovaných dřevostaveb/stavitelka prefabrikovaných dřevostaveb
C002398_cs_001	stavitel prefabrikovaných dřevostaveb
C002398_cs_002	stavitelka prefabrikovaných dřevostaveb
C002399_cs_000	vedoucí kabiny
C002399_cs_001	hlavní letuška
C002399_cs_002	hlavní stevard
C002399_cs_003	vedoucí obsluhujícího palubního personálu
C002399_cs_004	vedoucí týmu letušek
C002399_cs_005	vedoucí týmu palubních průvodčích
C002399_cs_006	vedoucí týmu stevardů
C002400_cs_000	dekoratér dřeva/dekoratérka dřeva
C002400_cs_001	dekoratér dřeva
C002400_cs_002	dekoratérka dřeva
C002401_cs_000	pokladní v kasinu
C002402_cs_000	služba hlídání domu za nepřítomnosti majitele
C002403_cs_000	obsluha hydraulického lisu na výrobu plastových fólií
C002404_cs_000	informátor v železniční dopravě/informátorka v železniční dopravě
C002404_cs_001	informátor v železniční dopravě
C002404_cs_002	informátorka v železniční dopravě
C002404_cs_003	pracovnice informací pro cestující v železniční dopravě
C002404_cs_004	pracovník informací pro cestující v železniční dopravě
C002405_cs_000	konceptuální umělec/konceptuální umělkyně
C002405_cs_001	konceptuální umělec
C002405_cs_002	konceptuální umělkyně
C002406_cs_000	pracovník restaurace rychlého občerstvení/pracovnice restaurace rychlého občerstvení
C002406_cs_001	pracovnice restaurace rychlého občerstvení
C002406_cs_002	pracovnice rychlého občerstvení
C002406_cs_003	pracovník restaurace rychlého občerstvení
C002406_cs_004	pracovník rychlého občerstvení
C002406_cs_005	člen týmu restaurace rychlého občerstvení
C002406_cs_006	členka týmu restaurace rychlého občerstvení
C002407_cs_000	vedoucí sbírek
C002408_cs_000	manažer distribuce strojů, průmyslových zařízení, lodí a letadel/manažerka distribuce strojů, průmyslových zařízení, lodí a letadel
C002408_cs_001	manažer distribuce strojů, průmyslových zařízení, lodí a letadel
C002408_cs_002	manažerka distribuce strojů, průmyslových zařízení, lodí a letadel
C002409_cs_000	mistr montáže letadel/mistrová montáže letadel
C002409_cs_001	mistr montáže letadel
C002409_cs_002	mistrová montáže letadel
C002409_cs_003	vedoucí montáže letadel
C002410_cs_000	designér uživatelského rozhraní/designérka uživatelského rozhraní
C002410_cs_001	designér uživatelského rozhraní
C002410_cs_002	designérka uživatelského rozhraní
C002410_cs_003	inženýr uživatelského rozhraní
C002410_cs_004	inženýrka uživatelského rozhraní
C002410_cs_005	projektant uživatelského rozhraní
C002410_cs_006	projektantka uživatelského rozhraní
C002411_cs_000	vedoucí prodejny sportovních potřeb a outdoor vybavení
C002412_cs_000	učitel jazykové školy/učitelka jazykové školy
C002412_cs_001	učitel jazykové školy
C002412_cs_002	učitelka jazykové školy
C002413_cs_000	operátor datového centra/operátorka datového centra
C002413_cs_001	operátor datového centra
C002413_cs_002	operátorka datového centra
C002413_cs_003	pracovnice datového centra
C002413_cs_004	pracovník datového centra
C002414_cs_000	manažer pro dovoz a vývoz textilních strojů/manažerka pro dovoz a vývoz textilních strojů
C002414_cs_001	manažer pro dovoz a vývoz textilních strojů
C002414_cs_002	manažerka pro dovoz a vývoz textilních strojů
C002415_cs_000	inženýr systémů a sítí odpadních vod/inženýrka systémů a sítí odpadních vod
C002415_cs_001	inženýr systémů a sítí odpadních vod
C002415_cs_002	inženýrka systémů a sítí odpadních vod
C002416_cs_000	prodavač v prodejně masa a masných výrobků/prodavačka v prodejně masa a masných výrobků
C002416_cs_001	prodavač v masně
C002416_cs_002	prodavač v prodejně masa a masných výrobků
C002416_cs_003	prodavač v řeznictví
C002416_cs_004	prodavačka v masně
C002416_cs_005	prodavačka v prodejně masa a masných výrobků
C002416_cs_006	prodavačka v řeznictví
C002417_cs_000	vedoucí knihkupectví
C002418_cs_000	právník/právnička
C002418_cs_001	advokát
C002418_cs_002	advokátka
C002418_cs_003	právnička
C002418_cs_004	právnička v oblasti autorského práva
C002418_cs_005	právnička v oblasti bankovního práva a práva kapitálových trhů
C002418_cs_006	právnička v oblasti dopravního práva
C002418_cs_007	právnička v oblasti duševního vlastnictví
C002418_cs_008	právnička v oblasti dědického práva
C002418_cs_009	právnička v oblasti finančního práva
C002418_cs_010	právnička v oblasti mezinárodního obchodního práva
C002418_cs_011	právnička v oblasti nemovitostního práva
C002418_cs_012	právnička v oblasti obchodního práva a práva obchodních společností
C002418_cs_013	právnička v oblasti patentového práva
C002418_cs_014	právnička v oblasti pojistného práva
C002418_cs_015	právnička v oblasti pracovního práva
C002418_cs_016	právnička v oblasti rodinného práva
C002418_cs_017	právnička v oblasti sociálního práva
C002418_cs_018	právnička v oblasti správního práva
C002418_cs_019	právnička v oblasti stavebního práva
C002418_cs_020	právnička v oblasti zdravotnického práva
C002418_cs_021	právnička v oblasti zemědělského práva
C002418_cs_022	právník
C002418_cs_023	právník v oblasti autorského práva
C002418_cs_024	právník v oblasti bankovního práva a práva kapitálových trhů
C002418_cs_025	právník v oblasti dopravního práva
C002418_cs_026	právník v oblasti dědického práva
C002418_cs_027	právník v oblasti finančního práva
C002418_cs_028	právník v oblasti mezinárodního obchodního práva
C002418_cs_029	právník v oblasti nemovitostního práva
C002418_cs_030	právník v oblasti obchodního práva a práva obchodních společností
C002418_cs_031	právník v oblasti patentového práva
C002418_cs_032	právník v oblasti pojistného práva
C002418_cs_033	právník v oblasti pracovního práva
C002418_cs_034	právník v oblasti práva duševního vlastnictví
C002418_cs_035	právník v oblasti rodinného práva
C002418_cs_036	právník v oblasti sociálního práva
C002418_cs_037	právník v oblasti správního práva
C002418_cs_038	právník v oblasti stavebního práva
C002418_cs_039	právník v oblasti zdravotnického práva
C002418_cs_040	právník v oblasti zemědělského práva
C002419_cs_000	pracovník lihovaru/pracovnice lihovaru
C002419_cs_001	operátor lihovaru
C002419_cs_002	operátorka lihovaru
C002419_cs_003	pracovnice lihovaru
C002419_cs_004	pracovník lihovaru
C002420_cs_000	pedagogický pracovník v oboru antropologie/pedagogická pracovnice v oboru antropologie
C002420_cs_001	docent antropologie
C002420_cs_002	docentka antropologie
C002420_cs_003	pedagogická pracovnice v oboru antropologie
C002420_cs_004	pedagogický pracovník v oboru antropologie
C002420_cs_005	profesor antropologie
C002420_cs_006	profesorka antropologie
C002421_cs_000	obsluha sekačky na štěpky
C002422_cs_000	psycholog zdraví/psycholožka zdraví
C002422_cs_001	psycholog zdraví
C002422_cs_002	psycholožka zdraví
C002423_cs_000	učitel pro osoby se speciálními vzdělávacími potřebami/učitelka pro osoby se speciálními vzdělávacími potřebami
C002423_cs_001	učitel pro osoby se speciálními vzdělávacími potřebami
C002423_cs_002	učitelka pro osoby se speciálními vzdělávacími potřebami
C002424_cs_000	řidič přepravy pacientů/řidička přepravy pacientů
C002424_cs_001	řidič dopravy nemocných a raněných
C002424_cs_002	řidič přepravy pacientů
C002424_cs_003	řidič vozidel zdravotnické záchranné služby
C002424_cs_004	řidička dopravy nemocných a raněných
C002424_cs_005	řidička přepravy pacientů
C002424_cs_006	řidička vozidel zdravotnické záchranné služby
C002425_cs_000	hrnčíř/hrnčířka
C002425_cs_001	hrnčíř
C002425_cs_002	hrnčířka
C002426_cs_000	krejčí/krejčová
C002426_cs_001	krejčová
C002426_cs_002	krejčí
C002427_cs_000	instalatér plynárenských zařízení/instalatérka plynárenských zařízení
C002427_cs_001	instalatér plynárenských zařízení
C002427_cs_002	instalatérka plynárenských zařízení
C002427_cs_003	montér plynárenských zařízení
C002427_cs_004	montérka plynárenských zařízení
C002427_cs_005	opravář plynárenských zařízení
C002427_cs_006	opravářka plynárenských zařízení
C002428_cs_000	kožařský technik plánovač výroby, zásobovač/kožařská technička plánovačka výroby, zásobovačka
C002428_cs_001	kožařská technička plánovačka výroby, zásobovačka
C002428_cs_002	kožařský technik plánovač výroby, zásobovač
C002429_cs_000	bodový svářeč
C002429_cs_001	obsluha bodové svářečky
C002429_cs_002	pracovnice obsluhující bodovou svářečku
C002429_cs_003	pracovník obsluhující bodovou svářečku
C002430_cs_000	výrobce klavírů/výrobkyně klavírů
C002430_cs_001	mechanik klavírů
C002430_cs_002	mechanička klavírů
C002430_cs_003	výrobce klavírů
C002430_cs_004	výrobce pián
C002430_cs_005	výrobkyně klavírů
C002430_cs_006	výrobkyně pián
C002431_cs_000	vedoucí prodejny oděvů
C002431_cs_001	vedoucí prodejny s oděvy
C002432_cs_000	seřizovač a obsluha frézky/seřizovačka a obsluha frézky
C002432_cs_001	seřizovač a obsluha frézky
C002432_cs_002	seřizovačka a obsluha frézky
C002433_cs_000	aktivista/aktivistka
C002433_cs_001	aktivista
C002433_cs_002	aktivistka
C002434_cs_000	správce lékařské dokumentace/správkyně lékařské dokumentace
C002434_cs_001	správce lékařské dokumentace
C002434_cs_002	správkyně lékařské dokumentace
C002435_cs_000	vědecký pracovník v oboru thanatologie/vědecká pracovnice v oboru thanatologie
C002435_cs_001	výzkumnice v oboru thanatogie
C002435_cs_002	výzkumník v oboru thanatogie
C002436_cs_000	pivní someliér/pivní someliérka
C002436_cs_001	odbornice na pivo a jeho podávání
C002436_cs_002	odborník na pivo a jeho podávání
C002436_cs_003	pivní someliér
C002436_cs_004	pivní someliérka
C002436_cs_005	someliér piva
C002436_cs_006	someliérka piva
C002437_cs_000	technik větrných turbín/technička větrných turbín
C002437_cs_001	technik větrných turbín
C002437_cs_002	technička větrných turbín
C002437_cs_003	údržbář větrných turbín
C002437_cs_004	údržbářka větrných turbín
C002438_cs_000	specialista zahraničního obchodu v oblasti farmaceutických výrobků/specialistka zahraničního obchodu v oblasti farmaceutických výrobků
C002438_cs_001	specialista zahraničního obchodu v oblasti farmaceutických výrobků
C002438_cs_002	specialistka zahraničního obchodu v oblasti farmaceutických výrobků
C002439_cs_000	vedoucí železničního provozu
C002439_cs_001	vedoucí úseku železniční dopravy
C002440_cs_000	specialista zakládání a údržby zeleně ve vnitřních prostorách/specialistka zakládání a údržby zeleně ve vnitřních prostorách
C002440_cs_001	odbornice na zeleň v budovách
C002440_cs_002	odborník na zeleň v budovách
C002440_cs_003	specialista na zeleň ve vnitřních prostorách
C002440_cs_004	specialista zakládání a údržby zeleně ve vnitřních prostorách
C002440_cs_005	specialistka na zeleň ve vnitřních prostorách
C002440_cs_006	specialistka zakládání a údržby zeleně ve vnitřních prostorách
