Q000001	Кметски наместник, община
Q001936	Ръководител движение подземна метростанция в метрополитен
Q001937	Метролог
Q001938	Техник, криминалист
Q001939	Специалист, маркшайдер
Q001940	Специалист, минно планиране
Q001941	Отговорник/Специалист, техническа поддръжка
Q001942	Техник, боядисване на самолети
Q001943	Инспектор технически надзор, съоръжения с повишена опасност
Q001944	Специалист с контролни функции в кариери
Q001945	Специалист с контролни функции в мина
Q001946	Началник смяна, подземен минодобив
Q001947	Началник хвостохранилище
Q001948	Заместник-директор, мина
Q001949	Специалист с контролни функции, сглобяване и монтаж
Q001950	Специалист с контролни функции, преработваща промишленост
Q001951	Специалист с контролни функции, довършителни дейности
Q001952	Координатор, преработваща промишленост
Q001953	Специалист с контролни функции, автоматична поточна линия
Q001954	Диспечер, газопреносна/газоразпределителна мрежа
Q001955	Оператор, газопреносна/газоразпределителна мрежа
Q001956	Началник смяна
Q001957	Инспектор, технически надзор
Q001958	Технически ръководител, водоснабдяване и канализация
Q001959	Техник поддръжка на сгради и машини
Q001960	Координатор по безопасност и здраве
Q001961	Организатор, група в строителството
Q001962	Началник смяна, топлоцентрала
Q001963	Диспечер, електроразпределение
Q001964	Диспечер, топлопренос
Q001965	Оператор, водна турбина
Q001966	Оператор, газгенератор (газгенераторчик)
Q001967	Оператор, генератор
Q001968	Оператор, мрежова топлофикационна станция
Q001969	Оператор, парна турбина
Q001970	Оператор, сушилни пещи и барабани
Q001971	Оператор, технологичен пулт в електроцентрала
Q001972	Оператор, химически контрол
Q001973	Оператор, възлова станция
Q001974	Оператор, газова електроцентрала
Q001975	Оператор, главно електротабло (електроцентрала)
Q001976	Оператор, електрическа подстанция
Q001977	Оператор, парогенератор (производство на електроенергия)
Q001978	Оператор, слънчева електроцентрала
Q001979	Оператор, спомагателни съоръжения в електроцентрала
Q001980	Оператор, токоизправителна станция
Q001981	Оператор, хидроелектроцентрала
Q001982	Оператор, ядрен реактор
Q001983	Помощник-оператор, генератор
Q001984	Помощник-оператор, парна турбина
Q001985	Помощник-оператор, парогенератор
Q001986	Енергетик
Q001987	Диспечер, водоразпределителна мрежа
Q001988	Оператор, пречиствателна станция
Q001989	Оператор, съоръжения на бент
Q001990	Оператор, вентилационно оборудване
Q001991	Оператор, воднопреработвателна станция
Q001992	Оператор, воднопречиствателна станция
Q001993	Оператор, компресор
Q001994	Оператор, пещ за горене на отпадъци (изхвърляне на отпадъчни материали)
Q001995	Оператор, помпена станция
Q001996	Оператор на дезинфекционна рамка
Q001997	Оператор, пещи (химически и други сродни на тях процеси)
Q001998	Оператор, пещи за изпичане (химически и други сродни на тях производства)
Q001999	Оператор, автоклав (химически и други сродни на тях процеси)
Q002000	Оператор, горелка (химически и други сродни на тях процеси)
Q002001	Оператор, калцинатор (химически и други сродни на тях процеси)
Q002002	Оператор, контрол на температурата и степента на изтегляне
Q002003	Оператор, котел (химически и други сродни на тях процеси)
Q002004	Оператор, нагревател/бойлер (химически и други сродни на тях процеси)
Q002005	Оператор, синтеруване/спичане (химически и сродни на тях процеси)
Q002006	Оператор, понополиурстанчик
Q002007	Оператор, термична обработка (химически и други сродни на тях процеси)
Q002008	Оператор, реторта (химически и други сродни на тях процеси)
Q002009	Оператор, сушилня (химически и други сродни на тях процеси)
Q002010	Оператор, пещ (производство на кокс)
Q002011	Оператор, преработка на фенол
Q002012	Оператор, производство на изкуствени торове
Q002013	Оператор, производство на кокс
Q002014	Оператор, уред за избелване (химическа промишленост)
Q002015	Оператор, хладилна система
Q002016	Машинен оператор, производство на лед
Q002017	Оператор, дестилатор (рафиниране на нефт и природен газ)
Q002018	Оператор, помпена станция (нефт и природен газ)
Q002019	Оператор, рафинерия (нефт и природен газ)
Q002020	Оператор, уред за обработка и манипулация (рафиниране на нефт и природен газ)
Q002021	Оператор, уред за обезсеряване (рафиниране на нефт и природен газ)
Q002022	Оператор, уред за размесване (рафиниране на нефт и природен газ/етил)
Q002023	Оператор, уред за съединяване и смесване (рафиниране на нефт и природен газ)
Q002024	Оператор реактор, преработваща промишленост
Q002025	Опрератор компресор, преработване на нефт/природен газ
Q002026	Диспечер, нефтопроводи
Q002027	Оператор, електродъгова пещ за облагородяване
Q002028	Оператор, конвертор
Q002029	Оператор, пещ за облагородяване
Q002030	Оператор, пещи за бъркане на топено желязо
Q002031	Оператор, машина за коксосортировка
Q002032	Оператор-галтовчик
Q002033	Оператор, валцова машина
Q002034	Оператор, линия за елуксация
Q002035	Оператор, машина за леене
Q002036	Оператор, машина за нарязване на прокат
Q002037	Оператор, машина за обработка на фолио
Q002038	Оператор, пещи за повторно загряване (метал)
Q002039	Оператор, пещи за топене на метал
Q002040	Оператор, полир-машина
Q002041	Настройчик, робот
Q002042	Старши оператор с контролни функции, производство на целулоза
Q002043	Оператор с контролни функции, производство на целулоза
Q002044	Оператор, автоматизирана монтажна линия
Q002045	Оператор, монтажен конвейер
Q002046	Оператор, манипулатор
Q002047	Оператор, робот
Q002048	Оператор, обработване (радиоактивни отпадъци)
Q002049	Диспонент, производство на автомобилни компоненти
Q002050	Техник, биология
Q002051	Техник, биофизика
Q002052	Техник, биохимия
Q002053	Техник, ботаника
Q002054	Техник, генетика
Q002055	Техник, екология
Q002056	Техник, зоология
Q002057	Техник, серология
Q002058	Препаратор
Q002059	Техник, агрономия
Q002060	Техник, агрохимия и растителна защита
Q002061	Техник, градинарство
Q002062	Техник, изследване на посевите
Q002063	Техник, овощарство
Q002064	Техник, почвознание
Q002065	Техник, технически култури
Q002066	Техник, аграрни култури
Q002067	Техник, земеделие
Q002068	Земеделски демонстратор
Q002069	Специалист, земеделие
Q002070	Техник, лесничейство
Q002071	Специалист, лесовъдство
Q002072	Втори механик, кораб
Q002073	Трети механик, кораб
Q002074	Четвърти механик, кораб
Q002075	Електромеханик, кораб
Q002076	Корабен електротехник
Q002077	Девиатор
Q002078	Механик, плаващо техническо средство
Q002079	Електротехник, плаващо техническо средство
Q002080	Диспечер, корабоплаване
Q002081	Инспектор картно бюро, корабоплаване
Q002082	Технолог, търговска експлоатация на корабите
Q002083	Вахтен механик
Q002084	Капитан на катер
Q002085	Капитан, кораб
Q002086	Капитан, кораб (вътрешни водни пътища)
Q002087	Капитан, плаващо техническо средство
Q002088	Капитан, пристанище
Q002089	Капитан, яхта
Q002090	Капитан на влекач
Q002091	Помощник-капитан
Q002092	Втори помощник-капитан
Q002093	Трети помощник-капитан
Q002094	Вахтен помощник-капитан
Q002095	Лоцман
Q002096	Сдатъчен капитан
Q002097	Старши помощник-капитан
Q002098	Старшина, кораб
Q002099	Старшина, шлеп/катер
Q002100	Щурман
Q002101	Офицер по сигурността
Q002102	Шкипер
Q002103	Корабоводител
Q002104	Водач на несамоходен кораб
Q002105	Водач на малък кораб в местно плаване
Q002106	Водач на малък кораб за спорт и развлечение по вътрешни водни пътища
Q002107	Командир на моторен катер
Q002108	Главен пилот
Q002109	Летец-борден радист
Q002110	Летец-втори пилот
Q002111	Летец-борден инженер
Q002112	Летец-пилот
Q002113	Летец-пилот, изпитател
Q002114	Летец-пилот, инспектор
Q002115	Летец-пилот, инструктор
Q002116	Летец-пилот, командир/капитан на самолет
Q002117	Летец-пилот, хидроплан
Q002118	Летец-пилот, хеликоптер
Q002119	Летец-щурман
Q002120	Летец-пилот, командир на хеликоптер
Q002121	Летец-борден оператор
Q002122	Летец-пилот, командир на звено
Q002123	Авиодиспечер, въздушно обслужване
Q002124	Специалист, НОТАМ
Q002125	Асистент-координатор на полети
Q002126	Координатор, въздушно обслужване
Q002127	Координатор, управление на въздушното движение
Q002128	Ръководител полети, отговорник по безопасност
Q002129	Ръководител, полети
Q002130	Специалист координатор, използване на въздушното пространство
Q002131	Организатор на полетите
Q002132	Отговорник, безопасност на полетите
Q002133	Авиодиспечер
Q002134	Авиомеханик
Q002135	Авиомоторист
Q002136	Авиотехник
Q002137	Техник, сигурност на въздушния транспорт
Q002138	Лаборант, медицински радиографни съоръжения
Q002139	Лаборант, анатомия
Q002140	Лаборант, клетки
Q002141	Лаборант, кръвни банки
Q002142	Лаборант, патология
Q002143	Лаборант, препаратор
Q002144	Лаборант, тъкан
Q002145	Лаборант, фармакология
Q002146	Лаборант, физиология
Q002147	Лаборант, хематология
Q002148	Лаборант, хистология
Q002149	Медицински лаборант
Q002150	Помощник-фармацевт
Q002151	Механик, изкуствени крайници
Q002152	Производител, изкуствени крайници (протези)
Q002153	Производител, ортопедически приспособления
Q002154	Зъботехник
Q002155	Ортопедичен техник
Q002156	Билкар
Q002157	Биоенерго терапевт
Q002158	Практикуващ, неконвенционални методи за благоприятно въздействие върху индивидуалното здраве
Q002159	Природолечител
Q002160	Народен лечител
Q002161	Ветеринарен ваксинатор
Q002162	Ветеринарен осеменител
Q002163	Ветеринарен техник (фелдшер)
Q002164	Здравен медиатор
Q002165	Техник, оптик
Q002166	Инспектор, здраве и безопасност при работа
Q002167	Инспектор, трудова медицина
Q002168	Инспектор по обществено здраве
Q002169	Инспектор по обществено здраве, специализант
Q002170	Инспектор по обществено здраве, със специалност в системата на здравеопазването
Q002171	Парамедик
Q002172	Съветник, семейно планиране
Q002173	Културтерапевт
Q002174	Брокер, финанси
Q002175	Брокер, ценни книжа
Q002176	Брокер, акции
Q002177	Брокер, обмен на чужда валута
Q002178	Дилър, ценни книжа
Q002179	Дилър, банка
Q002180	Дилър, борса
Q002181	Продавач, облигации
Q002182	Продавач, ценни книжа
Q002183	Организатор, сделки с ценни книжа
Q002184	Старши банков служител/ служител, финансова/платежна институция
Q002185	Супервайзор, банка/финансова/платежна институция
Q002186	Инспектор, банка/финансова/платежна институция
Q002187	Консултант, управление на просрочията
Q002188	Консултант, управление на вземанията
Q002189	Счетоводител, оперативен
Q002190	Приложен специалист, математика
Q002191	Приложен специалист, статистика
Q002192	Приложен специалист, актюерство
Q002193	Инспектор, иск
Q002194	Инспектор, осигурителен иск
Q002195	Оценител, недвижимо имущество
Q002196	Оценител, иск
Q002197	Оценител, осигуровка
Q002198	Агент, осигуряване
Q002199	Застрахователен агент
Q002200	Застрахователен брокер
Q002201	Главен специалист, застрахователна дейност
Q002202	Регионален застрахователен представител
Q002203	Регионален застрахователен координатор
Q002204	Организатор аварии и застраховки
Q002205	Търговски сътрудник
Q002206	Търговски агент
Q002207	Търговски помощник
Q002208	Търговски представител
Q002209	Търговски пътник
Q002210	Консултант (промотьор), продажби
Q002211	Дистрибутор
Q002212	Търговец на вино
Q002213	Агент-купувач
Q002214	Агент, снабдяване
Q002215	Специалист, доставки
Q002216	Организатор корабно снабдяване
Q002217	Търговски посредник
Q002218	Брокер, спедиторски услуги
Q002219	Комисионер, кораби/пратки
Q002220	Комисионер, пътувания
Q002221	Комисионер, стоки
Q002222	Агент, експедиция на товари
Q002223	Агент, чистотата на товарите
Q002224	Корабен брокер
Q002225	Организатор, каргорекламации
Q002226	Организатор склад под митнически контрол
Q002227	Митнически брокер
Q002228	Отговорник митнически брокери
Q002229	Професионален консултант
Q002230	Мениджър на случай/ Кейс мениджър
Q002231	Консултант, подкрепена заетост
Q002232	Агент, недвижими имоти
Q002233	Брокер, недвижими имоти
Q002234	Агент, управление на собственост
Q002235	Търговец, недвижими имоти
Q002236	Специалист, изложби и панаири
Q002237	Специалист, търговия
Q002238	Специалист, продажби
Q002239	Специалист, маркетинг и реклама
Q002240	Рекламен агент
Q002241	Агент, литературен
Q002242	Агент, музикални представления
Q002243	Агент, спорт
Q002244	Агент, театрален
Q002245	Представител, бизнес услуги
Q002246	Продавач, бизнес услуги
Q002247	Отговорник телефонни продажби
Q002248	Отговорник куриери
Q002249	Отговорник диспечери, куриерски услуги
Q002250	Организатор, куриерска дейност
Q002251	Организатор, реклама
Q002252	Организатор, маркетинг
Q002253	Организатор, работа с клиенти
Q002254	Организатор, продажби и реклама
Q002255	Технолог, приемане на поръчки
Q002256	Специалист, авторски права
Q002257	Агент, патенти
Q002258	Мениджър екип, телефонен център за услуги
Q002259	Мениджър екип, контактен център
Q002260	Офис мениджър
Q002261	Специалист с контролни функции, въвеждане на данни
Q002262	Специалист с контролни функции, деловодство и архив
Q002263	Специалист с контролни функции, човешки ресурси
Q002264	Административен секретар
Q002265	Асистент, кореспонденция
Q002266	Администратор по клинични изпитвания
Q002267	Организатор
Q002268	Специалист
Q002269	Изпълнителен секретар, офис
Q002270	Секретар на управителен съвет
Q002271	Асистент, офис
Q002272	Квестор
Q002273	Медицински секретар
Q002274	Граничен ветеринарен инспектор
Q002275	Инспектор, митнически документи
Q002276	Старши митнически инспектор
Q002277	Главен митнически специалист
Q002278	Младши митнически специалист
Q002279	Старши митнически специалист
Q002280	Митнически дознател
Q002281	Главен специалист, Сметна палата
Q002282	Специалист, Сметна палата
Q002283	Старши специалист, Сметна палата
Q002284	Финансов ревизор
Q002285	Старши данъчен инспектор
Q002286	Старши финансов ревизор
Q002287	Главен данъчен инспектор
Q002288	Главен финансов ревизор
Q002289	Инспектор, трудови злополуки
Q002290	Инспектор, пенсионен архив
Q002291	Инспектор, пенсионен
Q002292	Инспектор, социално-осигурителни рискове
Q002293	Сътрудник, социално подпомагане
Q002294	Сътрудник, социалноосигурителен иск
Q002295	Специалист, социално осигуряване
Q002296	Контрольор, пенсии
Q002297	Социален работник, администрация
Q002298	Служител, паспортна служба
Q002299	Служител, разрешителни за строеж
Q002300	Служител, разрешителни за осъществяване на икономическа дейност
Q002301	Агент, справки в полиция
Q002302	Полицейски командир
Q002303	Разузнавач
Q002304	Районен инспектор
Q002305	Старши инспектор, полиция
Q002306	Старши инспектор, противопожарна охрана
Q002307	Старши полицейски командир
Q002308	Старши разузнавач
Q002309	Дактилоскопист
Q002310	Оперативен работник
Q002311	Стажант, министерство и друго специализирано бюджетно звено
Q002312	Специалист, управление при кризи и отбранително мобилизационна подготовка
Q002313	Специалист, организиране, нормиране и отчитане на труда
Q002314	Организатор, отдел вътрешен контрол
Q002315	Специалист, държавна администрация
Q002316	Специалист, кадастрален план
Q002317	Организатор по труда
Q002318	Консултант, държавна администрация
Q002319	Инспектор, гражданска защита
Q002320	Инспектор подготовка на кадри
Q002321	Инспектор, общественото хранене
Q002322	Инспектор, търговия
Q002323	Инспектор, услуги
Q002324	Инспектор, цени
Q002325	Инспектор, ветеринарномедицински служби
Q002326	Младши специалист
Q002327	Старши специалист
Q002328	Технически сътрудник към политическия кабинет на заместник министър-председател
Q002329	Технически сътрудник към политическия кабинет на министър-председателя
Q002330	Главен специалист
Q002331	Дипломатически куриер
Q002332	Изпълнителен секретар, консулска служба
Q002333	Стажант-аташе, дипломатическо представителство
Q002334	Трети секретар, дипломатическо представителство
Q002335	Завеждащ, нотариална служба
Q002336	Адвокатски сътрудник
Q002337	Консултант-юрист, регионална структура на организация на работниците и служителите
Q002338	Помощник-частен съдебен изпълнител
Q002339	Експерт - юрист, организация на работниците и служителите
Q002340	Стажант-сътрудник, социални дейности
Q002341	Сътрудник за социална работа в отдел "Социална закрила"
Q002342	Сътрудник, социални дейности (лица с аморално поведение)
Q002343	Сътрудник, социални дейности в социална услуга
Q002344	Сътрудник, социални дейности (лица, извършили престъпления)
Q002345	Сътрудник, социални дейности (община)
Q002346	Сътрудник, социални дейности (в социално предприятие)
Q002347	Сътрудник, социални дейности (семейно планиране)
Q002348	Сътрудник, социално подпомагане и ориентиране (затвор)
Q002349	Сътрудник, работа със зависимости
Q002350	Домашен майстор
Q002351	Младежки работник
Q002352	Експерт от опит, социално включване
Q002353	Евангелист
Q002354	Енорийски работник
Q002355	Послушник/послушница
Q002356	Жокей
Q002357	Арбитър, спортен
Q002358	Помощник-треньор
Q002359	Ски инструктор
Q002360	Стартьор
Q002361	Инструктор, плуване
Q002362	Служител, спортна организация
Q002363	Организатор, спортни прояви и първенства
Q002364	Инструктор, спортен
Q002365	Старши треньор
Q002366	Главен треньор
Q002367	Инструктор, безмоторно летене
Q002368	Инструктор, парашутизъм
Q002369	Инструктор, управление на платноход
Q002370	Фитнес инструктор
Q002371	Инструктор, езда
Q002372	Спортен аниматор
Q002373	Фотограф
Q002374	Фоторепортер
Q002375	Въздушна фотография
Q002376	Научна фотография
Q002377	Художествена фотография
Q002378	Аранжор, витрини/щандове
Q002379	Декоратор, сценичен
Q002380	Декоратор, витрини
Q002381	Интериорен дизайнер
Q002382	Сценичен дизайнер
Q002383	Дизайнер в музей/художествена галерия
Q002384	Декоратор, изложби/музеи и галерии
Q002385	Помощник-реставратор
Q002386	Главен готвач
Q002387	Главен сладкар
Q002388	Статист
Q002389	Татуист
Q002390	Реквизитор
Q002391	Каскадьор
Q002392	Първи асистент, художник на костюми
Q002393	Първи асистент, режисьор по монтажа
Q002394	Втори асистент, режисьор
Q002395	Втори асистент, режисьор по монтажа
Q002396	Определител, копирни светлини
Q002397	Осветител
Q002398	Скриптер
Q002399	Художник, изпълнител на кукли
Q002400	Художник, контур
Q002401	Художник, надписи
Q002402	Монтажист, негативи
Q002403	Монтажист, кино, видео, телевизия
Q002404	Суфльор
Q002405	Сценограф
Q002406	Първи асистент на сценографа
Q002407	Оператор, периферни устройства
Q002408	Компютърен оператор
Q002409	Техник, компютърно програмиране
Q002410	Компютърен техник, бази данни
Q002411	Компютърен техник, анализи на компютърни системи
Q002412	Компютърен аналитик, поддръжка на софтуер
Q002413	Консултант, поддръжка на софтуер
Q002414	Оператор, инсталиране софтуер
Q002415	Оператор, подпомагане на потребители
Q002416	Специалист, интернет поддръжка
Q002417	Специалист, поддръжка приложения
Q002418	Приемчик в сервизен отдел
Q002419	Системен оператор
Q002420	Системен контрольор
Q002421	Техник, уеб сайт
Q002422	Мениджър, уеб сайт
Q002423	Консултант, управление на уеб сайт
Q002424	Координатор, управление на уеб сайт
Q002425	Технически изпълнител, кино
Q002426	Звукотехник
Q002427	Киномеханик
Q002428	Оператор, анимационен филм
Q002429	Оператор, пулт за художествено осветление
Q002430	Оператор, аудиосъоръжения
Q002431	Оператор, дублиращи съоръжения
Q002432	Оператор, електронна аудио-визуална техника
Q002433	Оператор, записващи устройства
Q002434	Оператор, камера
Q002435	Кинематограф
Q002436	Оператор, камера (телевизия)
Q002437	Оператор, микрофон
Q002438	Оператор, студийно устройство
Q002439	Оператор субтитри
Q002440	Първи асистент, оператор
Q002441	Втори асистент, оператор
Q002442	Режисьор пулт, аудиовизия
Q002443	Техник, операторска техника
Q002444	Техник, снимачна техника
Q002445	Техник, копирна и проявителна техника във филмова лаборатория
Q002446	Техник, цветни анализатори във филмова лаборатория
Q002447	Тоноператор
Q002448	Тонтехник
Q002449	Видеомонтажист
Q002450	Първи асистент, звукорежисьор
Q002451	Специалист, звукови ефекти
Q002452	Сенситометрист
Q002453	Асистент продукция, телевизия
Q002454	Организатор производство, телевизия
Q002455	Стажант-музикален редактор
Q002456	Музикален аранжор
Q002457	Музикален оформител
Q002458	Музикален редактор
Q002459	Тонрежисьор
Q002460	Техник, нискочестотна техника
Q002461	Техник, полупроводникова техника
Q002462	Техник, радиотехника и телевизионна техника
Q002463	Техник, релейна защита и автоматика
Q002464	Техник, спътникова техника
Q002465	Техник, съобщителна техника
Q002466	Техник, телекомуникации
Q002467	Техник, радиовръзки в метрополитен
Q002468	Техник-механик, АРС на подвижния състав на метрополитен
Q002469	Оператор, морзов код (радист), радиотелеграфист
Q002470	Оператор, радиопредавателни съоръжения
Q002471	Оператор, конструиране и технология на съобщителна апаратура
Q002472	Оператор, радиосъоръжения (кораби)
Q002473	Оператор, радиосъоръжения (летателни средства)
Q002474	Оператор, радиосъоръжения (наземни)
Q002475	Оператор, стая с контролни съоръжения
Q002476	Оператор, строителство и експлоатация на съобщителни системи
Q002477	Оператор, съоръжения за пренос
Q002478	Оператор, телеграфически съоръжения
Q002479	Оператор, телекомуникационни съоръжения
Q002480	Радиоелектроник за Световната морска система за бедствие и безопасност
Q002481	Радиооператор за Световната морска система за бедствие и безопасност
Q002482	Криптограф
Q002483	Главен телеграфист на кораб, радио
Q002484	Авиодиспечер, аеронавигационни съобщения
Q002485	Завеждащ, административна служба
Q002486	Завеждащ, техническа служба
Q002487	Технически сътрудник
Q002488	Технически изпълнител
Q002489	Технически организатор
Q002490	Организатор, обработка на производствена информация
Q002491	Завеждащ регистратура за некласифицирана информация
Q002492	Завеждащ регистратура за криптографски средства и материали
Q002493	Секретар
Q002494	Артистичен секретар
Q002495	Машинописец
Q002496	Машинописец, стенографска машина
Q002497	Оператор, копирна техника
Q002498	Оператор, въвеждане на данни
Q002499	Банков служител, въвеждане на данни
Q002500	Служител, гише в пощенска станция
Q002501	Касиер, гише в съобщенията
Q002502	Сараф
Q002503	Банков служител, касиер/Касиер, банка/Касиер, финансова/платежна институция
Q002504	Банков служител, главен касиер
Q002505	Инкасатор, банка/финансова/платежна институция
Q002506	Администратор, корпоративен център, банка/финансова/платежна институция
Q002507	Банков служител/ Служител, финансова/платежна институция
Q002508	Пазител ценности, БНБ
Q002509	Касиер-приемчик, тотализатор
Q002510	Събирач, жетони
Q002511	Букмейкър
Q002512	Главен инспектор, игра в казино
Q002513	Контрольор, казино
Q002514	Крупие
Q002515	Комисионер, заложна къща
Q002516	Лихвар
Q002517	Инкасатор, събирач на данъци и такси
Q002518	Инкасатор, дългови задължения
Q002519	Инкасатор, наеми
Q002520	Инкасатор, плащания
Q002521	Събирач, дарения
Q002522	Агент събиране на вземания
Q002523	Служител, издаване на пътнически билети
Q002524	Служител, информация за пътувания
Q002525	Служител, пътническа агенция/бюро
Q002526	Служител, резервации
Q002527	Служител, гише за регистрация на пътници и багажи
Q002528	Консултант, пътнически транспорт
Q002529	Оператор, контактен център
Q002530	Специалист, телефон на зрителя
Q002531	Оператор, телефонна централа
Q002532	Рецепционист, приемна на лекар по дентална медицина
Q002533	Рецепционист, приемна на лекар
Q002534	Рецепционист
Q002535	Анкетьор, маркетингови изследвания
Q002536	Анкетьор
Q002537	Информатор/културна организация/културен   институт
Q002538	Информатор
Q002539	Калкулант
Q002540	Касиер, домакин
Q002541	Касиер, счетоводство
Q002542	Отчетник, счетоводство
Q002543	Фактурист
Q002544	Специалист, контрол разходи
Q002545	Специалист, контрол приходи
Q002546	Отчетник, данъци
Q002547	Отчетник, инвестиции
Q002548	Отчетник, уреждане на застрахователни полици
Q002549	Отчетник, финанси
Q002550	Помощник, брокер
Q002551	Отчетник, водещ платежни ведомости
Q002552	Вагоноописвач
Q002553	Експедитор, стоки и товари
Q002554	Измерител, горивни и строителни материали
Q002555	Оператор, определяне на маршрута на товарите
Q002556	Организатор, експедиция/товаро-разтоварна и спедиторска дейност
Q002557	Спедиционен посредник
Q002558	Стоковед
Q002559	Тарифьор
Q002560	Специалист, контрол на документи
Q002561	Началник машинотракторен парк
Q002562	Инспектор, железопътна транспортна служба
Q002563	Инспектор, транспортна служба
Q002564	Началник парк в метрополитен
Q002565	Оператор, наземно обслужване
Q002566	Влаков диспечер
Q002567	Нототекар
Q002568	Филмотекар
Q002569	Фонотекар
Q002570	Фототекар
Q002571	Видеотекар
Q002572	Експедитор, поща
Q002573	Контрольор, поща
Q002574	Контрольор, пощенска служба
Q002575	Контрольор, пощенски склад
Q002576	Пощенски раздавач (пощальон)
Q002577	Превозвач, поща
Q002578	Сортировач, поща
Q002579	Проверител, марки и ценни книжа
Q002580	Шифровчик
Q002581	Помощник-коректор
Q002582	Уредник, програма
Q002583	Коректор
Q002584	Деловодител
Q002585	Книговодител
Q002586	Регистратор
Q002587	Завеждащ архивохранилище (книгохранилище)
Q002588	Асистент, човешки ресурси
Q002589	Служител, човешки ресурси
Q002590	Издирвач на адреси
Q002591	Съдебен документатор
Q002592	Служител, рекламна агенция
Q002593	Завеждащ регистратура за класифицирана информация
Q002594	Отговорник, спомагателни дейности
Q002595	Завеждащ, секретна картотека
Q002596	Изпълнител
Q002597	Координатор, дейности
Q002598	Отчетник
Q002599	Инспектор, салон
Q002600	Борден съпроводител
Q002601	Обслужващ, аерогара
Q002602	Обслужващ, корабни кабини
Q002603	Обслужващ, полета
Q002604	Стюард/стюардеса
Q002605	Ръководител кабинен състав
Q002606	Рентгенов оператор, пътници/багажи
Q002607	Кондуктор
Q002608	Контрольор по редовността на пътниците
Q002609	Екскурзовод
Q002610	Екскурзовод, музей/художествена галерия
Q002611	Готвач
Q002612	Сладкар
Q002613	Помощник-сладкар
Q002614	Карвинг-декоратор
Q002615	Главен сервитьор
Q002616	Салонен управител
Q002617	Сервитьор
Q002618	Отговорник, търговска зала
Q002619	Барман
Q002620	Фризьор
Q002621	Бръснар
Q002622	Гримьор
Q002623	Козметик
Q002624	Маникюрист
Q002625	Педикюрист
Q002626	Консултант по отслабване
Q002627	Пиколо
Q002628	Иконом
Q002629	Домашна помощница
Q002630	Иконом, домакинство
Q002631	Собственик, къща за гости
Q002632	Домакин, сграда
Q002633	Клисар
Q002634	Астролог
Q002635	Гадател
Q002636	Френолог
Q002637	Хиромант
Q002638	Камериер/камериерка
Q002639	Балсаматор-гримьор
Q002640	Гробар
Q002641	Завеждащ бюро, обредни услуги
Q002642	Обредник
Q002643	Прахосъбирач
Q002644	Преносвач
Q002645	Ръководещ тъжни обреди и ритуали
Q002646	Гледач, дресирани животни
Q002647	Гледач, лабораторни животни
Q002648	Дресьор (водач), кучета
Q002649	Дресьор, обяздвач на коне
Q002650	Пазач, дивеч
Q002651	Съдържател, кучкарник
Q002652	Гледач,служебни животни
Q002653	Преподавател - инструктор на водачи на моторно превозно средство
Q002654	Работник, фотоателие
Q002655	Домакин, стол
Q002656	Началник ремонтна работилница
Q002657	Отговорник, автомивка
Q002658	Домакин, клуб
Q002659	Отговорник, ателие
Q002660	Организатор дейности
Q002661	Масажист
Q002662	Продавач, пазар
Q002663	Продавач, хранителни продукти
Q002664	Управител, търговия на дребно (доставки по домовете)
Q002665	Собственик, малък магазин
Q002666	Супервайзър, магазин
Q002667	Специалист с контролни функции, търговия
Q002668	Продавач-консултант
Q002669	Асистент-продавач
Q002670	Консултант козметични, парфюмерийни, био продукти и битова химия
Q002671	Продавач, билети
Q002672	Касиер
Q002673	Маркировач, ресторант
Q002674	Манекен
Q002675	Модел
Q002676	Фотомодел
Q002677	Мърчандайзер, продажби
