C000001_bg_000	Професии във въоръжените сили
C002265_bg_024	инженерна специалистка, технологии за производство на природен газ
C002265_bg_025	инженерна специалистка, химичка в производство на природен газ
C002265_bg_026	инженерна съветничка, технологии за производство на природен газ
C002265_bg_027	инженерна съветничка, химичка в производство на природен газ
C002266_bg_000	настройчик и стругар
C002267_bg_000	управител на снимачна площадка
C002268_bg_000	учител по география, прогимназиален/гимназиален етап
C002268_bg_001	гимназиален учител по география
C002268_bg_002	гимназиална учителка по география
C002268_bg_003	прогимназиален учител по география
C002268_bg_004	прогимназиална учителка по география
C002268_bg_005	учител по география
C002268_bg_006	учителка по география
C002268_bg_007	учителка по география, прогимназиален/гимназиален етап
C002269_bg_000	работник, обслужване на септични ями
C002270_bg_000	ИКТ акаунт мениджър/ИКТ акаунт мениджърка
C002270_bg_001	ИКТ акаунт мениджър
C002270_bg_002	ИКТ акаунт мениджъри
C002270_bg_003	ИКТ акаунт мениджърка
C002270_bg_004	ръководител на ИТ профил
C002270_bg_005	ръководител на ключов ИКТ профил
C002270_bg_006	ръководителка на ИТ профил
C002270_bg_007	ръководителка на ключов ИКТ профил
C002271_bg_000	еколог
C002271_bg_001	агроеколог
C002271_bg_002	агроеколожка
C002271_bg_003	еколожка
C002272_bg_000	златар
C002272_bg_001	майстор, златни изделия
C002273_bg_000	техник, качество на обувните изделия
C002273_bg_001	технолог, качество на обувните изделия
C002274_bg_000	поемател на ценни книжа
C002275_bg_000	частен пилот
C002276_bg_000	театрален режисьор
C002276_bg_001	главен художествен ръководител, театрален
C002276_bg_002	главна художествена ръководителка, театрална
C002276_bg_003	сценичен режисьор
C002276_bg_004	сценична режисьорка
C002276_bg_005	театрален главен художествен ръководител
C002276_bg_006	театрален постановчик
C002276_bg_007	театрален художествен ръководител
C002276_bg_008	театрална главна художествена ръководителка
C002276_bg_009	театрална режисьорка
C002276_bg_010	театрална художествена ръководителка
C002276_bg_011	театър-майстор
C002276_bg_012	художествен ръководител, театрален
C002276_bg_013	художествена ръководителка, театрална
C002276_bg_014	цирков режисьор
C002276_bg_015	циркова режисьорка
C002276_bg_016	цирково конферансие
C002277_bg_000	диетолог
C002277_bg_001	диетолог специалист
C002277_bg_002	диетоложка
C002277_bg_003	диетоложка специалистка
C002277_bg_004	инструктор, диетично хранене
C002277_bg_005	инструкторка, диетично хранене
C002277_bg_006	консултант, диетично хранене
C002277_bg_007	консултант, здравословно хранене
C002277_bg_008	консултантка, диетично хранене
C002277_bg_009	консултантка, здравословно хранене
C002277_bg_010	специализиран диетолог
C002277_bg_011	специализиран диетоложка
C002277_bg_012	специалист по хранене
C002277_bg_013	специалист по хранене, обществено здравеопазване
C002277_bg_014	специалистка по хранене
C002277_bg_015	специалистка по хранене, обществено здравеопазване
C002278_bg_000	техник, хроматография
C002278_bg_001	техник, газова хроматография
C002278_bg_002	техник, масспектрометрия
C002278_bg_003	техник, спектроскопия
C002279_bg_000	технолог по опакованена храни и напитки/техноложка по опакованена храни и напитки
C002279_bg_001	технолог по опакованена храни и напитки
C002279_bg_002	техноложка по опакованена храни и напитки
C002279_bg_003	техноложки по опакованена храни и напитки
C002279_bg_004	технолози по опакованена храни и напитки
C002280_bg_000	проверител, депониране на отпадъци
C002280_bg_001	контрольор, депониране на отпадъци
C002280_bg_002	проверител, депониране на твърди отпадъци
C002281_bg_000	корабостроител
C002282_bg_000	преподавател по космически науки, висше училище
C002282_bg_001	асистент по космически науки
C002282_bg_002	асистент по космически науки, висше училище
C002282_bg_003	главен асистент по космически науки
C002282_bg_004	главен асистент по космически науки, висше училище
C002282_bg_005	гост-преподавател по космически науки, висше училище
C002282_bg_006	гост-преподавателка по космически науки, висше училище
C002282_bg_007	доцент по космически науки
C002282_bg_008	доцент по космически науки, висше училище
C002282_bg_009	лектор по космически науки, висше училище
C002282_bg_010	лекторка по космически науки, висше училище
C002282_bg_011	преподавателка по космически науки, висше училище
C002282_bg_012	професор по космически науки
C002282_bg_013	професор по космически науки, висше училище
C002282_bg_014	старша преподавателка по космически науки, висше училище
C002282_bg_015	старши преподавател по космически науки, висше училище
C002282_bg_016	университетска лекторка по космически науки
C002282_bg_017	университетска преподавателка по космически науки
C002282_bg_018	университетски лектор по космически науки
C002282_bg_019	университетски преподавател по космически науки
C002282_bg_020	хоноруван преподавател по космически науки, висше училище
C002282_bg_021	хонорувана преподавателка по космически науки, висше училище
C002283_bg_000	ръководител, административни дейности на отбраната
C002284_bg_000	машинен оператор, производство на бои
C002285_bg_000	гравьор, метал
C002286_bg_000	ръководител, лозаро-винарско стопанство
C002286_bg_001	ръководител, винарска изба
C002286_bg_002	ръководител, лозарско стопанство
C002287_bg_000	инспектор, двигатели на моторни превозни средства
C002287_bg_001	инспектор, двигатели с вътрешно горене
C002288_bg_000	ръководител на проект за ИКТ/ръководителка на проект за ИКТ
C002288_bg_001	ръководител на ИТ проект
C002288_bg_002	ръководител на проект за ИКТ
C002288_bg_003	ръководител на уеб проект
C002288_bg_004	ръководители на проекти за ИКТ
C002288_bg_005	ръководителка на ИТ проект
C002288_bg_006	ръководителка на проект за ИКТ
C002288_bg_007	ръководителка на уеб проект
C002289_bg_000	координатор, безопасност на тръбопроводите
C002289_bg_001	инспектор по тръбопроводите
C002289_bg_002	инспектор, безопасност на тръбопроводите
C002289_bg_003	координатор, спазване на изискванията за безопасност на тръбопроводите
C002290_bg_000	електротехник, ремонт на електрически инструменти
C002291_bg_000	работник, ръчна изработка на килими
C002291_bg_001	килимар
C002292_bg_000	машинен оператор, формоване чрез раздуване
C002293_bg_000	машинен оператор, валцоване на пластмаса
C002294_bg_000	управител, ортопедичен магазин
C002295_bg_000	инженер, индустриални машини и системи
C002295_bg_001	графичен дизайнер, индустриални машини и системи
C002295_bg_002	графична дизайнерка, индустриални машини и системи
C002295_bg_003	иинженер, тестване на индустриални машини и системи
C002295_bg_004	инженер, индустриални технологии
C002295_bg_005	инженер, конструиране на индустриални машини и системи
C002295_bg_006	инженер, разработване на индустриални машини и системи
C002295_bg_007	инженер-изпитател, индустриални машини и системи
C002295_bg_008	инженерен експерт, индустриални машини и системи
C002295_bg_009	инженерен експерт, индустриални технологии
C002295_bg_010	инженерен консултант, индустриални машини и системи
C002295_bg_011	инженерен консултант, индустриални технологии
C002295_bg_012	инженерен специалист, индустриални машини и системи
C002295_bg_013	инженерен специалист, индустриални технологии
C002295_bg_014	инженерен съветник, индустриални машини и системи
C002295_bg_015	инженерен съветник, индустриални технологии
C002295_bg_016	инженерка, индустриални машини и системи
C002295_bg_017	инженерка, индустриални технологии
C002295_bg_018	инженерка, конструиране на индустриални машини и системи
C002295_bg_019	инженерка, разработване на индустриални машини и системи
C002295_bg_020	инженерка, тестване на индустриални машини и системи
C002295_bg_021	инженерка-изпитателка, индустриални машини и системи
C002295_bg_022	инженерна консултантка, индустриални машини и системи
C002295_bg_023	инженерна консултантка, индустриални технологии
C002295_bg_024	инженерна специалистка, индустриални машини и системи
C002295_bg_025	инженерна специалистка, индустриални технологии
C002295_bg_026	инженерна съветничка, индустриални машини и системи
C002295_bg_027	инженерна съветничка, индустриални технологии
C002295_bg_028	конструктор, индустриални машини и системи
C002295_bg_029	конструктор, производство на индустриални машини и системи
C002295_bg_030	конструкторка, индустриални машини и системи
C002295_bg_031	конструкторка, производство на индустриални машини и системи
C002295_bg_032	надзорник контрол на качеството, конструиране на индустриални машини и системи
C002295_bg_033	надзорник, производство на индустриални машини и системи
C002295_bg_034	надзорничка контрол на качеството, конструиране на индустриални машини и системи
C002295_bg_035	надзорничка, производство на индустриални машини и системи
C002295_bg_036	производител, конструиране на индустриални машини и системи
C002295_bg_037	производителка, конструиране на индустриални машини и системи
C002295_bg_038	разработчик, индустриални машини и системи
C002295_bg_039	разработчик, конструиране на индустриални машини и системи
C002295_bg_040	специализиран инженер, производство на индустриални машини и системи
C002295_bg_041	специализирана инженерка, производство на индустриални машини и системи
C002296_bg_000	корабен агент
C002296_bg_001	корабен брокер
C002297_bg_000	редактор на текста
C002297_bg_001	главен коректор
C002297_bg_002	главна коректорка
C002297_bg_003	езиков коректор
C002297_bg_004	езиков редактор
C002297_bg_005	езикова коректорка
C002297_bg_006	езикова редакторка
C002297_bg_007	коректор
C002297_bg_008	коректорка
C002297_bg_009	помощник-коректор
C002297_bg_010	помощник-коректорка
C002297_bg_011	старша коректорка
C002297_bg_012	старши коректор
C002298_bg_000	учител по педагогиката на Френе
C002298_bg_001	възпитател по педагогиката на Френе
C002298_bg_002	възпитателка по педагогиката на Френе
C002298_bg_003	учител в училище Френе
C002298_bg_004	учител по метода "Движение за съвременно училище"
C002298_bg_005	учителка в училище Френе
C002298_bg_006	учителка по метода "Движение за съвременно училище"
C002298_bg_007	учителка по педагогиката на Френе
C002299_bg_000	съветник, Народно събрание/Президент/Министерски съвет
C002299_bg_001	експерт към политическия кабинет на заместник министър-председател
C002299_bg_002	експерт към политическия кабинет на министър-председателя
C002299_bg_003	експерт, кабинета на министър
C002299_bg_004	политическа съветничка
C002299_bg_005	политически съветник
C002299_bg_006	президентска съветничка
C002299_bg_007	президентски съветник
C002299_bg_008	съветник
C002299_bg_009	съветник към политическия кабинет на министър-председателя
C002299_bg_010	съветник на министър-председателя
C002299_bg_011	съветник по политически въпроси
C002299_bg_012	съветник, Народно събрание/Президент/Министерски съветю
C002299_bg_013	съветник, министър
C002299_bg_014	съветничка
C002299_bg_015	съветничка към политическия кабинет на министър-председателя
C002299_bg_016	съветничка на министър-председателя
C002299_bg_017	съветничка по политически въпроси
C002299_bg_018	съветничка, Народно събрание/Президент/Министерски съвет
C002299_bg_019	съветничка, министър
C002300_bg_000	търговец на едро, селскостопански суровини, семена и фуражи
C002301_bg_000	ръководител, внос и износ на офис техника и оборудване
C002301_bg_001	мениджър, внос и износ на офис техника и оборудване
C002302_bg_000	инженер, микроелектроника
C002302_bg_001	експерт, микроелектронна техника
C002302_bg_002	инженер по микроелектроника
C002302_bg_003	инженер, интегрални схеми
C002302_bg_004	инженер, микроелектроник
C002302_bg_005	инженер, микроелектронна техника
C002302_bg_006	инженер, микроелектронни технологии
C002302_bg_007	инженер, микропроцесорна техника
C002302_bg_008	инженер-конструктор, микроелектроника
C002302_bg_009	инженерен експерт, микроелектронни технологии
C002302_bg_010	инженерен консултант, микроелектронни технологии
C002302_bg_011	инженерен специалист, микроелектронни технологии
C002302_bg_012	инженерен съветник, микроелектронни технологии
C002302_bg_013	инженерка по микроелектроника
C002302_bg_014	инженерка, интегрални схеми
C002302_bg_015	инженерка, микроелектроник
C002302_bg_016	инженерка, микроелектроника
C002302_bg_017	инженерка, микроелектронна техника
C002302_bg_018	инженерка, микроелектронни технологии
C002302_bg_019	инженерка, микропроцесорна техника
C002302_bg_020	инженерка-конструкторка, микроелектроника
C002302_bg_021	инженерна консултантка, микроелектронни технологии
C002302_bg_022	инженерна специалистка, микроелектронни технологии
C002302_bg_023	инженерна съветничка, микроелектронни технологии
C002302_bg_024	консултант, микроелектронна техника
C002302_bg_025	консултантка, микроелектронна техника
C002302_bg_026	специалист, микроелектронна техника
C002302_bg_027	специалистка, микроелектронна техника
C002302_bg_028	съветник, микроелектронна техника
C002302_bg_029	съветничка, микроелектронна техника
C002302_bg_030	техник, микропроцесорна техника
C002303_bg_000	архитект
C002303_bg_001	архитект, интериор
C002303_bg_002	архитектка
C002303_bg_003	архитектка, интериор
C002303_bg_004	главен архитект
C002303_bg_005	главна архитектка
C002303_bg_006	интериорен архитект
C002303_bg_007	интериорна архитектка
C002303_bg_008	строителен проектант
C002303_bg_009	строителна проектантка
C002304_bg_000	администратор на база данни/администраторка на база данни
C002304_bg_001	администратор на база данни
C002304_bg_002	администратори на бази данни
C002304_bg_003	администраторка на база данни
C002304_bg_004	ръководител на база данни
C002304_bg_005	ръководителка на база данни
C002305_bg_000	монтажник, шатри и палатки
C002306_bg_000	мениджър на медицинска практика
C002306_bg_001	ръководител, медицинска практика
C002307_bg_000	ръководител сектор, авиационен надзор и координиране на кодовете
C002307_bg_001	началник-сектор, авиационен надзор и координиране на кодовете
C002308_bg_000	технически комуникатор
C002308_bg_001	специалист по документация
C002308_bg_002	специалистка по документация
C002308_bg_003	техническа редакторка
C002308_bg_004	технически комуникатори
C002308_bg_005	технически редактор
C002309_bg_000	туристически аниматор/туристическа аниматорка
C002309_bg_001	отговорник по развлеченията
C002309_bg_002	отговорничка по развлеченията
C002309_bg_003	туристическа аниматорка
C002309_bg_004	туристически аниматор
C002309_bg_005	туристически аниматори
C002309_bg_006	туристически аниматорки
C002310_bg_000	мениджмънт асистент/мениджмънт асистентка
C002310_bg_001	мениджмънт асистент
C002310_bg_002	мениджмънт асистентка
C002310_bg_003	секретар на управителен съвет
C002311_bg_000	отговорник, летищно осветление
C002311_bg_001	отговорник, летищни осветителни системи
C002312_bg_000	оператор, производство на транспортни ленти
C002313_bg_000	учител по билогия, прогимназиален/гимназиален етап
C002313_bg_001	гимназиален учител по билогия
C002313_bg_002	гимназиална учителка по билогия
C002313_bg_003	прогимназиален учител по билогия
C002313_bg_004	прогимназиална учителка по билогия
C002313_bg_005	учител по билогия
C002313_bg_006	учителка по билогия
C002313_bg_007	учителка по билогия, прогимназиален/гимназиален етап
C002314_bg_000	машинен оператор, сбиващи машини
C002315_bg_000	медицинска сестра с общ профил
C002315_bg_001	медицинска сестра
C002315_bg_002	медицинска сестра за социални дейности
C002315_bg_003	медицинска сестра, анестезиология и интензивни грижи
C002315_bg_004	медицинска сестра, болнична хигиена (превенция и контрол на инфекциите)
C002315_bg_005	медицинска сестра, домашни грижи
C002315_bg_006	медицинска сестра, консултантка по кърмене и здравословно и диетично хранене
C002315_bg_007	медицинска сестра, обществено здравеопазване
C002315_bg_008	медицинска сестра, операционна и превързочна техника
C002315_bg_009	медицинска сестра, психиатрични грижи
C002315_bg_010	медицинска сестра, първични здравни грижи
C002315_bg_011	медицинска сестра, специализантка
C002315_bg_012	медицинска сестра, спешна медицинска помощ
C002315_bg_013	медицински брат
C002315_bg_014	медицински брат за социални дейности
C002315_bg_015	медицински брат с общ профил
C002315_bg_016	медицински брат, анестезиология и интензивни грижи
C002315_bg_017	медицински брат, болнична хигиена (превенция и контрол на инфекциите)
C002315_bg_018	медицински брат, домашни грижи
C002315_bg_019	медицински брат, консултант по кърмене и здравословно и диетично хранене
C002315_bg_020	медицински брат, обществено здравеопазване
C002315_bg_021	медицински брат, операционна и превързочна техника
C002315_bg_022	медицински брат, психиатрични грижи
C002315_bg_023	медицински брат, първични здравни грижи
C002315_bg_024	медицински брат, специализант
C002315_bg_025	медицински брат, спешна медицинска помощ
C002316_bg_000	оператор, отливане на изделия от бетон
C002317_bg_000	инженер, двигатели с вътрешно горене
C002317_bg_001	автоинженер
C002317_bg_002	автоинженерка
C002317_bg_003	автомобилен дизайнер
C002317_bg_004	автомобилен инженер
C002317_bg_005	автомобилна дизайнерка
C002317_bg_006	автомобилна инженерка
C002317_bg_007	дизайнер на МПС
C002317_bg_008	дизайнер на автобуси
C002317_bg_009	дизайнер на автомобили
C002317_bg_010	дизайнер на камиони
C002317_bg_011	дизайнер на леки автомобили
C002317_bg_012	дизайнер на мотопеди
C002317_bg_013	дизайнер на моторни превозни средства
C002317_bg_014	дизайнер на мотоциклети
C002317_bg_015	дизайнер на мотоциклети и мотопеди
C002317_bg_016	дизайнер на тежки автомобили
C002317_bg_017	дизайнер на товарни автомобили
C002317_bg_018	дизайнер, МПС
C002317_bg_019	дизайнер, автобуси
C002317_bg_020	дизайнер, камиони
C002317_bg_021	дизайнер, леки автомобили
C002317_bg_022	дизайнер, мотопеди
C002317_bg_023	дизайнер, моторни превозни средства
C002317_bg_024	дизайнер, мотоциклети
C002317_bg_025	дизайнер, мотоциклети и мотопеди
C002317_bg_026	дизайнер, производство на МПС
C002317_bg_027	дизайнер, производство на моторни превозни средства
C002317_bg_028	дизайнер, тежки автомобили
C002317_bg_029	дизайнер, товарни автомобили
C002317_bg_030	дизайнерка на МПС
C002317_bg_031	дизайнерка на автобуси
C002317_bg_032	дизайнерка на автомобили
C002317_bg_033	дизайнерка на камиони
C002317_bg_034	дизайнерка на леки автомобили
C002317_bg_035	дизайнерка на мотопеди
C002317_bg_036	дизайнерка на моторни превозни средства
C002317_bg_037	дизайнерка на мотоциклети
C002317_bg_038	дизайнерка на мотоциклети и мотопеди
C002317_bg_039	дизайнерка на тежки автомобили
C002317_bg_040	дизайнерка на товарни автомобили
C002317_bg_041	дизайнерка, МПС
C002317_bg_042	дизайнерка, автобуси
C002317_bg_043	дизайнерка, камиони
C002317_bg_044	дизайнерка, леки автомобили
C002317_bg_045	дизайнерка, мотопеди
C002317_bg_046	дизайнерка, моторни превозни средства
C002317_bg_047	дизайнерка, мотоциклети и мотопеди
C002317_bg_048	дизайнерка, производство на МПС
C002317_bg_049	дизайнерка, производство на моторни превозни средства
C002317_bg_050	дизайнерка, тежки автомобили
C002317_bg_051	дизайнерка, товарни автомобили
C002317_bg_052	експерт по автомобилен дизайн
C002317_bg_053	експерт, автомобилен дизайн
C002317_bg_054	експерт, проектиране на МПС
C002317_bg_055	експерт, проектиране на моторни превозни средства
C002317_bg_056	инженер, МПС
C002317_bg_057	инженер, автотракторна техника
C002317_bg_058	инженер, двигатели с вътрешно горене (без дизелови)
C002317_bg_059	инженер, дизелови двигатели
C002317_bg_060	инженер, моторни превозни средства
C002317_bg_061	инженер, производство на автобуси
C002317_bg_062	инженер, производство на камиони
C002317_bg_063	инженер, производство на леки автомобили
C002317_bg_064	инженер, производство на мотопеди
C002317_bg_065	инженер, производство на мотоциклети
C002317_bg_066	инженер, производство на мотоциклети и мотопеди
C002317_bg_067	инженер, производство на тежки автомобили
C002317_bg_068	инженер, производство на товарни автомобили
C002317_bg_069	инженерка, МПС
C002317_bg_070	инженерка, автотракторна техника
C002317_bg_071	инженерка, двигатели с вътрешно горене
C002317_bg_072	инженерка, двигатели с вътрешно горене (без дизелови)
C002317_bg_073	инженерка, дизелови двигатели
C002317_bg_074	инженерка, моторни превозни средства
C002317_bg_075	инженерка, производство на автобуси
C002317_bg_076	инженерка, производство на камиони
C002317_bg_077	инженерка, производство на леки автомобили
C002317_bg_078	инженерка, производство на мотопеди
C002317_bg_079	инженерка, производство на мотоциклети
C002317_bg_080	инженерка, производство на мотоциклети и мотопеди
C002317_bg_081	инженерка, производство на тежки автомобили
C002317_bg_082	инженерка, производство на товарни автомобили
C002317_bg_083	ръководител участък, транспорт
C002317_bg_084	ръководителка участък, транспорт
C002317_bg_085	специалист по автомобилен дизайн
C002317_bg_086	специалист, автомобилен дизайн
C002317_bg_087	специалист, проектиране на МПС
C002317_bg_088	специалист, проектиране на моторни превозни средства
C002317_bg_089	специалистка по автомобилен дизайн
C002317_bg_090	специалистка, автомобилен дизайн
C002317_bg_091	специалистка, проектиране на МПС
C002317_bg_092	специалистка, проектиране на моторни превозни средства
C002318_bg_000	шофьор, брониран автомобил
C002319_bg_000	финансов анализатор
C002319_bg_001	aнализатор, банка
C002319_bg_002	анализатор на финансовите пазари
C002319_bg_003	анализаторка на финансовите пазари
C002319_bg_004	анализаторка, банка
C002319_bg_005	експерт, финансови и стопански анализи
C002319_bg_006	финансова анализаторка
C002320_bg_000	сътрудник, социални услуги
C002320_bg_001	сътрудник, социални дейности
C002321_bg_000	работник, поддръжка на сондажно оборудване
C002322_bg_000	дизайнер на бази данни/дизайнерка на бази данни
C002322_bg_001	архитект на бази данни
C002322_bg_002	архитект на данни
C002322_bg_003	архитектка на бази данни
C002322_bg_004	архитектка на данни
C002322_bg_005	дизайнер на бази данни
C002322_bg_006	дизайнер на модели на данни
C002322_bg_007	дизайнери на бази данни
C002322_bg_008	дизайнерка на бази данни
C002322_bg_009	дизайнерка на модели на данни
C002323_bg_000	фармацевт специалист
C002323_bg_001	болничен фармацевт
C002323_bg_002	болнична фармацевтка
C002323_bg_003	експерт, клинични изследвания
C002323_bg_004	фармацевт магистър, клинична фармация
C002323_bg_005	фармацевт магистър, клинична химия
C002323_bg_006	фармацевтка магистър, клинична фармация
C002323_bg_007	фармацевтка магистър, клинична химия
C002323_bg_008	фармацевтка специалистка
C002324_bg_000	служител на гише, отдаване под наем на машини за гражданско строителство
C002324_bg_001	обслужващ на гише, отдаване под наем на машини за гражданско строителство
C002324_bg_002	обслужваща на гише, отдаване под наем на машини за гражданско строителство
C002325_bg_000	инженер-технолог, опаковане на продукция
C002325_bg_001	инженерка-техноложка, опаковане на продукция
C002325_bg_002	технолог, опаковане на продукция
C002325_bg_003	техноложка, опаковане на продукция
C002326_bg_000	кредитен инспектор
C002326_bg_001	експерт в отдел „Одобрение на кредити"
C002326_bg_002	кредитен специалист, банка
C002327_bg_000	ръководител на екип по зеленчукопроизводство/ръководителка на екип по зеленчукопроизводство
C002327_bg_001	ръководител на екип по градинарство
C002327_bg_002	ръководител на екип по зеленчукопроизводство
C002327_bg_003	ръководители на екип по зеленчукопроизводство
C002327_bg_004	ръководителка на екип по градинарство
C002327_bg_005	ръководителка на екип по зеленчукопроизводство
C002328_bg_000	брокер, акции
C002328_bg_001	борсов брокер
C002328_bg_002	борсов посредник
C002328_bg_003	брокер, ценни книжа
C002329_bg_000	агент, недвижими имоти
C002329_bg_001	брокер, недвижими имоти
C002330_bg_000	оператор, изработка на V-образни ремъци
C002330_bg_001	оператор, изработка на клинови ремъци
C002330_bg_002	операторка, изработка на V-образни ремъци
C002330_bg_003	операторка, изработка на клинови ремъци
C002331_bg_000	готвач-сладкар
C002332_bg_000	архивист на предмети на изкуството
C002332_bg_001	архивистка на предмети на изкуството
C002333_bg_000	работник, довършителни работи по обувки
C002334_bg_000	машинен оператор, ламиниране
C002335_bg_000	оператор, пещ
C002335_bg_001	операторка, пещ
C002336_bg_000	специализиран продавач-консултант на ортопедични принадлежности
C002336_bg_001	продавач на ортопедични принадлежности
C002336_bg_002	продавач-консултант на ортопедични принадлежности
C002336_bg_003	продавач-консултантка на ортопедични принадлежности
C002336_bg_004	продавачка на ортопедични принадлежности
C002336_bg_005	специализирана продавач-консултантка на ортопедични принадлежности
C002337_bg_000	ръководител, преместване
C002337_bg_001	мениджър, преместване
C002337_bg_002	началник отдел, преместване
C002338_bg_000	оператор, въжена линия
C002338_bg_001	оператор, автоматична въжена линия
C002339_bg_000	охранител, масови събития
C002339_bg_001	охранител, масови мероприятия
C002339_bg_002	охранител, масови прояви
C002340_bg_000	производител, електролитни елементи
C002341_bg_000	консултант по междукултурна комуникация
C002341_bg_001	консултант по междукултурно общуване
C002341_bg_002	консултантка по междукултурна комуникация
C002341_bg_003	консултантка по междукултурно общуване
C002341_bg_004	междукултурен медиатор
C002341_bg_005	междукултурна медиаторка
C002342_bg_000	социален работник за работа с лица, пострадали от престъпление
C002342_bg_001	социален работник за оказване на подкрепа на жертви и свидетели на престъпления
C002342_bg_002	социален работник за оказване на подкрепа на жертви на престъпление
C002342_bg_003	социален работник за оказване на подкрепа на жертви на престъпления
C002342_bg_004	социален работник за работа с жертви на престъпление
C002342_bg_005	социален работник, подкрепа за жертви и свидетели на престъпление
C002342_bg_006	социален работник, подкрепа за жертви и свидетели на престъпления
C002342_bg_007	социален работник, подкрепа за жертвите
C002342_bg_008	социален работник, подкрепа за жертвите на домашно насилие
C002342_bg_009	социален работник, подкрепа за жертвите на насилие
C002342_bg_010	социален работник, подкрепа за жертвите на сексуално насилие
C002342_bg_011	социален работник, помощ за жертвите
C002342_bg_012	социална работничка за оказване на подкрепа на жертви и свидетели на престъпления
C002342_bg_013	социална работничка за оказване на подкрепа на жертви на престъпление
C002342_bg_014	социална работничка за оказване на подкрепа на жертви на престъпления
C002342_bg_015	социална работничка за работа с жертви на престъпление
C002342_bg_016	социална работничка за работа с лица, пострадали от престъпление
C002342_bg_017	социална работничка, подкрепа за жертви и свидетели на престъпление
C002342_bg_018	социална работничка, подкрепа за жертви и свидетели на престъпления
C002342_bg_019	социална работничка, подкрепа за жертвите
C002342_bg_020	социална работничка, подкрепа за жертвите на домашно насилие
C002342_bg_021	социална работничка, подкрепа за жертвите на насилие
C002342_bg_022	социална работничка, подкрепа за жертвите на сексуално насилие
C002342_bg_023	социална работничка, помощ за жертвите
C002342_bg_024	хуманитарен работник
C002342_bg_025	хуманитарна работничка
C002343_bg_000	учител по транспортни технологии
C002343_bg_001	инструктор по автомобилни технологии
C002343_bg_002	инструктор по транспортни технологии
C002343_bg_003	инструкторка по автомобилни технологии
C002343_bg_004	инструкторка по транспортни технологии
C002343_bg_005	учител по автомобилни технологии
C002343_bg_006	учителка по автомобилни технологии
C002343_bg_007	учителка по транспортни технологии
C002344_bg_000	готвач/готвачка
C002344_bg_001	готвач
C002344_bg_002	готвачи
C002344_bg_003	готвачка
C002344_bg_004	готвачки
C002344_bg_005	кухненска работничка
C002344_bg_006	кухненски работник
C002344_bg_007	работник в кухня
C002344_bg_008	работничка в кухня
C002345_bg_000	техник, поддръжка на въздухоплавателни средства
C002345_bg_001	техник, поддръжка на летателни апарати
C002346_bg_000	оператор по извличане на скорбяла/операторка по извличане на скорбяла
C002346_bg_001	оператор по извличане на скорбяла
C002346_bg_002	оператори по извличане на скорбяла
C002346_bg_003	операторка по извличане на скорбяла
