C000001_no_000	Militære yrker og uoppgitt
C001833_no_000	tekniker, produksjon av syntetiske materialer
C001834_no_000	montør av elektronisk utstyr
C001834_no_001	elektronikkmontør
C001834_no_002	montør, elektrisk og elektronisk utstyr
C001834_no_003	produksjonsmedarbeider, elektronisk utstyr
C001835_no_000	busstrafikkleder
C001835_no_001	trafikkleder, buss
C001835_no_002	trafikkoordinator, buss
C001836_no_000	tekniker, fargeprøver
C001837_no_000	sanger
C001838_no_000	risikokapitalinvestor
C001839_no_000	førerhundinstruktør
C001839_no_001	førerhundtrener
C001839_no_002	hjelpehundinstruktør
C001839_no_003	signalhundinstruktur
C001840_no_000	maskinoperatør, konvoluttproduksjon
C001840_no_001	maskinarbeider, konvoluttproduksjon
C001840_no_002	maskintekniker, konvoluttproduksjon
C001840_no_003	operatør, konvoluttmaskin
C001841_no_000	husdyrpasser
C001841_no_001	gårdsarbeider, husdyrproduksjon
C001841_no_002	hjelpearbeider, husdyrproduksjon
C001842_no_000	import-/eksportsjef innen meieriprodukter og matoljer
C001842_no_001	ansvarlig, internasjonal handel, meieriprodukter og matoljer
C001842_no_002	eksportsjef, meieriprodukter og matoljer
C001842_no_003	importsjef, meieriprodukter og matoljer
C001842_no_004	tollansvarlig, meieriprodukter og matoljer
C001843_no_000	koordinator for sysselsettingsprogram
C001844_no_000	hestepasser
C001844_no_001	medarbeider, stell av hester og ponnier
C001844_no_002	stallarbeider
C001845_no_000	grossist innen møbler, tepper og belysning
C001846_no_000	butikksjef, gulv- og veggbelegning
C001846_no_001	daglig leder, forhandler av gulv og veggbekledning
C001846_no_002	daglig leder, interiørbutikk
C001846_no_003	daglig leder, tapetbutikk
C001846_no_004	daglig leder, teppebutikk
C001846_no_005	interiørbutikksjef
C001847_no_000	presteassistent
C001848_no_000	universitetslærer i kunstvitenskap
C001849_no_000	fotograf
C001850_no_000	bilelektriker
C001850_no_001	autoelektriker
C001850_no_002	bilmekaniker, elektriske installasjoner
C001850_no_003	elektromekaniker, bil
C001851_no_000	bryllupsplanlegger
C001852_no_000	spesialpedagog ved ungdomsinstitusjon
C001853_no_000	ombud
C001854_no_000	tekniker innen hydrografisk oppmåling
C001855_no_000	operatør av niblemaskin for metall
C001855_no_001	operatør, nibbler
C001855_no_002	operatør, nibler
C001855_no_003	operatør, platesaks
C001855_no_004	operatør, platetygger
C001856_no_000	kiropraktorassistent
C001857_no_000	maskinoperatør, mineralbehandling
C001857_no_001	maskinoperatør, mineralbearbeiding
C001857_no_002	maskinoperatør, mineralprosessering
C001857_no_003	maskinoperatør, oppredning
C001857_no_004	operatør, oppredningsverk
C001858_no_000	arbeidsleder, takarbeid
C001859_no_000	markedsanalytiker
C001860_no_000	pensjonsadministrator
C001861_no_000	kakaobønnerøster
C001861_no_001	kakaobrenner
C001861_no_002	produksjonsmedarbeider, kakao
C001862_no_000	edelstenmontør
C001862_no_001	fatter
C001862_no_002	gullsmed, innfatting av edelstener
C001863_no_000	arbeidsmiljøinspektør
C001864_no_000	distribusjonssjef innen klokker og smykker
C001864_no_001	distribusjonsplanlegger, klokker og smykker
C001864_no_002	forsyningsleder, klokker og smykker
C001864_no_003	forsyningsplanlegger, klokker og smykker
C001864_no_004	logistikkplanlegger, klokker og smykker
C001864_no_005	logistikksjef, klokker og smykker
C001865_no_000	smykkemaker
C001865_no_001	montør, armbånd
C001865_no_002	montør, halskjeder
C001865_no_003	montør, produksjon av smykker
C001865_no_004	montør, øreringer
C001865_no_005	produksjonsmedarbeider, smykker
C001866_no_000	friluftsaktivitør
C001867_no_000	maskinoperatør, honningproduksjon
C001867_no_001	operatør, honningslynge
C001867_no_002	operatør, slyngemaskin
C001867_no_003	produksjonsmedarbeider, honning
C001868_no_000	leder for bygg og anlegg
C001868_no_001	ansvarlig, produksjonsanlegg
C001869_no_000	driftsingeniør
C001870_no_000	produktutvikler, tekstilproduksjon
C001871_no_000	operatør av leirovn
C001871_no_001	brenner
C001871_no_002	operatør, mursteinsovn
C001871_no_003	operatør, tørkeovn
C001871_no_004	teglbrenner
C001872_no_000	alarmoperatør
C001872_no_001	AMK-operatør
C001872_no_002	alarmsentraloperatør
C001872_no_003	medarbeider, alarmsentral
C001872_no_004	nødnummeroperatør
C001872_no_005	nødsentraloperatør
C001873_no_000	lektor
C001874_no_000	kvalitetsinspektør i forbruksvareindustrien
C001874_no_001	kvalitetskontrollør, forbrukerprodukter
C001874_no_002	produkttester, sammensatte produkter
C001875_no_000	diettassistent
C001876_no_000	bioinformatiker
C001877_no_000	togførerinstruktør
C001878_no_000	akvakulturbiolog
C001879_no_000	bioteknolog, næringsmidler
C001880_no_000	butikksjef, programvare og multimedia
C001880_no_001	butikksjef, multimedieprogramvare
C001880_no_002	butikksjef, multimedieutstyr
C001880_no_003	butikksjef, programvare
C001880_no_004	daglig leder, forhandler av programvare og multimedia
C001881_no_000	kurator for museum eller galleri
C001882_no_000	stålkonstruksjonsarbeider
C001882_no_001	armeringsmedarbeider
C001882_no_002	jernbinder
C001882_no_003	stålmontør
C001883_no_000	utstyrsoperatør, skogbruk
C001883_no_001	hogstmaskinoperatør
C001883_no_002	maskinfører, skogsdrift
C001883_no_003	skogsarbeider
C001883_no_004	tømmerhogger
C001884_no_000	grafisk designer
C001885_no_000	salmaker, togvogner
C001885_no_001	møbeltapetserer, togvogner
C001885_no_002	togvogninnreder
C001886_no_000	rengjøringsassistent, fly
C001886_no_001	flyrengjørerer
C001886_no_002	kabinrengjører
C001886_no_003	renholder, fly
C001887_no_000	miljømedarbeider på flyplass
C001888_no_000	operatør av oljemølle
C001888_no_001	oljemølleoperatør
C001888_no_002	produksjonsmedarbeider, fremstilling av olje
C001889_no_000	spesialisert selger, motorkjøretøyer
C001889_no_001	bilselger
C001889_no_002	bruktbilselger
C001889_no_003	butikkmedarbeider, bilforretning
C001889_no_004	nybilselger
C001890_no_000	klinisk sosionom
C001890_no_001	klinisk sosialarbeider
C001891_no_000	båtvert
C001891_no_001	cruisevert/-vertinne
C001891_no_002	fergevert/-vertinne
C001892_no_000	bedriftskonsulent
C001893_no_000	jordforsker
C001894_no_000	arbeidsleder, bygningsmalearbeid
C001895_no_000	hjemløskonsulent
C001896_no_000	postekspeditør
C001896_no_001	kundebehandler, postkontor
C001896_no_002	skrankemedarbeider, postkontor
C001897_no_000	tilsynsverge
C001898_no_000	telefonsenteransvarlig
C001899_no_000	campingplassbestyrer
C001899_no_001	daglig leder, campingplass
C001900_no_000	lærer, etter- og videreutdanning
C001901_no_000	astrolog
C001901_no_001	horoskopstiller
C001901_no_002	stjernetyder
C001902_no_000	lærer på politiskole
C001903_no_000	maskinassistent innen fiskeri
C001903_no_001	maskinistassistent, fiskefartøy
C001903_no_002	maskinpasser, fiskefartøy
C001904_no_000	innvandringspolitisk medarbeider
C001905_no_000	filmfotograf
C001906_no_000	grossist innen sukker, sjokolade og søtsaker
C001907_no_000	fiskesløyer
C001907_no_001	medarbeider, prosessering av fisk
C001907_no_002	medarbeider, tilberedning av fisk
C001908_no_000	administrerende direktør
C001908_no_001	daglig leder
C001908_no_002	konsernsjef
C001909_no_000	skogbruksinspektør
C001910_no_000	kontormedarbeider
C001910_no_001	kontorist
C001910_no_002	kontormedhjelper
C001911_no_000	PR-sjef
C001911_no_001	PR-ansvarlig
C001911_no_002	informasjonssjef
C001911_no_003	kommunikasjonssjef
C001911_no_004	leder, kommunikasjonsavdeling
C001911_no_005	markedsførings- og kommunikasjonssjef
C001911_no_006	pressesjef
C001911_no_007	reklamesjef
C001912_no_000	kileremarbeider
C001912_no_001	ferdigstiller, kileremmer
C001912_no_002	operatør, ferdigstillelse av kileremmer
C001913_no_000	kommunikasjonsforsker
C001914_no_000	produktsjef innen turisme
C001914_no_001	produktutvikler, turisme
C001915_no_000	skipsmaskinist
C001916_no_000	ordfører
C001916_no_001	borgermester
C001917_no_000	stillasmontør, arrangement
C001917_no_001	stillasarbeider, arrangement
C001917_no_002	stillasbygger, arrangement
C001918_no_000	yrkesanalytiker
C001919_no_000	glassmaler
C001919_no_001	dekormaler, glass
C001920_no_000	sikkerhetsinspektør, bygge- og anleggsvirksomhet
C001921_no_000	religionsforsker
C001922_no_000	husholder
C001922_no_001	husbestyrer
C001922_no_002	husholdningsansvarlig
C001923_no_000	gjørtler
C001923_no_001	hardlodder
C001924_no_000	tekstilfarger
C001925_no_000	operatør ved solenergianlegg
C001926_no_000	maskinoperatør, strikking
C001926_no_001	maskinstiller, strikking
C001926_no_002	operatør, strikkemaskin
C001927_no_000	Leder innen kriminalomsorgen
C001927_no_001	fengselsdirektør
C001928_no_000	operatør av valseverk
C001928_no_001	maskinoperatør, stålvalseverk
C001928_no_002	valseverkoperatør
C001929_no_000	biokjemiker
C001930_no_000	optiker
C001931_no_000	maskinoperatør, sying av skotøy
C001931_no_001	maskinarbeider, sying av sko
C001931_no_002	operatør, skosymaskin
C001931_no_003	skosyer
C001932_no_000	operatør, karboneringsprosess
C001932_no_001	operatør, karboniseringsmaskin
C001933_no_000	maskinoperatør, vakuumforming
C001933_no_001	maskinarbeider, plastforming
C001933_no_002	maskinarbeider, termoforming
C001933_no_003	maskinarbeider, vakuumforming
C001933_no_004	maskinoperatør, plastforming
C001933_no_005	maskinoperatør, termoforming
C001933_no_006	operatør, plastformingsmaskin
C001933_no_007	operatør, termoformingsmaskin
C001933_no_008	operatør, vakuumformingsmaskin
C001934_no_000	studieopptakskoordinator
C001935_no_000	friluftskoordinator
C001936_no_000	fengselsbetjent i ungdomsfengsel
C001936_no_001	kriminalomsorgsarbeider, ungdom
C001937_no_000	teknisk selger innen elektronikk og telekommunikasjonsutstyr
C001938_no_000	programmerer, numeriske verktøy og numerisk prosesstyring
C001939_no_000	kontorsjef
C001940_no_000	grossist innen tekstilindustrimaskiner
C001941_no_000	nattevakt
C001942_no_000	flyklarerer
C001942_no_001	helikopterklarerer
C001942_no_002	trafikkleder, luftfart
C001942_no_003	trafikkoordinator, luftfart
C001943_no_000	import-/eksportsjef innen tekstiler og tekstilhalvfabrikata og -råmaterialer
C001943_no_001	ansvarlig, internasjonal handel, tekstiler og tekstilhalvfabrikata og -råmaterialer
C001943_no_002	eksportsjef, tekstiler og tekstilhalvfabrikata og -råmaterialer
C001943_no_003	importsjef, tekstiler og tekstilhalvfabrikata og -råmaterialer
C001943_no_004	tollansvarlig, tekstiler og tekstilhalvfabrikata og -råmaterialer
C001944_no_000	sjef for fotobutikk
C001944_no_001	daglig leder, fotobutikk
C001944_no_002	fotobutikksjef
C001944_no_003	sjef, forhandler av fotoartikler
C001944_no_004	sjef, forhandler av fototilbehør
C001944_no_005	sjef, forhandler av fotoutstyr
C001945_no_000	IT-forskningskonsulent
C001946_no_000	trafikkskiltmontør
C001946_no_001	medarbeider, skiltmontering
C001946_no_002	trafikkskiltarbeider
C001947_no_000	biogasstekniker
C001948_no_000	leder av papirproduksjon
C001949_no_000	avløpstekniker
C001949_no_001	kontrollør, kloakksystem
C001949_no_002	operatør, avløpsinfrastruktur
C001949_no_003	operatør, kloakknett
C001949_no_004	operatør, kloakksystem
C001949_no_005	reparasjonsmedarbeider, avløp
C001950_no_000	drosjesjåfør
C001950_no_001	taxisjåfør
C001951_no_000	modellbygger, rekreasjonsformål
C001952_no_000	maskinoperatør, produksjon av stapelfiber
C001952_no_001	maskinoperatør, fremstilling av fiberstoff
C001952_no_002	maskinoperatør, fremstilling av filt
C001953_no_000	grossist innen kaffe, te, kakao og krydder
C001954_no_000	designingeniør
C001954_no_001	ingeniør innen design
C001955_no_000	markedsføringssjef
C001955_no_001	annonsesjef
C001955_no_002	kampanjesjef
C001955_no_003	markedsførings- og kampanjesjef
C001955_no_004	markedsføringsdirektør
C001955_no_005	markedssjef
C001955_no_006	markedsutviklingssjef
C001955_no_007	produktleder
C001955_no_008	produktmarkedsføringssjef
C001955_no_009	salgs- og markedsføringssjef
C001956_no_000	maskinoperatør, konservering av frukt og grønnsaker
C001956_no_001	frukt- og grønnsakskonserverer
C001957_no_000	kamerafører
C001958_no_000	oddssetter
C001958_no_001	oddsekspert
C001958_no_002	oddssetter, fotball
C001958_no_003	oddssetter, hesteveddeløp
C001958_no_004	oddssetter, idrett
C001959_no_000	steriltekniker
C001959_no_001	medarbeider, sterilsentral
C001960_no_000	forsker på tekstiler, lær og skotøy
C001961_no_000	klovpleier
C001961_no_001	klovtrimmer
C001962_no_000	luftledningsmontør
C001962_no_001	energimontør
C001962_no_002	linjemann
C001962_no_003	linjemontør
C001962_no_004	linjemontør, høyspenning
C001962_no_005	linjemontør, lavspenning
C001963_no_000	forvellingsmedarbeider
C001963_no_001	produksjonsmedarbeider, fjerning av skall
C001963_no_002	skåldingsmedarbeider
C001964_no_000	spesialist i datakvalitet
C001965_no_000	operatør, hermetisering av fisk
C001965_no_001	maskinarbeider, hermetisering av fisk
C001965_no_002	produksjonsmedarbeider, hermetisering av fisk
C001966_no_000	sportsjournalist
C001967_no_000	operatør av pelletpresse
C001967_no_001	maskinarbeider, produksjon av trepellets
C001967_no_002	maskinoperatør, produksjon av trepellets
C001967_no_003	operatør, pelleteringsmaskin
C001968_no_000	togkonduktør
C001968_no_001	kundeveileder
C001969_no_000	landbruksinspektør
C001970_no_000	fotofremkaller
C001970_no_001	fotolaborant
C001970_no_002	mørkeromsarbeider
C001971_no_000	video- og filmproduksjonsassistent
C001972_no_000	batterimontør
C001972_no_001	batteribygger
C001972_no_002	produksjonsmedarbeider, batterier
C001973_no_000	maskinoperatør, papirvarer
C001973_no_001	maskinarbeider, papirvarer
C001973_no_002	maskinoperatør, kontormateriell
C001973_no_003	maskinoperatør, skrivemateriell
C001973_no_004	operatør, brettemaskin
C001973_no_005	operatør, hullemaskin
C001973_no_006	operatør, perforeringsmaskin
C001974_no_000	spesialisert selger, byggematerialer
C001974_no_001	butikkmedarbeider, byggevareforhandler
C001974_no_002	butikkmedarbeider, byggevarehus
C001974_no_003	selger, byggematerialer
C001974_no_004	selger, byggevarer
C001974_no_005	spesialisert selger, byggevareforhandler
C001974_no_006	spesialisert selger, byggevarer
C001975_no_000	butikkdetektiv
C001976_no_000	arbeidsleder, mudringsarbeid
C001977_no_000	allmennpraktiserende lege
C001978_no_000	spesialisert selger, sko og lærvarer
C001978_no_001	selger, barnesko
C001978_no_002	selger, fottøy
C001978_no_003	selger, lærvarer
C001978_no_004	selger, sko og lærvarer
C001978_no_005	selger, sportssko
C001978_no_006	spesialisert selger, barnesko
C001978_no_007	spesialisert selger, fottøy
C001978_no_008	spesialisert selger, lærvarer
C001978_no_009	spesialisert selger, sportssko
C001979_no_000	kommunestyremedlem
C001979_no_001	lokal folkevalgt
C001979_no_002	lokalpolitiker
C001980_no_000	operatør av fruktpresse
C001980_no_001	fruktpresseoperatør
C001980_no_002	fruktpresser
C001980_no_003	maskinarbeider, pressing av frukt
C001981_no_000	operatør på energikraftverk
C001982_no_000	hårfjerningsspesialist
C001982_no_001	depilasjonsspesialist
C001982_no_002	elektrolysebehandler
C001982_no_003	epilasjonsspesialist
C001982_no_004	laserbehandler
C001982_no_005	voksbehandler
C001983_no_000	sjef for kunderelasjoner
C001984_no_000	varmetekniker
C001984_no_001	varmetekniker, fast brensel
C001984_no_002	varmetekniker, klimaanlegg
C001984_no_003	varmetekniker, koks
C001984_no_004	varmetekniker, kull
C001984_no_005	varmetekniker, olje
C001984_no_006	varmetekniker, strøm
C001985_no_000	matematiker
C001986_no_000	formuesforvalter
C001987_no_000	prosessoperatør, fargefjerning av papir
C001987_no_001	operatør, anlegg for flotasjonsavsverting
C001987_no_002	prosessoperatør, flotasjonsavsverting
C001987_no_003	prosessoperatør, flotasjonsdeinking
C001988_no_000	beredskapskoordinator
C001989_no_000	bilderedaktør
C001990_no_000	lærer i billedkunst
C001991_no_000	skinnbereder
C001991_no_001	graver
C001991_no_002	skinnarbeider
C001992_no_000	speditør innen spesialvarer
C001993_no_000	import-/eksportspesialist innen sukker, sjokolade og søtsaker
C001994_no_000	intrumenttekniker
C001994_no_001	basstekniker
C001994_no_002	gitartekniker
C001994_no_003	pianotekniker
C001994_no_004	roadie
C001994_no_005	turnémedarbeider
C001995_no_000	operatør av tørkeovn for malt
C001995_no_001	bryggeriarbeider, tørking av malt
C001995_no_002	maltarbeider
C001995_no_003	operatør, malttørkeovn
C001995_no_004	produksjonsmedarbeider, tørking av malt
C001996_no_000	rengjøringsassistent ved hotell
C001996_no_001	hotellrengjører
C001996_no_002	stuepike
C001997_no_000	IKT-integrasjonstester
C001998_no_000	broderer
C001998_no_001	broderiarbeider
C001998_no_002	broderioperatør
C001999_no_000	maskinoperatør, produksjon av papirposer
C001999_no_001	maskinarbeider, produksjon av papirposer
C001999_no_002	maskinspesialist, produksjon av papirposer
C001999_no_003	operatør, papirposemaskin
C001999_no_004	prosessoperatør, produksjon av papirposer
C001999_no_005	tekniker, produksjon av papirposer
C002000_no_000	ordrebehandler
C002000_no_001	medarbeider, effektuering av ordrer
C002000_no_002	medarbeider, ordrebehandling
C002000_no_003	medarbeider, ordrehåndtering
C002000_no_004	ordrebehandler, nettsalg
C002001_no_000	maskinoperatør, lasermerking
C002001_no_001	maskinarbeider, lasermerking
C002001_no_002	maskinoperatør, lasergravering
C002001_no_003	operatør, maskin for lasergravering
C002001_no_004	operatør, maskin for lasermerking
C002002_no_000	lærer i medisinsk laboratorieteknikk
C002003_no_000	operatør, dampanlegg
C002003_no_001	operatør, dampbasert kjøleanlegg
C002003_no_002	operatør, dampbasert varmeanlegg
C002003_no_003	operatør, dampkjele
C002003_no_004	operatør, dampoppvarming
C002003_no_005	operatør, dampstrålekjøleanlegg
C002003_no_006	operatør, varmekraftverk
C002004_no_000	sykehuskurator
C002005_no_000	produktsjef, forsikring
C002005_no_001	produktutvikler, forsikring
C002005_no_002	produktutviklingsdirektør, forsikring
C002005_no_003	produktutviklingssjef, forsikring
C002006_no_000	edelstensliper
C002006_no_001	edelstenskjærer
C002006_no_002	fasettsliper
C002006_no_003	gemmolog
C002006_no_004	smykkesteinsliper
C002007_no_000	distribusjonssjef innen frukt og grønnsaker
C002007_no_001	distribusjonsplanlegger, frukt og grønnsaker
C002007_no_002	distribusjonssjef, frukt og grønnsaker
C002007_no_003	forsyningsleder, frukt og grønnsaker
C002007_no_004	forsyningsplanlegger, frukt og grønnsaker
C002007_no_005	logistikkplanlegger, frukt og grønnsaker
C002007_no_006	logistikksjef, frukt og grønnsaker
C002008_no_000	senator
C002009_no_000	forsknings- og utviklingssjef
C002009_no_001	FoU-sjef
C002009_no_002	forsknings- og utviklingsdirektør
C002009_no_003	sjef, markedsundersøkelser
C002009_no_004	sjef, produktutvikling
C002010_no_000	prosessoperatør, fremstilling av gummivarer
C002010_no_001	ferdigstiller, gummivarer
C002010_no_002	montør, gummivarer
C002010_no_003	produksjonsmedarbeider, gummivarer
C002011_no_000	transportsjef, innlandsfart
C002011_no_001	daglig leder, innenlandsfart
C002011_no_002	virksomhetsleder, innenlandsfart
C002012_no_000	kloakkledningsarbeider
C002012_no_001	installatør, avløpsvannssystemer
C002012_no_002	installatør, kloakkrør
C002012_no_003	rørlegger, avløp
C002012_no_004	rørlegger, kloakk
C002013_no_000	interiørdesigner
C002014_no_000	operatør, strømdistribusjon
C002015_no_000	sprøytelakkerer
C002015_no_001	lakkerer
C002015_no_002	operatør, sprøytelakkeringspistol
C002016_no_000	prosesskontrollør, tekstilproduksjon
C002017_no_000	hovmester
C002017_no_001	butler
C002018_no_000	sikkerhetsrådgiver for transport av farlig gods
C002018_no_001	sikkerhetskonsulent, transport av farlig gods
C002019_no_000	produktinspektør
C002019_no_001	kvalitetskontrollør, sammensatte produkter
C002019_no_002	produksjonskontrollør, montasje
C002020_no_000	aromaterapeut
C002021_no_000	banksjef
C002021_no_001	bankdirektør
C002021_no_002	banksjef, bedriftsmarked
C002021_no_003	banksjef, personmarked
C002021_no_004	filialsjef, bank
C002021_no_005	kontorsjef, bank
C002021_no_006	regionsjef, bank
C002022_no_000	konservator
C002023_no_000	vedlikeholdstekniker innen jernbanearbeid
C002024_no_000	petroleumsingeniør
C002025_no_000	grafolog
C002026_no_000	kriserådgiver
C002027_no_000	solenergitekniker
C002027_no_001	drifts- og vedlikeholdstekniker, solcelleanlegg
C002027_no_002	installasjonstekniker, solcelleanlegg
C002027_no_003	installatør, solcelleanlegg
C002027_no_004	installatør, solcellepaneler
C002028_no_000	elektrotekniker, jernbanesektoren
C002028_no_001	elektriker, dieselmotorer
C002028_no_002	elektriker, elektromotorer
C002028_no_003	elektroniker, jernbane
C002028_no_004	elektroniker, telekommunikasjon
C002028_no_005	jernbaneelektriker
C002028_no_006	kjøreledningstekniker
C002028_no_007	tekniker, kjørestrøm
C002028_no_008	tekniker, utstyr langs sporet
C002028_no_009	togelektriker
C002029_no_000	vedlikeholdsarbeider, rørledning
C002029_no_001	tekniker, rørledningsnett
C002029_no_002	tekniker, vedlikeholdssentral, ledningsnett
C002029_no_003	vedlikeholdsarbeider, gassledningsnett
C002029_no_004	vedlikeholdsarbeider, oljeledningsnett
C002029_no_005	vedlikeholdsarbeider, vannledningsnett
C002030_no_000	butikksjef, møbler
C002030_no_001	daglig leder, forhandler av belysningsutstyr
C002030_no_002	daglig leder, forhandler av hagemøbler
C002030_no_003	daglig leder, forhandler av innredningsartikler
C002030_no_004	daglig leder, forhandler av møbler og belysning
C002030_no_005	daglig leder, forhandler av utemøbler
C002030_no_006	daglig leder, møbelbutikk
C002030_no_007	sjef, forhandler av belysningsutstyr
C002030_no_008	sjef, forhandler av hagemøbler
C002030_no_009	sjef, forhandler av innredningsartikler
C002030_no_010	sjef, forhandler av møbler og belysning
C002030_no_011	sjef, forhandler av utemøbler
C002031_no_000	CAD-mønsterkonstruktør, klær
C002031_no_001	CAD-mønsterkonstruktør, stoff
C002031_no_002	DAK-operatør, klesmønstre
C002032_no_000	radiograf
C002033_no_000	slankekonsulent
C002033_no_001	kostholds- og livsstilsveileder
C002033_no_002	kostholdsveileder
C002033_no_003	livsstilscoach
C002033_no_004	livsstilsveileder
C002034_no_000	audiovisuell tekniker
C002035_no_000	maskinoperatør, kabeltvinner
C002035_no_001	maskinarbeider, veving av trådduk
C002035_no_002	maskinoperatør, trådveveri
C002035_no_003	maskinoperatør, veving av trådduk
C002035_no_004	operatør, tråddukmaskin
C002035_no_005	operatør, tråddukvev
C002036_no_000	jurykoordinator
C002037_no_000	motorsykkelmontør
C002037_no_001	mopedbygger
C002037_no_002	mopedmontør
C002037_no_003	motorsykkelbygger
C002037_no_004	scooterbygger
C002037_no_005	scootermontør
C002038_no_000	artillerioffiser
C002038_no_001	infanterioffiser
C002039_no_000	IKT-revisjonsleder
C002040_no_000	lærer på Montessori-skole
C002041_no_000	idriftsettelsesingeniør
C002042_no_000	tanntekniker
C002043_no_000	varietéartist
C002044_no_000	etisk hacker
C002045_no_000	fremstiller av smykkeinnfatninger
C002045_no_001	edelstenmontør
C002045_no_002	fatter
C002046_no_000	ortoptist
C002047_no_000	sjef for fritidstilbud
C002047_no_001	kinosjef
C002047_no_002	sjef, ferietilbud
C002047_no_003	sjef, fornøyelsespark
C002047_no_004	sjef, fritidsleir
C002047_no_005	sjef, fritidstilbud
C002047_no_006	sjef, idrettstilbud
C002047_no_007	sjef, kulturtilbud
C002047_no_008	sjef, tilbyder av fritidstjenester
C002047_no_009	teatersjef
C002047_no_010	treningssentersjef
C002048_no_000	privatetterforsker
C002049_no_000	billettør
C002049_no_001	billettkontrollør
C002049_no_002	konduktør
C002049_no_003	sporvognskonduktør
C002050_no_000	maskinoperatør, glassfiberproduksjon
C002050_no_001	maskintekniker, sprøytemaskin for glassfiber
C002050_no_002	operatør, glassfibermaskin
C002050_no_003	operatør, sprøytemaskin for glassfiber
C002051_no_000	spesialisert selger, kosmetikk og parfyme
C002051_no_001	selger, kosmetikk
C002051_no_002	selger, kosmetikk og parfyme
C002051_no_003	selger, kosmetikk og toalettartikler
C002051_no_004	selger, kosmetikk og toalettsaker
C002051_no_005	selger, parfyme
C002051_no_006	selger, skjønnhet
C002051_no_007	selger, skjønnhet og aroma
C002051_no_008	selger, sminke og kosmetikk
C002051_no_009	spesialisert selger, kosmetikk
C002051_no_010	spesialisert selger, kosmetikk og toalettartikler
C002051_no_011	spesialisert selger, kosmetikk og toalettsaker
C002051_no_012	spesialisert selger, parfyme
C002051_no_013	spesialisert selger, skjønnhet
C002051_no_014	spesialisert selger, skjønnhet og aroma
C002051_no_015	spesialisert selger, sminke og kosmetikk
C002052_no_000	skogsarbeider
C002052_no_001	hjelpearbeider, skogbruk
C002052_no_002	hjelpearbeider, skogdyrking
C002053_no_000	innredningskonsulent
C002054_no_000	kjernefysikktekniker
C002055_no_000	IKT-sikkerhetsleder
C002056_no_000	snøbrettinstruktør
C002057_no_000	ingeniør, fotonikk
C002058_no_000	reguleringssjef
C002059_no_000	maskinoperatør, tremøbler
C002059_no_001	maskinarbeider, tremøbler
C002060_no_000	operatør av gjengevalsemaskin
C002060_no_001	gjengemaskinoperatør
C002060_no_002	maskinoperatør, valsing av gjenger
C002060_no_003	verktøyinnstiller, valsing av gjenger
C002061_no_000	ingeniør, elektromekanikk
C002062_no_000	motedesigner
C002063_no_000	reprotekniker
C002063_no_001	kopimaskinoperatør
C002063_no_002	medarbeider, skriverrom
C002064_no_000	leder for internasjonale forhold
C002065_no_000	redigerer, desktop publishing
C002066_no_000	maskinoperatør, påfylling av kapsler
C002066_no_001	kapselfyller
C002066_no_002	kapselmaskinoperatør
C002066_no_003	maskinoperatør, farmasøytisk industri
C002066_no_004	produksjonsmedarbeider, farmasøytiske produkter
C002067_no_000	tekniker, robotteknikk
C002068_no_000	intervjuer, opinions- og markedsføringsundersøkelser
C002068_no_001	intervjuer, gallupundersøkelser
C002068_no_002	intervjuer, markedsundersøkelser
C002068_no_003	intervjuer, opinionsmålinger
C002068_no_004	intervjuer, spørreundersøkelser
C002068_no_005	mystery shopper
C002068_no_006	telefonintervjuer
C002069_no_000	lagersjef, ferdige lærvarer
C002069_no_001	lagerleder, ferdige lærvarer
C002070_no_000	montør av deler til motorkjøretøyer
C002070_no_001	delekontrollør, bil
C002070_no_002	delemedarbeider, bil
C002070_no_003	delemontør, bil
C002071_no_000	rørledningssjef
C002071_no_001	prosjektleder, rørledning
C002071_no_002	rørledningsansvarlig
C002071_no_003	rørnettansvarlig
C002071_no_004	rørnettsjef
C002071_no_005	strategisjef, rørnett
C002072_no_000	HMS-konsulent
C002073_no_000	grossist innen avfall og skrot
C002074_no_000	danseterapeut
C002075_no_000	revisor innen offentlig forvaltning
C002076_no_000	operatør av krydderblandemaskin
C002076_no_001	operatør, ekstraktblander
C002076_no_002	operatør, krydderblandemaskin
C002076_no_003	operatør, kryddersikt
C002076_no_004	operatør, mekanisk sikt
C002076_no_005	operatør, teblandemaskin
C002077_no_000	skolebussassistent
C002077_no_001	medhjelper, skolebuss
C002078_no_000	lærer ved danseakademi
C002079_no_000	sosialarbeider for voksne med funksjonsnedsetting
C002080_no_000	veimerker
C002080_no_001	anleggsarbeider, veimerking
C002080_no_002	fører, veimerkingsmaskin
C002080_no_003	operatør, veimerkingsmaskin
C002080_no_004	veiarbeider, merking
C002080_no_005	veimerkingsoperatør
C002081_no_000	lyddesigner
C002082_no_000	butikksjef, frukt og grønnsaker
C002082_no_001	daglig leder, forhandler av frukt og grønnsaker
C002082_no_002	daglig leder, forhandler av økologisk frukt
C002082_no_003	daglig leder, forhandler av økologisk frukt og grønt
C002082_no_004	daglig leder, forhandler av økologiske grønnsaker
C002082_no_005	daglig leder, fruktbutikk
C002082_no_006	daglig leder, grønnsaksbutikk
C002082_no_007	frukthandler
C002082_no_008	grønnsakshandler
C002082_no_009	sjef, forhandler av økologisk frukt
