C000001_hu_000	Fegyveres erők
C001813_hu_001	elektronikus szenzorok fejlesztésén dolgozó technikus
C001813_hu_002	elektrotechnikus
C001813_hu_003	szenzorfejlesztő technikus
C001813_hu_004	villamosipari technikus
C001814_hu_000	disztribúciós vezető
C001814_hu_001	ellátási és elosztási tevékenységet folytató részegység vezetője
C001814_hu_002	logisztikai igazgató
C001814_hu_003	logisztikai vezető
C001815_hu_000	hidrogeológus
C001815_hu_001	hidrogeológus mérnök
C001815_hu_002	hidrológus
C001815_hu_003	iszapszelvényező
C001816_hu_000	adatrögzítő
C001816_hu_001	adat steward
C001816_hu_002	adatbeviteli felelős
C001816_hu_003	adatbeviteli munkatárs
C001816_hu_004	adatrögzítő munkatárs
C001816_hu_005	adatrögzítők
C001817_hu_000	óra és ékszer exportjával-importjával foglalkozó vezető
C001817_hu_001	óra és ékszer export-import igazgató
C001817_hu_002	óra és ékszer külkereskedelmi igazgató
C001818_hu_000	italbolti eladó
C001819_hu_000	gyártóüzemi vezető
C001819_hu_001	gyártási koordinátor
C001819_hu_002	gyártóüzem vezetője
C001819_hu_003	ipari termelési felügyelő
C001819_hu_004	ipari termelési vezető
C001819_hu_005	termelési főmérnök
C001819_hu_006	termelési igazgató
C001819_hu_007	termelési vezető
C001819_hu_008	termelésvezető
C001819_hu_009	termékgyártóüzem-vezető
C001820_hu_000	kormányzati tervezési ellenőr
C001820_hu_001	köztisztviselő
C001820_hu_002	lakásügyi és tervezési ellenőr
C001820_hu_003	nemzeti infrastrukturális ellenőr
C001820_hu_004	tervezési ellenőr
C001820_hu_005	tervezési referens
C001820_hu_006	tervezési és fejlesztési ellenőr
C001820_hu_007	várostervező
C001820_hu_008	városépítész
C001820_hu_009	építészeti és tervezési ellenőr
C001821_hu_000	háztartási cikkekkel foglalkozó export-import ügyintéző
C001821_hu_001	háztartási cikkekkel foglalkozó export-import ügyintéző asszisztens
C001821_hu_002	háztartási cikkekkel foglalkozó export-import ügyintéző gyakornok
C001821_hu_003	háztartási cikkekkel foglalkozó exportügyintéző asszisztens
C001821_hu_004	háztartási cikkekkel foglalkozó exportügyintéző gyakornok
C001821_hu_005	háztartási cikkekkel foglalkozó importügyintéző
C001821_hu_006	háztartási cikkekkel foglalkozó importügyintéző gyakornok
C001822_hu_000	fedélzetmester
C001822_hu_001	fedélzetmester belvízi hajón
C001822_hu_002	hajókormányos
C001822_hu_003	kormányos
C001822_hu_004	kormányos belvízi hajón
C001823_hu_000	cipőipari termelési vezető
C001823_hu_001	cipőipari gyártásvezető
C001823_hu_002	cipőipari mérnök
C001823_hu_003	cipőipari termelési menedzser
C001823_hu_004	cipőipari termelésvezető
C001823_hu_005	cipőipari és sportfelszerelési termelési vezető
C001823_hu_006	divatcikk termelési vezető
C001823_hu_007	gyártástervezési menedzser
C001823_hu_008	gyártásvezető
C001823_hu_009	termelési menedzser
C001823_hu_010	termelési vezető
C001824_hu_000	üveggyártó
C001824_hu_001	üvegfúvó
C001824_hu_002	üvegipari tervező
C001824_hu_003	üvegművész
C001824_hu_004	üvegszobrász
C001825_hu_000	mentőállomás-vezető
C001825_hu_001	helyettes mentőállomás-vezető
C001825_hu_002	mentőközpont vezetője
C001825_hu_003	mentőközpont-vezető
C001825_hu_004	mentőállomás vezetője
C001826_hu_000	üdítőital-turmixgép kezelője
C001826_hu_001	alkoholmentes italok gyártója
C001826_hu_002	üdítőital-gyártó gépkezelő
C001826_hu_003	üdítőital-gyártók
C001826_hu_004	üdítőitalok gyártói
C001827_hu_000	IKT hálózati technikus
C001827_hu_001	hálózati szakember
C001827_hu_002	hálózati szakemberek
C001827_hu_003	hálózati technikusok
C001828_hu_000	szakpolitikai vezető
C001828_hu_001	a fenntarthatóságért felelős vezető
C001828_hu_002	a megfelelésért felelős vezető
C001828_hu_003	a szakpolitika népszerűsítéséért felelős koordinátor
C001828_hu_004	a szakpolitika népszerűsítéséért felelős vezető
C001828_hu_005	a technikai szolgáltatásokért felelős vezető
C001828_hu_006	környezetvédelmi szakpolitikai vezető
C001828_hu_007	üzleti etikai szakember
C001829_hu_000	mentőautó-vezető
C001829_hu_001	mentőautó vezető
C001829_hu_002	mentőautó-sofőr
C001829_hu_003	mentőautó-technikus
C001829_hu_004	mentőgépkocsi vezető
C001829_hu_005	mentőgépkocsi-vezető
C001829_hu_006	mentős
C001829_hu_007	mentőápoló
C001830_hu_000	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó nagykereskedő
C001830_hu_001	gépekkel, ipari berendezésekkel, hajókkal és légi járművekkel foglalkozó nagykereskedő
C001830_hu_002	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó B2B kereskedő
C001830_hu_003	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó B2B értékesítési tanácsadó
C001830_hu_004	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó nagykereskedelmi asszisztens
C001830_hu_005	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó nagykereskedelmi beszerző
C001830_hu_006	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó nagykereskedelmi gyakornok
C001830_hu_007	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó nagykereskedelmi ügyintéző
C001830_hu_008	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó nagykereskedelmi ügynök
C001830_hu_009	gépekkel, ipari berendezésekkel, hajókkal és repülőgépekkel foglalkozó nagykereskedelmi üzletkötő
C001831_hu_000	textilipari minőségbiztosítási vezető
C001831_hu_001	textilipari minőségbiztosítási felügyelő
C001831_hu_002	textilipari minőségellenőrzési vezető
C001831_hu_003	textilipari üzemmérnök
C001832_hu_000	büntetés-végrehajtási nevelő
C001832_hu_001	büntetés-végrehajtási nevelőtiszt
C001832_hu_002	büntetésvégrehajtási nevelőtiszt; büntetésvégrehajtási nevelő; bv nevelőtiszt; börtön nevelőtiszt
C001832_hu_003	nevelőtiszt
C001833_hu_000	műanyagipari mérnök
C001833_hu_001	műanyag- és száltechnológiai mérnök
C001833_hu_002	műanyag-technológiai mérnök
C001833_hu_003	polimeripari mérnök
C001834_hu_000	elektronikus berendezések összeszerelője
C001834_hu_001	elektronikusberendezés összeszerelő
C001834_hu_002	elektronikusberendezés-összeszerelő
C001835_hu_000	buszjárattervező koordinátor
C001835_hu_001	busz járat tervező
C001835_hu_002	busz járattervező
C001835_hu_003	buszjárat-tervező
C001835_hu_004	buszjárattervező
C001835_hu_005	buszkoordinátor
C001835_hu_006	járattervező
C001835_hu_007	járattervező koordinátor (földi közlekedés)
C001835_hu_008	közlekedésüzemvitel-ellátó
C001835_hu_009	közúti járattervező
C001835_hu_010	közúti járattervező koordinátor
C001836_hu_000	festőanyag-technikus
C001836_hu_001	bőr festő
C001836_hu_002	bőrfestékszórógép-beállító
C001836_hu_003	bőrfestő
C001836_hu_004	bőrfestő gépkezelő
C001836_hu_005	bőrszínezőgép-kezelő
C001836_hu_006	cserzőoldat-készítő
C001836_hu_007	festőanyag technikus
C001836_hu_008	irha festő
C001836_hu_009	irhafestő
C001837_hu_000	énekes
C001837_hu_001	bariton
C001837_hu_002	baritonista
C001837_hu_003	baritonénekes
C001837_hu_004	basszista
C001837_hu_005	basszus
C001837_hu_006	basszus énekes
C001837_hu_007	basszusénekes
C001837_hu_008	dzsesszénekes
C001837_hu_009	dzsesszénekesnő
C001837_hu_010	frontember
C001837_hu_011	jazzénekes
C001837_hu_012	jazzénekesnő
C001837_hu_013	kontraalt
C001837_hu_014	kontraalt énekes
C001837_hu_015	kontraalt énekesnő
C001837_hu_016	kontraaltista
C001837_hu_017	kórusénekes
C001837_hu_018	musical-énekesnő
C001837_hu_019	musicalszínész
C001837_hu_020	musicalszínésznő
C001837_hu_021	musicalénekes
C001837_hu_022	operakórus tag
C001837_hu_023	operakórus tagja
C001837_hu_024	operakórustag
C001837_hu_025	operaszólista
C001837_hu_026	operaénekes
C001837_hu_027	rapper
C001837_hu_028	sessionzenész
C001837_hu_029	sessionénekes
C001837_hu_030	szopranista
C001837_hu_031	szoprán
C001837_hu_032	szoprán énekes
C001837_hu_033	szopránénekes
C001837_hu_034	szopránénekesnő
C001837_hu_035	szólista
C001837_hu_036	szólóénekes
C001837_hu_037	tenor
C001837_hu_038	tenorista
C001837_hu_039	tenorénekes
C001837_hu_040	vokalista
C001837_hu_041	zenész
C001837_hu_042	énekes-dalszerző
C001837_hu_043	énekesnő
C001838_hu_000	kockázatitőke-befektető
C001838_hu_001	befektető
C001838_hu_002	informális befektető
C001838_hu_003	informális kockázatitőke-befektető
C001838_hu_004	kockázati befektető
C001838_hu_005	kockázati tőkebefektető
C001838_hu_006	magvető tőkebefektető
C001838_hu_007	magvetőtőke-befektető
C001838_hu_008	üzleti angyal
C001839_hu_000	vakvezetőkutya-kiképző
C001839_hu_001	kutyakiképző
C001839_hu_002	segítő kutya kiképző
C001839_hu_003	segítőkutya kiképző
C001839_hu_004	segítőkutya-kiképző
C001839_hu_005	terápiás kutyakiképző
C001839_hu_006	vak vezető kutya kiképző
C001839_hu_007	vakvezetőkutya kiképző
C001839_hu_008	állatkiképző
C001840_hu_000	borítékgyártógép-kezelő
C001840_hu_001	borítékgyártógép kezelő
C001841_hu_000	állattenyésztő
C001841_hu_001	csikós
C001841_hu_002	csordás
C001841_hu_003	gulyás
C001841_hu_004	haszonállat-tenyésztő
C001841_hu_005	juhász
C001841_hu_006	pásztor
C001841_hu_007	tehenész
C001841_hu_008	állattenyésztők
C001842_hu_000	tejtermékek és étolaj exportjával-importjával foglalkozó vezető
C001842_hu_001	tejtermék és étolaj export-import igazgató
C001842_hu_002	tejtermék és étolaj külkereskedelmi igazgató
C001843_hu_000	foglalkoztatási programkoordinátor
C001843_hu_001	foglalkoztatási programirányító
C001843_hu_002	foglalkoztatási programok koordinátora
C001843_hu_003	foglalkoztatási programvezető
C001843_hu_004	munkaügyi koordinátor
C001843_hu_005	programkoordinátor
C001843_hu_006	programvezető
C001844_hu_000	lovász
C001844_hu_001	belovagló
C001844_hu_002	lovastúra-vezető
C001844_hu_003	lovászok
C001844_hu_004	lótartó -gondozó
C001844_hu_005	lótartó és -tenyésztő
C001844_hu_006	lóápoló és gondozó
C001844_hu_007	lóápolók és gondozók
C001845_hu_000	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó nagykereskedő
C001845_hu_001	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó B2B kereskedő
C001845_hu_002	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó B2B értékesítési tanácsadó
C001845_hu_003	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó nagykereskedelmi asszisztens
C001845_hu_004	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó nagykereskedelmi beszerző
C001845_hu_005	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó nagykereskedelmi gyakornok
C001845_hu_006	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó nagykereskedelmi ügyintéző
C001845_hu_007	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó nagykereskedelmi ügynök
C001845_hu_008	bútorokkal, szőnyegekkel, világító berendezésekkel foglalkozó nagykereskedelmi üzletkötő
C001846_hu_000	fal- és padlóburkolási bolt vezetője
C001846_hu_001	lakberendezési bolt vezetője
C001846_hu_002	lakberendezési áruház vezetője
C001846_hu_003	szőnyegbolt vezetője
C001846_hu_004	szőnyegáruház vezetője
C001846_hu_005	tapétabolt vezetője
C001847_hu_000	felekezeti szociális munkás
C001847_hu_001	lelki gondozó szociális munkás
C001848_hu_000	művészettörténet-oktató felsőoktatási intézményben
C001848_hu_001	egyetemi művészettörténet oktató
C001848_hu_002	egyetemi művészettörténet-oktató
C001848_hu_003	egyetemi művészettörténet-professzor
C001848_hu_004	főiskolai művészettörténet-oktató
C001848_hu_005	főiskolai művészettörténet-professzor
C001848_hu_006	művészettörténet-professzor
C001849_hu_000	fényképész
C001849_hu_001	alkalmazott fotográfus
C001849_hu_002	divatfényképész
C001849_hu_003	esküvői fotós
C001849_hu_004	fotográfus
C001849_hu_005	intézményi fényképész
C001849_hu_006	iskolai fényképész
C001849_hu_007	kórházi fényképész
C001849_hu_008	légifotós
C001849_hu_009	múzeumi fényképész
C001849_hu_010	portréfényképész
C001849_hu_011	reklámfényképész
C001849_hu_012	repro-fényképész
C001849_hu_013	stúdiófényképész
C001849_hu_014	természetfotós
C001849_hu_015	vállalati fényképész
C001849_hu_016	állóképkészítő
C001850_hu_000	gépjármű-villamossági szerelő
C001850_hu_001	gépjármű villamossági szerelő
C001850_hu_002	gépjármű-villamossági-szerelő
C001850_hu_003	gépjárművillamossági szerelő
C001850_hu_004	gépjárművillamossági-szerelő
C001850_hu_005	villanyszerelő
C001851_hu_000	esküvőszervező
C001851_hu_001	esküvő szervező
C001851_hu_002	rendezvényszervező
C001852_hu_000	gondozó ifjúságvédelmi otthonban
C001852_hu_001	gyermekotthoni gondozó
C001852_hu_002	gyermekotthoni segítő
C001852_hu_003	szociális munkás
C001852_hu_004	szociális munkás fiatalkorúak otthonában
C001852_hu_005	szociális munkás gyermekek átmeneti otthonában
C001853_hu_000	ombudsman
C001853_hu_001	adatvédelmi biztos
C001853_hu_002	adatvédelmi ombudsman
C001853_hu_003	alapvető jogok biztosa
C001853_hu_004	gyermekvédelmi ombudsman
C001854_hu_000	vízrajzi mérőtechnikus
C001854_hu_001	hidrográfiai mérőtechnikus
C001854_hu_002	hidrográfiai mérőtechnikus asszisztens
C001855_hu_000	lemezkivágó gép kezelője
C001855_hu_001	forgácsoló
C001855_hu_002	gép forgácsoló
C001856_hu_000	csontkovács asszisztens
C001856_hu_001	alternatív gyógymódok alkalmazásának segítője
C001856_hu_002	csontkovács-asszisztens
C001856_hu_003	fizikoterápiás asszisztens, masszőr
C001856_hu_004	manuálterápiás asszisztens
C001856_hu_005	masszőr
C001857_hu_000	ásvány-előkészítő
C001858_hu_000	tetőfedők művezetője
C001858_hu_001	cserepezésvezető
C001858_hu_002	cserepező brigád vezető
C001858_hu_003	cserepező brigádvezető
C001858_hu_004	tetőfedési munkák vezetője
C001858_hu_005	tetőfedésvezető
C001858_hu_006	tetőfedőbrigád-vezető
C001858_hu_007	vezető bádogos
C001858_hu_008	vezető cserepes
C001858_hu_009	vezető palatetőfedő
C001858_hu_010	vezető tetőfedő
C001858_hu_011	vezető tetőkátrányozó
C001858_hu_012	vezető tetőrakó
C001859_hu_000	piackutatási elemző
C001859_hu_001	adatbázis-elemző
C001859_hu_002	piacelemző
C001859_hu_003	piackutatási menedzser
C001859_hu_004	piackutatási szakértő
C001859_hu_005	piackutató
C001860_hu_000	nyugdíjügyintéző
C001860_hu_001	nyugdíj-ügyintéző
C001860_hu_002	nyugdíjügyi ügyintéző
C001860_hu_003	szociális ellátásokat kezelő ügyintéző
C001860_hu_004	szociális juttatási ügyintéző
C001861_hu_000	kakaóbab-pörkölő
C001861_hu_001	kakaóbab-pörkölő szakmunkás
C001861_hu_002	kakaóbab-pörkölők
C001861_hu_003	kakaóbabőrlő- pörkölő
C001862_hu_000	drágakőfoglaló
C001862_hu_001	ékkőfoglaló
C001862_hu_002	ékszerkészítő
C001862_hu_003	ékszerész
C001862_hu_004	ötvös
C001863_hu_000	munkavédelmi felügyelő
C001863_hu_001	munkabiztonsági és munkaegészségügyi felügyelő
C001864_hu_000	óra és ékszer disztribúciójával foglalkozó vezető
C001864_hu_001	óra és ékszer ellátásilánc-vezető
C001864_hu_002	óra és ékszer logisztikai igazgató
C001864_hu_003	óra és ékszer logisztikai tervező
C001864_hu_004	óra és ékszer logisztikai vezető
C001865_hu_000	ékszer-összeszerelő
C001865_hu_001	ékszer összeszerelő
C001865_hu_002	ékszer-összeállító
C001865_hu_003	ékszerösszeszerelő
C001866_hu_000	szabadtéri programszervező
C001866_hu_001	animátor
C001866_hu_002	hotelanimátor
C001866_hu_003	játék - és szabadidőszervező
C001866_hu_004	kajak-kenu oktató
C001866_hu_005	klubanimátor
C001866_hu_006	kültéri programszervező
C001866_hu_007	oktató, vadvízi evezés
C001866_hu_008	quad-oktató
C001866_hu_009	rekreáció szervező
C001866_hu_010	rekreációs animátor
C001866_hu_011	rekreációs mozgásprogram-vezető
C001866_hu_012	rekreációszervező
C001866_hu_013	rekreátor
C001866_hu_014	sportanimátor
C001866_hu_015	sportszervező animátor
C001866_hu_016	szabadidőszervező
C001866_hu_017	sziklamászás-oktató
C001866_hu_018	síoktató
C001866_hu_019	turisztikai animátor
C001866_hu_020	víziturisztikai oktató
C001867_hu_000	mézpergető
C001867_hu_001	méhész
C001867_hu_002	méz pergető
C001867_hu_003	méz pörgető
C001867_hu_004	mézpörgető
C001868_hu_000	karbantartási vezető gyártólétesítményben
C001868_hu_001	karbantartás vezető gyártó létesítményben
C001868_hu_002	karbantartás-vezető
C001868_hu_003	karbantartási igazgató
C001868_hu_004	tervszerű megelőző karbantartó (TMK) vezető
C001869_hu_000	gyártómérnök
C001869_hu_001	folyamatmérnök
C001869_hu_002	gyártásmérnök
C001869_hu_003	termelési folyamatmérnök
C001869_hu_004	termelési mérnök
C001870_hu_000	textiltermék-fejlesztő
C001870_hu_001	ruhaipari mérnök
C001870_hu_002	termékmenedzser
C001870_hu_003	textilipari fejlesztőmérnök
C001870_hu_004	textilipari mérnök
C001870_hu_005	textilipari szakértő
C001870_hu_006	textilipari termékfejlesztő
C001870_hu_007	textilmérnök
C001870_hu_008	textiltermék-fejlesztő mérnök
C001870_hu_009	textiltermék-szakértő
C001871_hu_000	kerámiaégető kemence kezelője
C001872_hu_000	mentésirányító
C001872_hu_001	híváskezelő
C001872_hu_002	mentésirányítást ellátó személy
C001872_hu_003	segély hívás kezelő
C001872_hu_004	segély hívó kezelő
C001872_hu_005	segélyhívás kezelő
C001872_hu_006	segélyhívás-kezelő
C001872_hu_007	segélyhívó kezelő
C001872_hu_008	segélyhívó-kezelő
C001872_hu_009	sürgősségi segély hívás kezelő
C001872_hu_010	sürgősségi-segélyhívás kezelő
C001873_hu_000	oktató felsőoktatási intézményben
C001873_hu_001	egyetemi oktató
C001873_hu_002	egyetemi tanár
C001873_hu_003	főiskolai oktató
C001873_hu_004	főiskolai tanár
C001873_hu_005	professzor
C001874_hu_000	fogyasztóvédelmi felügyelő
C001874_hu_001	anyagminőség ellenőr
C001874_hu_002	anyagminőség-ellenőr
C001875_hu_000	dietetikai szakasszisztens
C001875_hu_001	dietetikai technikus
C001875_hu_002	dietetikus technikus
C001876_hu_000	bioinformatikus
C001876_hu_001	bioinformatikai mérnök
C001876_hu_002	bioinformatikai szakértő
C001876_hu_003	bioinformatikus mérnök
C001877_hu_000	kötöttpályás járművek vezetésének oktatója
C001877_hu_001	metróvezetés-oktató
C001877_hu_002	mozdonyvezetés-oktató
C001877_hu_003	trolibuszvezetés-oktató
C001877_hu_004	vasúti vezetésoktató
C001877_hu_005	villamosvezetés-oktató
C001877_hu_006	vonatvezetés-oktató
C001878_hu_000	akvakultúra-biológus
C001878_hu_001	halbiológus
C001878_hu_002	halkutató
C001879_hu_000	élelmiszer biotechnológus
C001879_hu_001	élelmiszer biotechnológusok
C001879_hu_002	élelmiszer-biotechnológus
C001879_hu_003	élelmiszer-mikrobiológus
C001879_hu_004	élelmiszermérnök
C001880_hu_000	szoftver- és médiabolt vezetője
C001880_hu_001	multimédia szaküzlet vezetője
C001880_hu_002	multimédiabolt vezetője
C001880_hu_003	szoftver és média bolt vezetője
C001880_hu_004	szoftverbolt vezetője
C001880_hu_005	számítógépbolt vezetője
C001881_hu_000	kurátor
C001881_hu_001	kiállítási kurátor
C001881_hu_002	múzeumi intendáns
C001881_hu_003	múzeumi kurátor
C001881_hu_004	művészeti galéria kurátora
C001882_hu_000	vas- és fémszerkezeti lakatos
C001882_hu_001	vasszerkezeti lakatos
C001883_hu_000	erdőgazdasági gépkezelő
C001883_hu_001	erdei tuskózógép-kezelő
C001883_hu_002	erdészeti felkészítőgép kezelője
C001883_hu_003	erdészeti gépkezelő
C001883_hu_004	erdészeti gépész
C001883_hu_005	erdészeti gépésztechnikus
C001883_hu_006	erdészeti motorfűrész-kezelő
C001883_hu_007	erdészeti rakodógép kezelője
C001883_hu_008	erdőgazdasági gépkezelők
C001883_hu_009	erdőgazdasági gépész
C001883_hu_010	erdőművelési gépkezelő
C001884_hu_000	grafikus
C001884_hu_001	grafikus és multimédia-tervező
C001884_hu_002	hirdetési grafikus
C001884_hu_003	nyomdai grafikus
C001884_hu_004	reklámgrafikus
C001884_hu_005	számítógépes grafikus
C001884_hu_006	webgrafikus
C001884_hu_007	weboldalgrafikus
C001885_hu_000	járműkárpitos
C001885_hu_001	kárpitos vasúti járműveken
C001885_hu_002	vasútijármű-kárpitos
C001886_hu_000	repülőgép-takarító
C001886_hu_001	repülőtakarító
C001886_hu_002	utastér-takarító
C001887_hu_000	repülőtéri környezetvédelmi felelős
C001887_hu_001	repülőtéri környezetvédelmi referens
C001888_hu_000	olajsajtológép-kezelő
C001888_hu_001	olajsajtoló malom operátora
C001888_hu_002	olajsajtoló-kezelő
C001888_hu_003	olajsajtológép kezelő
C001888_hu_004	olajsajtológép kezelője
C001889_hu_000	gépjármű-értékesítési eladó
C001889_hu_001	autó- és motorkerékpár-eladó
C001889_hu_002	gépjármű-értékesítő
C001889_hu_003	gépjárműértékesítési eladó
C001889_hu_004	használtautó-eladó
C001890_hu_000	klinikai szociális munkás
C001890_hu_001	pszichiátriai szociális munkás
C001890_hu_002	szociális munkás
C001891_hu_000	utaskísérő hajón
C001892_hu_000	üzleti konzulens
C001893_hu_000	talajkutató
C001893_hu_001	talaj-mikrobiológus
C001893_hu_002	talajmikrobiológus
C001893_hu_003	talajvizsgáló technikus
C001894_hu_000	festők-mázolók művezetője
C001894_hu_001	díszítésvezető
C001894_hu_002	díszítők művezetője
C001894_hu_003	festésirányító
C001894_hu_004	festésvezető
C001894_hu_005	festő brigád vezető
C001894_hu_006	festő brigádvezető
C001894_hu_007	festőbrigád-vezető
C001894_hu_008	vezető festő és díszítő
C001894_hu_009	vezető festő és mázoló
C001894_hu_010	vezető építőipari festő
C001894_hu_011	vezető épületfestő, -mázoló
C001895_hu_000	utcai szociális munkás
C001895_hu_001	hajléktalanellátással foglalkozó szociális munkás
C001895_hu_002	hajléktalanokkal foglalkozó szociális munkás
C001895_hu_003	szociális munkás
C001896_hu_000	postai ügyfélkapcsolati foglalkozású
C001896_hu_001	asszisztens
C001896_hu_002	hírközlési, postai tevékenységet folytató részegység vezetője
C001896_hu_003	iktató
C001896_hu_004	irodista
C001896_hu_005	postai küldeményfelvevő
C001896_hu_006	postai minőségellenőrzési ügyintéző
C001896_hu_007	postai szolgáltató (kézbesítő, válogató)
C001897_hu_000	pártfogó felügyelő
C001897_hu_001	büntetés-végrehajtási szociális munkás
C001897_hu_002	hivatásos patronáló
C001897_hu_003	hivatásos pártfogó
C001897_hu_004	pártfogó
C001897_hu_005	szociális munkás
C001898_hu_000	call center szupervizor
C001898_hu_001	bejövő call center szupervizora
C001898_hu_002	call center munkatárs
C001898_hu_003	call center supervisor
C001898_hu_004	callcenter munkatárs
C001898_hu_005	callcenter-munkatárs
C001898_hu_006	inbound call center supervisor
C001898_hu_007	kimenő call center szupervizora
C001898_hu_008	outbound call center supervisor
C001898_hu_009	telemarketing manager
C001898_hu_010	telemarketing menedzser
C001898_hu_011	telemarketing-menedzser
C001898_hu_012	telemarketing-szupervizor
C001898_hu_013	ügyfélkapcsolati szupervizor
C001898_hu_014	ügyfélszolgálati munkatárs
C001898_hu_015	ügyfélszolgálati szupervizor
C001899_hu_000	kempingszolgáltatásokat irányító menedzser
C001899_hu_001	kemping létesítményt irányító menedzser
C001899_hu_002	kemping menedzser
C001899_hu_003	kempingszolgáltatások irányításáért felelős menedzser
C001899_hu_004	kempingszolgáltatásokat irányító menedzserek
C001899_hu_005	kempingszolgáltatásokért felelős menedzser
C001900_hu_000	felnőttoktató
C001900_hu_001	felnőttoktató pedagógus
C001900_hu_002	felnőttoktató tanár
C001901_hu_000	asztrológus
C001901_hu_001	asztrológus szakértő
C001901_hu_002	ezoterikus
C001901_hu_003	horoszkóp készítő
C001901_hu_004	horoszkóp szakértő
C001901_hu_005	horoszkópkészítő
C001901_hu_006	horoszkópszakértő
C001901_hu_007	jós
C001901_hu_008	jósnő
C001902_hu_000	rendőrségi kiképzőtiszt
C001902_hu_001	kiképzőtiszt
C001902_hu_002	rendőrségi kiképző
C001903_hu_000	gépüzemsegéd
C001903_hu_001	gépüzemi asszisztens
C001903_hu_002	hajó másodgépésze
C001903_hu_003	segédgépmester
C001904_hu_000	bevándorlási referens
C001904_hu_001	bevándorlási tanácsadó
C001904_hu_002	menekültügyi koordinátor
C001904_hu_003	menekültügyi tanácsadó
C001904_hu_004	menekültügyi tisztviselő
C001905_hu_000	vezető operatőr
C001905_hu_001	operatőr
C001906_hu_000	cukor-, csokoládé- és édesség-nagykereskedő
C001906_hu_001	cukor-, csokoládé- és édesség-nagykereskedelmi asszisztens
C001906_hu_002	cukor-, csokoládé- és édesség-nagykereskedelmi beszerző
C001906_hu_003	cukor-, csokoládé- és édesség-nagykereskedelmi gyakornok
C001906_hu_004	cukor-, csokoládé- és édesség-nagykereskedelmi ügyintéző
C001906_hu_005	cukor-, csokoládé- és édesség-nagykereskedelmi ügynök
C001906_hu_006	cukorra, csokoládéra és édességre szakosodott B2B kereskedő
C001906_hu_007	cukorra, csokoládéra és édességre szakosodott B2B értékesítési tanácsadó
C001907_hu_000	halszeletelő
C001907_hu_001	halat szeletelő szakmunkás
C001907_hu_002	halelőkészítő
C001907_hu_003	halfeldolgozó
C001907_hu_004	halszeletelők
C001908_hu_000	vezérigazgató
C001908_hu_001	CEO
C001908_hu_002	munkaközvetítő iroda vezetője
C001908_hu_003	ügyvezető
C001908_hu_004	ügyvivő
C001909_hu_000	erdészeti felügyelő
C001909_hu_001	erdészeti ellenőr
C001909_hu_002	erdészetvezető
C001909_hu_003	erdőgazdálkodási ágazat vezetője
C001910_hu_000	irodai ügyintéző
C001910_hu_001	asszisztens
C001910_hu_002	iktató
C001910_hu_003	iratkezelő, irattáros
C001910_hu_004	irodai asszisztens
C001910_hu_005	irodista
C001910_hu_006	levelező
C001911_hu_000	közkapcsolati vezető
C001911_hu_001	PR vezető
C001911_hu_002	Public Relations igazgató
C001911_hu_003	kommunikációs igazgató
C001911_hu_004	kormányzati közkapcsolati igazgató
C001911_hu_005	közkapcsolati igazgató
C001911_hu_006	közkapcsolati és kommunikációs igazgató
C001911_hu_007	közönségkapcsolati igazgató
C001911_hu_008	marketing- és közkapcsolati igazgató
C001911_hu_009	társadalmi kapcsolati igazgató
C001912_hu_000	ékszíjcsinozó
C001912_hu_001	ékszíjcsínozó
C001913_hu_000	kommunikációkutató
C001913_hu_001	kommunikáció kutató
C001913_hu_002	kommunikációelemző
C001913_hu_003	kommunikációs kutató
C001914_hu_000	turisztikai termékmenedzser
C001914_hu_001	idegenforgalmi termékmenedzser
C001914_hu_002	termékmenedzser
C001914_hu_003	turisztikai termékmenedzserek
C001915_hu_000	hajózási géptiszt
C001915_hu_001	első géptiszt
C001915_hu_002	hajógépész
C001916_hu_000	polgármester
C001916_hu_001	alpolgármester
C001916_hu_002	főpolgármester
C001916_hu_003	településvezető
C001916_hu_004	városvezető
C001917_hu_000	rendezvénytechnikai tartószerkezet-szerelő
C001917_hu_001	színpadépítő
C001917_hu_002	állványozó
C001917_hu_003	állványozó munkás
C001918_hu_000	munkaügyi elemző
C001918_hu_001	humánpolitikai elemző
C001918_hu_002	humánpolitikai tanácsadó
C001918_hu_003	munkaügyi tanácsadó
