Q000001	Loopbaanadviseur
Q001361	Afdelingsmanager verkoop autoaccessoires
Q001362	Afdelingsmanager verkoop badkamers en sanitair
Q001363	Afdelingsmanager verkoop beeld- en geluidsdragers
Q001364	Afdelingsmanager verkoop computers en computerbenodigdheden
Q001365	Afdelingsmanager verkoop cosmetica en parfums
Q001366	Afdelingsmanager verkoop dameskleding
Q001367	Afdelingsmanager verkoop dieren en dierartikelen
Q001368	Afdelingsmanager verkoop drogisterijartikelen
Q001369	Afdelingsmanager verkoop elektrotechnische artikelen en apparaten
Q001370	Afdelingsmanager verkoop fotografische artikelen
Q001371	Afdelingsmanager verkoop herenkleding
Q001372	Afdelingsmanager verkoop huishoudelijke artikelen en cadeauartikelen
Q001373	Afdelingsmanager verkoop ijzerwaren en gereedschappen
Q001374	Afdelingsmanager verkoop juwelen en uurwerken
Q001375	Afdelingsmanager verkoop keukens
Q001376	Afdelingsmanager verkoop kinderkleding
Q001377	Afdelingsmanager verkoop kleding allround
Q001378	Afdelingsmanager verkoop lingerie, beenmode- en bodyfashionartikelen
Q001379	Afdelingsmanager verkoop parket en laminaat
Q001380	Afdelingsmanager verkoop rijwielen
Q001381	Afdelingsmanager verkoop schoenen en lederwaren
Q001382	Afdelingsmanager verkoop speelgoed
Q001383	Afdelingsmanager verkoop sport- en kampeerartikelen
Q001384	Afdelingsmanager verkoop telecomartikelen
Q001385	Afdelingsmanager verkoop textiel (stoffen)
Q001386	Afdelingsmanager verkoop verf en behang
Q001387	Afdelingsmanager verkoop woninginrichting
Q001388	Afdelingsmanager verkoop woningtextiel en vloerbedekkingen
Q001389	Afdelingsmanager verkoop zorgartikelen en -hulpmiddelen
Q001390	Verkoopleider personenauto's
Q001391	Verkoopleider tractoren, landbouw- en grondverzetmachines
Q001392	Bloemen- en plantenkweker
Q001393	Bedrijfsleider / ondernemer verkoop huishoudelijke artikelen en cadeauartikelen
Q001394	Bedrijfsleider / ondernemer verkoop juwelen en uurwerken
Q001395	Bedrijfsleider / ondernemer verkoop keukens
Q001396	Bedrijfsleider / ondernemer verkoop kinderkleding
Q001397	Bedrijfsleider / ondernemer verkoop kleding allround
Q001398	Duiker civiele onderwaterbouw (cob)
Q001399	Voorman duiker civiele onderwaterbouw (cob)
Q001400	Bedrijfsleider / ondernemer verkoop lingerie, beenmode- en bodyfashionartikelen
Q001401	Uitvoerder civiele onderwaterbouw (cob)
Q001402	Uitvoerder duikbergingsbedrijf
Q001403	Watermanager
Q001404	Consultant waterbeheer
Q001405	Bedrijfsleider / ondernemer verkoop motorfietsen
Q001406	Bedrijfsleider / ondernemer verkoop muziekinstrumenten en bladmuziek
Q001407	Bedrijfsleider / ondernemer verkoop naai- en breimachines
Q001408	Tekenaar civiele techniek
Q001409	Bedrijfsleider / ondernemer verkoop personenauto's
Q001410	Bedrijfsleider / ondernemer supermarkt
Q001411	Cad tekenaar-constructeur civiele techniek
Q001412	Bedrijfsleider / ondernemer tankstation
Q001413	Bedrijfsleider / ondernemer verkoop postzegels (filatelie) / munten
Q001414	Bedrijfsleider / ondernemer verkoop rijwielen
Q001415	Bedrijfsleider / ondernemer verkoop aardappelen, groente en fruit (agf)
Q001416	Cad tekenaar-werkvoorbereider civiele techniek
Q001417	Constructeur-ontwerper civiele techniek
Q001418	Hoogleraar bedrijfs- en consumentenwetenschappen
Q001419	Hoogleraar kunstwetenschappen
Q001420	Bedrijfsleider / ondernemer verkoop schoenen en lederwaren
Q001421	Hoogleraar landbouwwetenschappen
Q001422	Constructeur civiele techniek
Q001423	Machinist asfaltafwerkmachine
Q001424	Ontwerper civiele techniek
Q001425	Hoofd constructeur / ontwerper civiele techniek
Q001426	Adviseur civiele techniek
Q001427	Bedrijfsleider / ondernemer verkoop alcoholische dranken
Q001428	Rioolontstopper
Q001429	Rioolreiniger
Q001430	Rioleringsmedewerker
Q001431	Machinist koudfreesmachine
Q001432	Voorman rioleringsmedewerker
Q001433	Rioolreparateur
Q001434	Machinist wals
Q001435	Rioolinspecteur
Q001436	Bedrijfsleider / ondernemer rioleringsbedrijf
Q001437	Projectleider riolering
Q001438	Hoogleraar procestechnologie
Q001439	Manager riolering en waterhuishouding
Q001440	Adviseur riolering
Q001441	Machinist dozer
Q001442	Machinist dragline
Q001443	Uitvoerder grond-, weg- en waterbouw (gww)
Q001444	Bedrijfsleider / ondernemer verkoop delicatessen
Q001445	Machinist graaflaadcombinatie
Q001446	Machinist hydraulische graafmachine
Q001447	Werkvoorbereider grond-, weg- en waterbouw (gww)
Q001448	Werkvoorbereider / calculator grond-, weg- en waterbouw (gww)
Q001449	Machinist grader
Q001450	Bestekschrijver grond-, weg- en waterbouw (gww)
Q001451	Medewerker civiele techniek
Q001452	Hoofduitvoerder grond-, weg- en waterbouw (gww)
Q001453	Werkvoorbereider / projectleider grond-, weg- en waterbouw (gww)
Q001454	Bedrijfsleider / ondernemer grond-, weg- en waterbouwbedrijf (gww)
Q001455	Meewerkend voorman landbouw
Q001456	Landbouwer
Q001457	Bedrijfsleider / ondernemer verkoop reform- en natuurproducten
Q001458	Monteur grondverzet- en wegenbouwmachines
Q001459	Bedrijfsleider / ondernemer verkoop tabaks- en gemaksartikelen
Q001460	Bedrijfsleider / ondernemer verkoop vis, schaal- en weekdieren
Q001461	Monteur kranen en funderingsmachines
Q001462	Meewerkend voorman melkveehouderij
Q001463	Hoogleraar theaterwetenschap
Q001464	Melkveehouder
Q001465	Instructeur hijswerk
Q001466	Hoogleraar film- en televisiewetenschap
Q001467	Landmeter
Q001468	Bedrijfsleider / ondernemer verkoop vlees en vleeswaren
Q001469	Meewerkend voorman dier- en veehouderij
Q001470	Rundveehouder
Q001471	Meewerkend voorman bloemen- en plantenteelt
Q001472	Hoogleraar verkeers- en vervoerskunde
Q001473	Bedrijfsleider / ondernemer verkoop wild en gevogelte
Q001474	Hoogleraar scheepsbouwkunde
Q001475	Hoogleraar vliegtuigbouwkunde
Q001476	Hoogleraar werktuigbouwkunde
Q001477	Bedrijfsleider / ondernemer autoverhuurbedrijf / leasebedrijf
Q001478	Bedrijfsleider / ondernemer bouwmarkt
Q001479	Asbestverwijderaar
Q001480	Voorman sloopwerken
Q001481	Landmeetkundig binnendienst medewerker
Q001482	Bedrijfsleider / ondernemer sloopbedrijf
Q001483	Deskundig toezichthouder asbestverwijdering (dta' er)
Q001484	Springmeester gebouwen
Q001485	Dekvloerenlegger
Q001486	Projectleider landmeetkunde
Q001487	Interieurbeplanter
Q001488	Medewerker geo-informatie
Q001489	Boomverzorger
Q001490	Geo-informatiekundige
Q001491	Bedrijfsleider / ondernemer stukadoorsbedrijf
Q001492	Meewerkend voorman bloembollen
Q001493	Tuin- en landschapsarchitect
Q001494	Medewerker schaaldierenkwekerij
Q001495	Adviseur geotechniek
Q001496	Meewerkend voorman groenteteelt
Q001497	Meewerkend voorman fruitteelt
Q001498	Bedrijfsleider / ondernemer verkoop aanhangwagens
Q001499	Meewerkend voorman boomkwekerij
Q001500	Viskweker
Q001501	Bedrijfsleider / ondernemer verkoop antiek
Q001502	Bedrijfsleider / ondernemer verkoop audio- en videoapparatuur
Q001503	Meewerkend voorman paddestoelenkwekerij
Q001504	Schaaldierenkweker
Q001505	Paddestoelenkweker
Q001506	Bedrijfsleider / ondernemer verkoop autoaccessoires
Q001507	Wormenkweker
Q001508	Bedrijfsleider / ondernemer verkoop badkamers en sanitair
Q001509	Bedrijfsleider / ondernemer verkoop bedrijfsauto's
Q001510	Bedrijfsleider / ondernemer verkoop beeld- en geluidsdragers
Q001511	Begraafplaatsmedewerker
Q001512	Medewerker groenvoorziening (plantsoenen en parken)
Q001513	Bedrijfsleider / ondernemer verkoop caravans
Q001514	Informatiemanager ict
Q001515	Bedrijfsleider / ondernemer verkoop computers en computerbenodigdheden
Q001516	Greenkeeper
Q001517	Golfbaancommissaris
Q001518	Groenvoorziener (plantsoenen en parken)
Q001519	Praktijkopleider handel
Q001520	Praktijkopleider administratie
Q001521	Praktijkopleider beveiliging
Q001522	Praktijkopleider gezondheidszorg en welzijn
Q001523	Bedrijfsleider / ondernemer verkoop cosmetica en parfums
Q001524	Bedrijfsleider / ondernemer verkoop dameskleding
Q001525	Praktijkopleider uiterlijke verzorging
Q001526	Technisch onderwijsassistent (TOA)
Q001527	Decaan voortgezet onderwijs
Q001528	Bedrijfsleider / ondernemer verkoop dieren en dierartikelen
Q001529	Praktijkopleider horeca, toerisme en voeding
Q001530	Leider vormingscentrum
Q001531	Bedrijfsleider / ondernemer verkoop drogisterijartikelen
Q001532	Manager volksuniversiteit, volkshogeschool
Q001533	Leerlingbegeleider AVO
Q001534	Bedrijfsleider / ondernemer verkoop fotografische artikelen
Q001535	Bedrijfsleider / ondernemer verkoop gedenkstenen
Q001536	Bedrijfsleider / ondernemer verkoop handwerkartikelen en fournituren
Q001537	Bedrijfsleider / ondernemer verkoop herenkleding
Q001538	Algemeen directeur / bovenschoolsmanager
Q001539	Onderwijsassistent middelbaar beroepsonderwijs (BVE)
Q001540	Instructeur middelbaar beroepsonderwijs (BVE)
Q001541	Begeleider middelbaar beroepsonderwijs (BVE)
Q001542	Hoogleraar materiaalkunde
Q001543	Hoogleraar milieukunde
Q001544	Productieleider animatie
Q001545	Netwerkmarketeer
Q001546	Verkeersregelaar
Q001547	Signmaker
Q001548	Consulent wet maatschappelijke ondersteuning (wmo)
Q001549	Online marketeer
Q001550	Projectleider industriële reiniging
Q001551	Ontspanningsmasseur
Q001552	Werkvoorbereider / calculator installatietechniek
Q001553	Medewerker bloedafname
Q001554	Begeleider terminale zorg
Q001555	Commercieel medewerker binnendienst
Q001556	Procesontwerper / -beheerder
Q001557	OCE (opsporen conventionele explosieven) deskundige
Q001558	Senior OCE (opsporen conventionele explosieven) deskundige
Q001559	Projectassistent
Q001560	Promotiemedewerker
Q001561	Neuropsycholoog
Q001562	Business analist
Q001563	Deskundige asbestsanering
Q001564	Productieleider assemblage
Q001565	Subsidie adviseur
Q001566	Programmamanager
Q001567	Machinist cleaner vacuümwagen
Q001568	Tropenarts
Q001569	Uitvoerder werktuigbouw
Q001570	BI (business intelligence) Consultant
Q001571	Business consultant
Q001572	Hoofduitvoerder werktuigbouw
Q001573	Change- en releasemanager
Q001574	Regulatory affairs officer
Q001575	Medewerker operationeel verkeersmanagement
Q001576	Commissaris van de Koning
Q001577	Database ontwikkelaar
Q001578	Datamanager
Q001579	Vertrouwenspersoon
Q001580	Veiligheidskundige
Q001581	Maintenance engineer
Q001582	Specialist ouderengeneeskunde
Q001583	Intensive care arts
Q001584	Basispsycholoog
Q001585	Veiligheidsadviseur gevaarlijke stoffen
Q001586	Instructeur gevaarlijke stoffen
Q001587	Gasmeetkundige
Q001588	Projectmanager
Q001589	Business projectleider
Q001590	Personeelsplanner
Q001591	Technisch hartstimulatie specialist
Q001592	EMVI schrijver
Q001593	Bewindvoerder
Q001594	Hoofd operatiekamer
Q001595	Logistiek administratief medewerker
Q001596	Tolk Perzisch
Q001597	Medewerker bedrijfsbureau
Q001598	Tolk Pasjtoe
Q001599	Tolk Somalisch
Q001600	Tolk Mandarijn
Q001601	Tolk Hindi
Q001602	Tolk Bengaals
Q001603	Tolk Swahili
Q001604	Tolk Urdu
Q001605	Docent Perzisch (1e graads)
Q001606	Molenaar
Q001607	Software ontwikkelaar
Q001608	Verslavingsarts
Q001609	Software ontwerper
Q001610	Arts maatschappij en gezondheid
Q001611	Praktijkondersteuner huisarts somatiek (poh-s)
Q001612	Praktijkondersteuner huisarts GGZ (poh-ggz)
Q001613	Bestuurssecretaris
Q001614	Maag, darm, lever arts (MDL)
Q001615	Klinisch neuropsycholoog
Q001616	Verpleegkundig specialist
Q001617	Internet research specialist
Q001618	DBC/EPD adviseur
Q001619	Drone piloot
Q001620	Monteur industriële automatisering
Q001621	Arts beleid en advies
Q001622	Arts sociaal medische indicatiestelling en advisering
Q001623	Arts infectieziektebestrijding
Q001624	Arts medische milieukunde
Q001625	Donorarts
Q001626	Deskundige infectiepreventie
Q001627	Ziekenhuisarts
Q001628	Intensive care kinderverpleegkundige
Q001629	Praktijkondersteuner bedrijfsarts (POB)
Q001630	BIM modelleur
Q001631	Pijnverpleegkundige
Q001632	Kwaliteitsmeester trawlvisserij
Q001633	Ploegbaas trawlvisserij
Q001634	Pedagogisch medewerker kinderopvang
Q001635	Medewerker fabriek trawlvisserij
Q001636	Schipper-werktuigkundige stationair materieel
Q001637	Eindredacteur
Q001638	Kinderoncologieverpleegkundige
Q001639	Dementieverpleegkundige
Q001640	Contractmanager grond-, weg- en waterbouw (gww)
Q001641	Pedagogisch beleidsmedewerker kinderopvang
Q001642	Wetenschappelijk onderzoeker archeologie
Q001643	Inbedrijfsteller installaties / machines
Q001644	Monteur mechanische werken spoorwegen
Q001645	Motorfietstechnicus
Q001646	Autotechnicus
Q001647	Steigerbouwer
Q001648	Monteur witgoedapparaten
Q001649	Mouldroomtechnicus
Q001650	Museumgids
Q001651	Muziekbibliothecaris
Q001652	Financieel-administratief medewerker
Q001653	Natuursteenbewerker
Q001654	Nettenknoper
Q001655	Netwerkbeheerder (hoger)
Q001656	Netwerkbeheerder (middelbaar)
Q001657	Notaris
Q001658	Eerste medewerker bediening horeca
Q001659	Octrooigemachtigde
Q001660	Oefentherapeut Cesar
Q001661	Oefentherapeut Mensendieck
Q001662	Officier van justitie
Q001663	Offsetdrukker
Q001664	Omsteller cokesbereiding
Q001665	Onderhoudsmedewerker recreatievoorzieningen
Q001666	Onderhoudsmedewerker gebouwen
Q001667	Onderhoudsschilder
Q001668	Bedrijfsarts
Q001669	Woninginrichter
Q001670	Onderwijsassistent
Q001671	Inspecteur onderwijsinspectie
Q001672	Onderwijskundig medewerker ontwikkelen les- en cursusmateriaal
Q001673	Onderwijskundige
Q001674	Constructeur-ontwerper bouwkunde
Q001675	Operatieassistent
Q001676	Operator smelten erts, staal, non-ferro
Q001677	Opleidingsadviseur cursusinstituut
Q001678	Opsporingsambtenaar sociale voorzieningen (binnendienst)
Q001679	Opticien
Q001680	Optiekslijper brillen
Q001681	Opzichter bouw
Q001682	Opzichter weg- en waterbouw
Q001683	Orderbegeleider
Q001684	Orgelman
Q001685	Orthodontist
Q001686	Orthopedagoog
Q001687	Orthopedisch modelmaker en maatnemer
Q001688	Orthopedisch schoenmaker
Q001689	Orthoptist
Q001690	Osteopaat
Q001691	Paardenhouder
Q001692	Pannenlegger
Q001693	Parkeercontroleur
Q001694	Parketvloerlegger
Q001695	Particulier chauffeur
Q001696	Patroonmaker confectie
Q001697	Patroontekenaar schoeisel
Q001698	Pedagoog
Q001699	Voetverzorger
Q001700	Pelsdierenhouder
Q001701	Penitentiair inrichtingswerker
Q001702	Perser / strijker
Q001703	Personeelsfunctionaris
Q001704	Personeelsmedewerker
Q001705	Isolatieplaatwerker
Q001706	Bedrijfsleider / ondernemer binderij
Q001707	Planoloog
Q001708	Pluimveehouder
Q001709	Poelier
Q001710	Polismaker, -controleur
Q001711	Horecaportier
Q001712	Postbesteller koeriersdienst
Q001713	Postbode
Q001714	Praktijkopleider agrarisch
Q001715	Praktijkopleider algemeen
Q001716	Praktijkopleider bouw
Q001717	Praktijkopleider elektro
Q001718	Praktijkopleider grafische industrie
Q001719	Praktijkopleider metaalindustrie
Q001720	Praktijkopleider textielindustrie
Q001721	Praktijkopleider transport
Q001722	Predikant
Q001723	Preparateur dieren
Q001724	Presentator
Q001725	Priester
Q001726	PR-medewerker
Q001727	Bedrijfsleider / ondernemer drukkerij
Q001728	Productiemedewerker
Q001729	Bedrijfsleider / ondernemer drukvoorbereidingsbedrijf
Q001730	Productieplanner
Q001731	Productmanager
Q001732	Proefdierverzorger
Q001733	Bouwkundig projectleider
Q001734	Psychotherapeut
Q001735	Purser (luchtvaart)
Q001736	Raadadviseur
Q001737	Rabbijn
Q001738	Radiograaf
Q001739	Radiotelegrafist
Q001740	Radiotherapeutisch laborant
Q001741	Metalen ramen-, deuren-, kozijnen-, trappenmaker
Q001742	Rangeerder
Q001743	Rayonleider schoonmaak
Q001744	Receptionist
Q001745	Rechter
Q001746	Reclasseringswerker
Q001747	Recreatiebegeleider
Q001748	Rector school voor voortgezet onderwijs
Q001749	Recyclingmedewerker
Q001750	Regisseur film
Q001751	Regisseur radio
Q001752	Regisseur televisie
Q001753	Reisbegeleider
Q001754	Reisadviseur
Q001755	Bedrijfsleider / ondernemer fabricage elektrotechnische apparaten
Q001756	Reserveringsmedewerker reisorganisatie
Q001757	Remedial teacher
Q001758	Rentmeester onroerend goed
Q001759	Restauratietimmerman
Q001760	Restaurator schilderijen
Q001761	Restaurator boeken
Q001762	Rietdekker
Q001763	Rotanmeubelmaker
Q001764	Rietwerker
Q001765	Rijexaminator
Q001766	Rijinstructeur
Q001767	Rijschoolhouder
Q001768	Manager rooms division
Q001769	Salesmanager
Q001770	Monteur plastic artikelen
Q001771	Assemblagetechnicus voertuigen
Q001772	Bedrijfsleider / ondernemer fotolaboratorium
Q001773	Saunamedewerker
Q001774	Schaaldierenpeller
Q001775	Schapenhouder
Q001776	Schapenscheerder
Q001777	Scheepsarts
Q001778	Scheepskok
Q001779	Scheepsplaatwerker
Q001780	Scheepspurser
Q001781	Scheepsschilder
Q001782	Scheepstimmerman
Q001783	Scheepvaartmeester
Q001784	Scheidsrechter
Q001785	Schoolleider speciaal onderwijs (niet lesgevend)
Q001786	Schoonheidsspecialist
Q001787	Schoonmaker
Q001788	Schoonmaker laboratoriummateriaal en -glaswerk
Q001789	Productreiniger industrie
Q001790	Productieleider glasbewerken
Q001791	Schoorsteenveger
Q001792	Schrijver
Q001793	Secretariaatsmedewerker
Q001794	Sjouwer
Q001795	Bedrijfsleider / ondernemer instrumentenmakerij
Q001796	Slager
Q001797	Conventioneel slijper
Q001798	Sloper bouw
Q001799	Slotenmaker
Q001800	Sluiswachter
Q001801	Smeerder
Q001802	Smid
Q001803	Snackbarbediende
Q001804	Sociaal consulent gehandicapten
Q001805	Sociaal raadsman
Q001806	Sociaal rechercheur
Q001807	Sociaal-psychiatrisch verpleegkundige
Q001808	Soldeerder
Q001809	Sondeerder
Q001810	Sonoloog
Q001811	Souffleur theater
Q001812	Spuiter
Q001813	Verkoper huis aan huis
Q001814	Staladviseur
Q001815	Standaardbinder
Q001816	Standbouwer
Q001817	Verpakkingsoperator stanstechniek grafisch
Q001818	Statistisch analist
Q001819	Statistisch medewerker
Q001820	Stedenbouwkundig tekenaar
Q001821	Steenhouwer
Q001822	Bedrijfsleider metaalproducten
Q001823	Steward bus, touringcar
Q001824	Steward passagiersschip
Q001825	Steward luchtvaart
Q001826	Straatmaker
Q001827	Studieadviseur / studentendecaan
Q001828	Stukadoor
Q001829	Supervisor / docentenbegeleider
Q001830	Suppoost museum
Q001831	Systeembeheerder (hoger)
Q001832	Systeembeheerder (middelbaar)
Q001833	Tandarts
Q001834	Tandartsassistent
Q001835	Tandtechnicus
Q001836	Tapwacht
Q001837	Taxateur onroerend goed
Q001838	Taxichauffeur
Q001839	Technisch correspondent
Q001840	Technisch voorlichter alarmcentrale
Q001841	Tegelzetter
Q001842	Telecommunicatiemanager
Q001843	Telemarketeer
Q001844	Telefonist
Q001845	Terreinmeester
Q001846	Textielopmaker
Q001847	Theateragent
Q001848	Thesaurusbeheerder
Q001849	Timmerman B&U
Q001850	Betontimmerman
Q001851	Toekomstvoorspeller
Q001852	Toeristisch gids
Q001853	Medewerker toeristische informatie
Q001854	Controleur ijkwet
Q001855	Tolk gebarentaal
Q001856	Toolpusher
Q001857	Touringcarchauffeur binnenland
Q001858	Touringcarchauffeur buitenland
Q001859	Tractorchauffeur
Q001860	Trambestuurder
Q001861	Treasurer
Q001862	Typist / tekstverwerker
Q001863	Uitbener
Q001864	Uitgaafbinder
Q001865	Medewerker cultuurtechniek (buitendienst)
Q001866	Vakkracht opticienbedrijf
Q001867	Vakman grond-, weg- en waterbouw (gww)
Q001868	Varkenshouder
Q001869	Veehandelaar
Q001870	Veenarbeider
Q001871	Veepedicure
Q001872	Veeverloskundige
Q001873	Veiligheidskundige (adviserend)
Q001874	Vellenbewerker (grafisch)
Q001875	Papierveredelaar grafisch
Q001876	Verhuizer
Q001877	Verkeersinspecteur
Q001878	Verkeersplanoloog
Q001879	Verkeersvlieger
Q001880	Bedrijfsleider / ondernemer tegelzettersbedrijf
Q001881	Verkoopmedewerker binnendienst
Q001882	Bedrijfsleider (tevens kok) café-restaurant
Q001883	Verkoopmedewerker groothandel
Q001884	Verkoopmedewerker tankstation
Q001885	Verkoopmedewerker antiek en kunstartikelen
Q001886	Verkoopmedewerker audio- en videoapparatuur
Q001887	Verkoopmedewerker boeken, tijdschriften en kantoorartikelen
Q001888	Verkoopmedewerker brood, banket, chocolade en suikerwaren
Q001889	Verkoopmedewerker computers en computerbenodigdheden
Q001890	Verkoopmedewerker cosmetica en parfums
Q001891	Verkoopmedewerker dieren en dierartikelen
Q001892	Verkoopmedewerker doe-het-zelf zaak
Q001893	Verkoopmedewerker drogisterij
Q001894	Verkoopmedewerker huishoudelijke artikelen speelgoed en cadeauartikelen
Q001895	Verkoopmedewerker juwelen en uurwerken
Q001896	Verkoper kleding
Q001897	Verkoopmedewerker kaas- en zuivelproducten
Q001898	Verkoopmedewerker muziekinstrumenten en bladmuziek
Q001899	Verkoopmedewerker optiek
Q001900	Verkoopmedewerker rijwielen
Q001901	Verkoopmedewerker schoenen en lederwaren
Q001902	Verkoopmedewerker sport- en kampeerartikelen
Q001903	Verkoper supermarkt
Q001904	Verkoper vlees en vleeswaren
Q001905	Verkoper woninginrichting
Q001906	Verloskundige
Q001907	Verpleeghulp
Q001908	Verpleegkundige A
Q001909	Verpleegkundige orthopedie
Q001910	Verpleegkundige urologie
Q001911	Vertegenwoordiger agrarische producten
Q001912	Vertegenwoordiger chemische producten
Q001913	Verzorgende thuiszorg
Q001914	Veterinair patholoog
Q001915	Visagist
Q001916	Visbewerker
Q001917	Vliegtuigelektrotechnicus
Q001918	Vliegtuigrompenbouwer
Q001919	Vloerenafwerker
Q001920	Voedingsassistent
Q001921	Voedingsdeskundige (voorlichten)
Q001922	Voeger
Q001923	Voertuigbekleder
Q001924	Vogelhouder
Q001925	Voorman binderij
Q001926	Voorman dakdekker
Q001927	Voorman metselaar
Q001928	Voorman stukadoor
Q001929	Voorman tegelzetter
Q001930	Voorman timmerfabriek
Q001931	Voorman drukkerij
Q001932	Voorraadadministrateur
Q001933	Voorzitter adviesorgaan (overheid)
Q001934	Voorzitter product-, bedrijfsschap
Q001935	Verpakkingsoperator vouwplaktechniek
Q001936	Vrachtwagenchauffeur binnenland
Q001937	Vrachtwagenchauffeur buitenland
Q001938	Walschipper binnenvaart
Q001939	Wasserijmedewerker
Q001940	Waterklerk
Q001941	Watertechnisch installateur
Q001942	Wegenwacht
Q001943	Weger
Q001944	Wegmarkeerder
Q001945	Werkplaatstimmerman
Q001946	Wetenschappelijk onderzoeker cartografie
Q001947	Wetenschappelijk onderzoeker economie
Q001948	Wetenschappelijk onderzoeker elektrotechniek
Q001949	Wetenschappelijk onderzoeker farmacie
Q001950	Wetenschappelijk onderzoeker materiaalkunde
Q001951	Wetenschappelijk onderzoeker pedagogiek
Q001952	Wetenschappelijk onderzoeker tandheelkunde
Q001953	Wetenschappelijk onderzoeker vliegtuigbouwkunde
Q001954	Wetenschappelijk onderzoeker voeding
Q001955	Wetenschappelijk onderzoeker wiskunde
Q001956	Wijkverpleegkundige
Q001957	Gezinsverzorgende in de thuiszorg
Q001958	Winkelassistent
Q001959	Yogaleraar
Q001960	Zanddelver
Q001961	Zeefdrukker
Q001962	Ziekenhuisapotheker
Q001963	Zoölogisch analist
Q001964	Verzorgende instelling
Q001965	Zwembadmedewerker
Q001966	Zwemonderwijzer
Q001967	Bedrijfsleider wasserij
Q001968	Administratief medewerker magazijn
Q001969	Bedrijfsvoorlichter agrarische bedrijfsvoering
Q001970	Beeldhouwer
Q001971	Beeldtechnicus
Q001972	Administratief-juridisch medewerker
Q001973	Behanger
Q001974	Beheerder bos- en natuurterreinen
Q001975	Beheerder buurthuis
Q001976	Beheerder medisch archief
Q001977	Helpende instelling
Q001978	Belastingadviseur
Q001979	Belastingassistent
Q001980	Beleggingsanalist
Q001981	Beleidscoördinator emancipatiezaken
Q001982	Beleidsmedewerker agrarische zaken
Q001983	Administratief medewerker postverwerking
Q001984	Beleidsmedewerker documentatie, bibliotheek, informatievoorziening
Q001985	Beleidsmedewerker economische zaken
Q001986	Beleidsmedewerker fiscale zaken
Q001987	Beleidsmedewerker milieu
Q001988	Beleidsmedewerker onderwijs
Q001989	Beleidsmedewerker planologie en volkshuisvesting
Q001990	Administratief medewerker uitkeringsinstantie (sociale verzekeringen)
Q001991	Beleidsmedewerker volksgezondheid
Q001992	Bergingsduiker
Q001993	Administratief medewerker verzekeringen
Q001994	Beroepssporter
Q001995	Bestekschrijver bouw
Q001996	Bestekzoeker
Q001997	Bestrijder ongedierte
Q001998	Bestuurder sportbond
Q001999	Bestuurder werkgevers-, werknemersorganisatie
Q002000	Betonmolenbaas
Q002001	Betonmolenbaas weg- en waterbouw
Q002002	Betonningsmedewerker
Q002003	Betontechnoloog
Q002004	Lokaalassistent
Q002005	Dieselmotortechnicus schepen
Q002006	Restauratieschilder
Q002007	Voetbalsteward
Q002008	Reïntegratiedeskundige
Q002009	Bestuurskundige
Q002010	Databasebeheerder (hoger)
Q002011	Commercieel medewerker
Q002012	Klinisch-chemisch ingenieur
Q002013	Informatieanalist
Q002014	Monteur elektriciteitsnetten
Q002015	Baliemedewerker
Q002016	Sociaal dienstverlener
Q002017	Systeemontwikkelaar ict
Q002018	Samensteller instrumenten
Q002019	Laboreerder munitiesamensteller
Q002020	Tolk Arabisch
Q002021	Tolk Chinees
Q002022	Tolk Duits
Q002023	Tolk Engels
Q002024	Tolk Frans
Q002025	Tolk Nieuw-Grieks
Q002026	Tolk Italiaans
Q002027	Tolk Marokkaans
Q002028	Tolk Portugees
Q002029	Tolk Spaans
Q002030	Tolk Turks
Q002031	Tolk Scandinavische talen
Q002032	Administrateur
Q002033	Zaadteler
Q002034	Schoonmaker gebouwen/kantoren
Q002035	Beveiligingsbeambte
Q002036	Bewaarder hypotheken, kadaster, scheepsbewijzen
Q002037	Bezorger kranten, folders, tijdschriften
Q002038	Bibliothecaris
Q002039	Advertentie- en reclameacquisiteur
Q002040	Bijrijder
Q002041	Binnenhuisarchitect
Q002042	Schipper binnenvaart
Q002043	Bloembinder
Q002044	Bloembollenkweker
Q002045	Boekhouder
Q002046	Boekhoudkundig medewerker
Q002047	Bookmaker
Q002048	Boomchirurg
Q002049	Boomkweker
Q002050	Boorder metaal
Q002051	Boordwerktuigkundige vliegtuig
Q002052	Boorspoelingscontroleur
Q002053	Rig designer
Q002054	Boorwerker
Q002055	Borstelmaker machinaal
Q002056	Boswachter
Q002057	Advocaat
Q002058	Bouwfysicus
Q002059	Bouwkundig inspecteur
Q002060	Tekenaar bouwkunde
Q002061	Werkvoorbereider bouw
Q002062	Bouwtimmerman
Q002063	Brocheerder
Q002064	Brugwachter
Q002065	Butler
Q002066	Cabaretier
Q002067	Caddie
Q002068	Caissière detailhandel
Q002069	Kassahulp
Q002070	Caravanhersteller
Q002071	Cargadoor
Q002072	Carrosseriebouwer (metaal)
Q002073	Cartograaf
Q002074	Cartografisch tekenaar
Q002075	Castreur
Q002076	Chauffeur bestelauto
Q002077	Chauffeur vervoer gevaarlijke stoffen
Q002078	Chauffeur informatiebus
Q002079	Chauffeur vuilniswagen
Q002080	Chef de partie
Q002081	Chef-kok klein restaurant
Q002082	Chiropractor
Q002083	Chirurgisch instrumentmaker
Q002084	Choreograaf
Q002085	Circusartiest
Q002086	CNC-programmeur
Q002087	Commercieel administratief medewerker inkoop
