Q000001	adjunct al procurorului general
Q001504	secretar de emisie (studii superioare)
Q001505	sef agentie publicitate
Q001506	tehnoredactor
Q001507	critic muzical
Q001508	filolog
Q001509	interpret
Q001510	referent literar
Q001511	secretar literar
Q001512	translator
Q001513	grafolog
Q001514	terminolog
Q001515	cercetator in filologie
Q001516	asistent de cercetare in filologie
Q001517	caricaturist (studii superioare)
Q001518	grafician
Q001519	machetist
Q001520	pictor
Q001521	sculptor
Q001522	restaurator tablouri
Q001523	artist liric
Q001524	concert maestru
Q001525	corepetitor
Q001526	corist
Q001527	dirijor
Q001528	ilustrator muzical
Q001529	maestru studii canto
Q001530	instrumentist
Q001531	maestru cor
Q001532	referent muzical
Q001533	secretar muzical
Q001534	solist instrumentist
Q001535	solist vocal
Q001536	sufleur opera
Q001537	copiator note muzicale
Q001538	specialist instrumente de suflat
Q001539	artist instrumentist
Q001540	solist concertist
Q001541	dirijor cor
Q001542	artist liric opera
Q001543	corist opera
Q001544	maestru acordor pian clavecin
Q001545	maestru lutier
Q001546	specialist orga
Q001547	regizor muzical
Q001548	cantaret
Q001549	video-jockey
Q001550	maestru de ceremonii
Q001551	compozitor
Q001552	coregraf
Q001553	maestru studii de balet
Q001554	dansator
Q001555	instructor de dans
Q001556	consultant artistic
Q001557	corector transmisie
Q001558	instructor film
Q001559	instructor retea cinematografica
Q001560	lector scenarii
Q001561	intermediarist film de desene animate (studii superioare)
Q001562	stilizator film de desene animate (studii superioare)
Q001563	regizor artistic
Q001564	regizor emisie
Q001565	regizor studio
Q001566	regizor sunet
Q001567	regizor tehnic
Q001568	secretar sef productie film
Q001569	sufleur teatru
Q001570	editor RTV (stiri)
Q001571	director imagine
Q001572	referent de specialitate selectie programe TV
Q001573	copywriter publicitate (studii superioare)
Q001574	mediaplanner
Q001575	producator delegat evenimente de marketing
Q001576	redactor prezentator de televiziune
Q001577	animator film de animatie (studii superioare)
Q001578	editor coordonator programe TV
Q001579	director de creatie
Q001580	organizator productie (studii superioare)
Q001581	scenograf
Q001582	asistent scenograf
Q001583	videojurnalist (studii superioare)
Q001584	regizor culise
Q001585	regizor scena
Q001586	secretar platou
Q001587	actor
Q001588	actor manuitor de papusi
Q001589	artist circ
Q001590	prezentator (crainic) televiziune
Q001591	cascador
Q001592	figurant
Q001593	tehnician chimist
Q001594	laborant tehnica nucleara
Q001595	tehnician meteorolog
Q001596	prospector - prospectii geologice, geofizice
Q001597	metrolog
Q001598	tehnician metrolog
Q001599	operator meteorolog
Q001600	meteorolog aeronautic tehnician
Q001601	operator specialist curatare chimica la schimbatoarele de caldura cuplaci
Q001602	tehnician in fizica
Q001603	maistru constructii civile, industriale si agricole
Q001604	maistru normator
Q001605	tehnician constructor
Q001606	tehnician hidroamelioratii
Q001607	tehnician hidrotehnic
Q001608	tehnician topometrist
Q001609	tehnician proiectant in constructii
Q001610	tehnician instalatii in constructii
Q001611	tehnician laborant pentru lucrari de drumuri si poduri
Q001612	tehnician in industria materialelor de constructii
Q001613	maistru in industria materialelor de constructii
Q001614	tehnician proiectant in industria materialelor de constructii
Q001615	tehnician devize si masuratori in constructii
Q001616	tehnician devizier
Q001617	tehnician atasamentist
Q001618	dispecer gestiune uraniu
Q001619	tehnician electromecanic
Q001620	tehnician energetician/ electrician
Q001621	maistru electrician in constructii
Q001622	sef/ sef adjunct tura statie electrica (studii medii)
Q001623	tehnician electronica
Q001624	tehnician proiectant electronica
Q001625	maistru cazangerie
Q001626	maistru instalatii navale
Q001627	maistru  intretinere  si  reparatii  masini  -  unelte,  utilitati,  service,prototipuri
Q001628	maistru lacatus, constructii metalice
Q001629	maistru lacatus mecanic
Q001630	tehnician proiectant mecanic
Q001631	mecanic pentru intretinerea aparatelor de lansare la zbor
Q001632	maistru mecanic
Q001633	maistru mecanic auto
Q001634	maistru mecanica agricola
Q001635	maistru mecanica fina
Q001636	maistru montaj
Q001637	maistru prelucrari mecanice
Q001638	maistru sculer � matriter
Q001639	tehnician masini si utilaje
Q001640	tehnician mecanic
Q001641	tehnician prelucrari mecanice
Q001642	tehnician tehnolog mecanic
Q001643	maistru mecanic masini si utilaje pentru constructii
Q001644	tehnician mentenanta mecanica echipamente industriale
Q001645	tehnician documentatie studii
Q001646	tehnician prestatii vehicule
Q001647	tehnician reglementari/ omologari oficiale
Q001648	tehnician/ tehnician responsabil afacere, metode implantare
Q001649	tehnician/ tehnician responsabil afacere, metode gestiune mijloacesi utilaje
Q001650	tehnician/   tehnician   responsabil   afacere,   metode   pregatire   deindustrializare
Q001651	tehnician/ tehnician responsabil afacere, metode logistica
Q001652	tehnician/  tehnician  responsabil  afacere,  metode  organizarea  simasurarea muncii
Q001653	maistru fabricarea armamentului
Q001654	inspector cu supravegherea si verificarea tehnica a instalatiilor
Q001655	inspector ISCIR
Q001656	tehnician mentenanta a sistemelor de pozitionare dinamica
Q001657	surveyor maritim
Q001658	decontaminator
Q001659	laborant apa si apa grea
Q001660	laborant control dozimetrie
Q001661	maistru petrolist/ industria chimica
Q001662	laborant apa potabila
Q001663	tehnician petrolist chimie industriala
Q001664	maistru la fabricarea munitiei
Q001665	maistru metalurgie
Q001666	maistru presator metale
Q001667	maistru termotehnist
Q001668	maistru mineralurg
Q001669	maistru termist - tratamentist
Q001670	desenator tehnic
Q001671	trasator
Q001672	desenator
Q001673	topograf
Q001674	trasator naval - desenator
Q001675	tehnician cadastru
Q001676	maistru in industria celulozei si hartiei
Q001677	maistru tipograf
Q001678	paginator tipograf
Q001679	tehnician normare, salarizare, organizare
Q001680	tehnician pret de cost
Q001681	tehnician programare, lansare, urmarirea productiei
Q001682	tehnician pret de revenire/ costuri
Q001683	tehnician gestiune salariala
Q001684	tehnician gestiunea productiei
Q001685	tehnician gestiune stoc
Q001686	tehnician proiectant textile, pielarie
Q001687	sef formatie industria confectiilor imbracaminte
Q001688	tehnician platou
Q001689	tehnician laborant analize produse alimentare
Q001690	tehnician in morarit si panificatie
Q001691	maistru in industria alimentara
Q001692	operator control nedistructiv
Q001693	operator control nedistructiv cu radiatii penetrante
Q001694	operator control nedistructiv cu ultrasunete
Q001695	operator control nedistructiv cu lichide penetrante
Q001696	operator control nedistructiv cu particule magnetice
Q001697	operator control nedistructiv cu curenti turbionari
Q001698	operator control nedistructiv pentru verificarea etanseitatii
Q001699	operator responsabil cu supravegherea tehnica a instalatiilor
Q001700	operator control nedistructiv pentru examinare vizuala
Q001701	masurator de gaze, temperatura si radiatii
Q001702	controlor de productie la minele de aur nativ
Q001703	salvator minier
Q001704	controlor calitate dupa efectuarea probelor la armament si munitie
Q001705	controlor   calitate   pentru   executia   elementelor   la   armament   simunitie
Q001706	controlor de calitate la protejari metalice
Q001707	operator la instalatiile din centrale electrice
Q001708	operator la instalatiile de cazane din centrale electrice
Q001709	operator la instalatiile de turbine cu abur sau gaze
Q001710	masinist la instalatiile de turbine hidraulice
Q001711	masinist la centrale diesel
Q001712	operator punct termic
Q001713	operator centrala termica
Q001714	automatist pentru supraveghere si intretinere cazane
Q001715	operator curatare chimica la schimbatoarele de caldura cu placi
Q001716	operator la instalatii de incinerare
Q001717	operator hidraulic in alimentarile cu apa
Q001718	operator circuite retea apa
Q001719	masinist la conditionarea aerului
Q001720	operator la tratarea apei tehnologice
Q001721	operator masini refrigeratoare (conservare prin frig)
Q001722	operator chimist la chimizarea metanului
Q001723	rafinor
Q001724	distilator la prelucrarea titeiului
Q001725	operator instalatii imbuteliere gaz petrol lichefiat
Q001726	tehnician in industria celulozei si hartiei
Q001727	controlor de conformitate in industria de masini
Q001728	tehnician asigurarea calitatii
Q001729	operator echipamente de termografie
Q001730	tehnician in bacteriologie
Q001731	tehnician in biochimie
Q001732	tehnician in serologie
Q001733	tehnician in biologie
Q001734	evaluator si auditor de mediu
Q001735	tehnician agronom - cercetare
Q001736	tehnician pedolog
Q001737	operator in ferme ecologice mixte
Q001738	clasificator carcase
Q001739	tehnician in industrializarea lemnului
Q001740	tehnician proiectant in industrializarea lemnului
Q001741	maistru in industrializarea lemnului
Q001742	tehnician silvic-cercetare
Q001743	tehnician in reconstructia ecologica
Q001744	tehnician cadastru forestier
Q001745	tehnician amenajist
Q001746	tehnician proiectant in reconstructia ecologica
Q001747	ofiter ajutor fluvial/ portuar
Q001748	ofiter RTG
Q001749	ajutor ofiter mecanic fluvial
Q001750	capitan port
Q001751	ofiter intendent
Q001752	ofiter de punte fluvial/ portuar
Q001753	sef echipaj maritim/ fluvial
Q001754	pilot de mare larga, pilot de port maritim
Q001755	dragor maritim/ fluvial
Q001756	ofiter  de  punte  maritim  aspirant/  ofiter  mecanic  maritim  aspirant/ofiter electrician maritim aspirant
Q001757	comandant detasament zbor
Q001758	comandant insotitor de bord
Q001759	copilot
Q001760	pilot aeronave
Q001761	pilot comandant avion
Q001762	parasutist receptie si control
Q001763	parasutist incercator
Q001764	pilot instructor aeronave
Q001765	instructor parasutism
Q001766	tehnician aviatie
Q001767	controlor trafic aviatia civila
Q001768	dispecer sol
Q001769	controlor trafic aerian dirijare nonradar
Q001770	controlor trafic aerian dirijare radar
Q001771	controlor trafic aerian informare
Q001772	navigator informare
Q001773	sef tura telecomunicatii aeronautice aviatie civila
Q001774	controlor trafic aerian (simulator trafic aerian)
Q001775	masinist agregate aerodrom
Q001776	operator instalatii control antiterorist/ antideturnare
Q001777	tehnician securitate aeriana
Q001778	operator de handling
Q001779	inspector siguranta operationala
Q001780	agent de securitate aeroportuara
Q001781	dispecer operatiuni de zbor
Q001782	tehnician    protectia    navigatiei    aeriene    (comunicatii,    navigatie,supraveghere)
Q001783	operator de handling combustibil
Q001784	maistru aparate electromedicale
Q001785	tehnician aparate electromedicale
Q001786	asistent farmacist
Q001787	tehnician acustician - audioprotezist
Q001788	tehnician   evaluare,   recomandare,   furnizare   si   adaptare   fotoliirulante
Q001789	evaluator asigurari
Q001790	sora medicala
Q001791	asistenta puericultoare
Q001792	asistent veterinar
Q001793	tehnician veterinar
Q001794	tehnician dentar
Q001795	asistent de profilaxie stomatologica
Q001796	administrator programe nationale boli transmisibile
Q001797	agent retea boli transmisibile
Q001798	asistent coordonator programe nationale curative si boli netransmisibile
Q001799	asistent medical comunitar
Q001800	optician medical
Q001801	optometrist (studii medii)
Q001802	maseur
Q001803	ergoterapeut
Q001804	asistent medical consiliere HIV/ SIDA
Q001805	expert/ specialist standardizare
Q001806	monitor mediul inconjurator
Q001807	inspector pentru conformare ecologica
Q001808	asistent standardizare
Q001809	manager al sistemului de management al riscului
Q001810	inspector protectia mediului
Q001811	manager in domeniul sigurantei alimentare
Q001812	inspector in domeniul securitatii si sanatatii in munca
Q001813	manager dezvoltare durabila pentru mobila sau componente
Q001814	brancardier
Q001815	ambulantier
Q001816	asistent medical generalist
Q001817	paramedic
Q001818	asistent medical de pediatrie
Q001819	asistent medical obstetrica-ginecologie
Q001820	asistent medical igiena si sanatate publica
Q001821	asistent medic-social
Q001822	asistent medical radiologie
Q001823	cambist (broker valori)
Q001824	intermediar in activitatea financiara si comerciala (broker)
Q001825	broker bursa de marfuri
Q001826	teleoperator financiar-bancar
Q001827	agent marketing pensii private
Q001828	agent pentru servicii de investitii financiare
Q001829	analist tehnic piete financiare
Q001830	ofiter operatiuni financiar-bancare
Q001831	calculator devize
Q001832	tehnician merceolog
Q001833	planificator
Q001834	revizor gestiune
Q001835	contabil bugetar
Q001836	secretar economic (studii medii)
Q001837	merceolog
Q001838	referent
Q001839	referent statistician
Q001840	statistician
Q001841	statistician medical
Q001842	actuar
Q001843	tehnician planificare/ urmarire sinteze
Q001844	estimator licitatii
Q001845	agent de asigurare
Q001846	broker in asigurari
Q001847	reprezentant comercial
Q001848	consilier vanzari bijuterii si ceasuri
Q001849	specialist in achizitii
Q001850	mercantizor
Q001851	agent vanzari standarde si produse conexe
Q001852	agent contractari si achizitii (broker marfuri)
Q001853	agent cumparari
Q001854	declarant vamal
Q001855	agent maritim
Q001856	agent repartizare a fortei de munca
Q001857	agent  orientare  profesionala  a  somerilor/  agent  informare  privindcariera
Q001858	inspector/ referent resurse umane
Q001859	agent ocupare
Q001860	analist resurse umane
Q001861	tehnician mobilitate personal
Q001862	tehnician reconversie personal
Q001863	instructor/ preparator formare
Q001864	tehnician calificare gestiune competente
Q001865	tehnician resurse umane
Q001866	agent imobiliar (broker imobiliar)
Q001867	impresar muzical
Q001868	impresar teatru
Q001869	agent servicii client
Q001870	impresar artistic
Q001871	operator de interviu
Q001872	referent comert exterior
Q001873	operator vanzari prin telefon
Q001874	asistent atragere fonduri
Q001875	secretar asistent director
Q001876	asistent manager
Q001877	asistent de cabinet
Q001878	receptioner medical
Q001879	transcriptor medical
Q001880	controlor vamal, controlor pentru datoria vamala (studii medii)
Q001881	expert/ inspector vamal
Q001882	controlor  vamal,  controlor  pentru  datoria  vamala,  agent  vamal(studii superioare)
Q001883	inspector de trafic rutier (studii medii)
Q001884	inspector taxe si impozite
Q001885	perceptor
Q001886	inspector pensii, asigurari sociale si asistenta sociala
Q001887	referent pensii, asigurari sociale si asistenta sociala
Q001888	inspector pentru acordarea de permise, licente sau autorizatii
Q001889	inspector de stat
Q001890	inspector tehnic
Q001891	expert
Q001892	inspector de politie
Q001893	detectiv
Q001894	anchetator politie
Q001895	detectiv particular
Q001896	inspector metrolog
Q001897	inspector preturi
Q001898	inspector salarii
Q001899	comisar
Q001900	grefier
Q001901	tehnician criminalist
Q001902	functionar in activitati comerciale, administrative si preturi
Q001903	executor judecatoresc (tribunal, judecatorie)
Q001904	arhivar notariat
Q001905	expert tehnic judiciar
Q001906	grefier statistician
Q001907	grefier documentarist
Q001908	secretar dactilograf laborator expertize criminalistice
Q001909	asistent registrator
Q001910	grefier arhivar
Q001911	grefier registrator
Q001912	ofiter antifrauda financiar-bancara (studii medii)
Q001913	lucrator social pentru persoane cu probleme de dependenta
Q001914	tehnician egalitate de sanse
Q001915	calugar / calugarita
Q001916	paracliser
Q001917	predicator
Q001918	egumen / egumena
Q001919	preot
Q001920	diacon
Q001921	fotbalist profesionist
Q001922	sportiv profesionist in alte discipline sportive
Q001923	jucator de rugbi
Q001924	sportiv de inalta performanta
Q001925	sportiv de performanta
Q001926	antrenor
Q001927	instructor sportiv
Q001928	secretar federatie
Q001929	instructor arte martiale
Q001930	instructor (monitor) schi/ calarie/ golf/ tenis/ inot/ sporturi extreme
Q001931	antrenor coordonator
Q001932	arbitru judecator sportiv
Q001933	preparator sportiv
Q001934	impresar sportiv
Q001935	oficial sportiv acreditat
Q001936	instructor in poligonul de tir
Q001937	supraveghetor in poligonul de tir
Q001938	monitor de schi, snow-board si sporturi de alunecare pe zapada
Q001939	instructor educatie acvatica
Q001940	arbitru de fotbal
Q001941	organizator evenimente sportive
Q001942	ofiter de control doping (studii medii)
Q001943	steward sportiv
Q001944	antrenor national
Q001945	instructor educatie fizica
Q001946	instructor salvaspeo
Q001947	instructor speologie
Q001948	instructor in poligonul de tragere
Q001949	fotograf
Q001950	operator prelucrare pelicula
Q001951	butafor
Q001952	decorator interioare
Q001953	desenator artistic (studii medii)
Q001954	decorator vitrine
Q001955	desenator artistic (studii superioare)
Q001956	restaurator opere de arta si monumente istorice (studii medii)
Q001957	conservator opere de arta si monumente istorice (studii medii)
Q001958	restaurator bunuri culturale (studii medii)
Q001959	conservator bunuri culturale (studii medii)
Q001960	restaurator arhiva (studii medii)
Q001961	conservator arhiva (studii medii)
Q001962	sef de sala restaurant
Q001963	barman - sef
Q001964	bucatar - sef
Q001965	cofetar - sef
Q001966	manuitor, montator decor
Q001967	tehnician machetist
Q001968	tehnician reclame (decorator)
Q001969	maestru de lumini
Q001970	caricaturist (studii medii)
Q001971	tehnoredactor
Q001972	reporter (studii medii)
Q001973	machior spectacole
Q001974	peruchier
Q001975	documentarist (studii medii)
Q001976	traducator (studii medii)
Q001977	videojurnalist (studii medii)
Q001978	copywriter publicitate (studii medii)
Q001979	corector (studii medii)
Q001980	secretar artistic
Q001981	prezentator TV
Q001982	disc jockey
Q001983	operator calculator electronic si retele
Q001984	sef tura exploatare in centre sau oficii de calcul
Q001985	tehnician echipamente de calcul si retele
Q001986	operator in domeniul proiectarii asistate pe calculator
Q001987	administrator sistem documentar
Q001988	operator prompter
Q001989	operator suport tehnic pentru servicii de comunicatii electronice
Q001990	programator ajutor
Q001991	analist ajutor
Q001992	acustician cinematografic
Q001993	controlor si reconditioner filme
Q001994	electrician iluminare filmare
Q001995	etaloner
Q001996	maistru aparate video si sunet
Q001997	masinist mecanic traweling
Q001998	mecanic camera filmare
Q001999	montor imagine
Q002000	montor negative si de pregatire a peliculei
Q002001	montor pozitive
Q002002	operator camera diafilm, diapozitive
Q002003	operator emisie-receptie
Q002004	operator productie RTV
Q002005	preparator filmare
Q002006	proiectionist
Q002007	senzitometrist
Q002008	stantator de filme
Q002009	operator truka
Q002010	editor imagine
Q002011	tehnician iluminat tehnologic
Q002012	ilustrator muzical
Q002013	controlor emisii RTV
Q002014	montor emisie
Q002015	operator imagine
Q002016	operator radio-radioficare
Q002017	operator sunet
Q002018	tehnician radioelectronist
Q002019	tehnician CATV
Q002020	operator dispecer sisteme de monitorizare si aparatura de control
Q002021	tehnician  pentru  sisteme  de  detectie,  supraveghere  video,  controlacces
Q002022	cameraman
Q002023	tehnician de echipamente TV
Q002024	radioelectronist statii de emisie radio-TV
Q002025	tehnician la echipamente de inregistrare imagine si sunet
Q002026	designer video
Q002027	sef formatie sisteme radiante (antene)
Q002028	tehnician constructii telefonice
Q002029	tehnician radiolocatii
Q002030	tehnician turn parasutism
Q002031	inspector exploatare postala
Q002032	maistru materiale emisie RTV si telecomunicatii
Q002033	pilonist antenist
Q002034	tehnician retele de telecomunicatii
Q002035	maistru transporturi, posta si telecomunicatii
Q002036	tehnician transporturi, posta si telecomunicatii
Q002037	tehnician proiectant transporturi si comunicatii
Q002038	functionar administrativ
Q002039	referent de stare civila
Q002040	secretara
Q002041	secretara dactilografa
Q002042	secretara prelucrare texte
Q002043	dactilografa
Q002044	referent transmitere
Q002045	telefaxist
Q002046	teletipist
Q002047	telexist
Q002048	telebanker
Q002049	operator introducere, validare si prelucrare date
Q002050	operator tehnica poligraf
Q002051	operator procesare text si imagine
Q002052	registrator de arhiva electronica de garantii reale mobiliare
Q002053	operator masina contabilizat
Q002054	operator masina de calculat
Q002055	casier tezaur
Q002056	casier valuta
Q002057	numarator bani
Q002058	verificator bani
Q002059	verificator valori
Q002060	casier trezorier
Q002061	sef casierie centrala
Q002062	sef supraveghere case
Q002063	operator ghiseu banca
Q002064	operator ghiseu birouri de schimb
Q002065	administrator cont
Q002066	referent operatii intre sedii
Q002067	referent casier
Q002068	operator gestionar loto
Q002069	crupier
Q002070	supraveghetor jocuri (cazino)
Q002071	sef de masa (cazino)
Q002072	cap de masa (cazino)
Q002073	amanetar
Q002074	agent fiscal
Q002075	colector (recuperator) creante/debite
Q002076	agent de turism
Q002077	agent de turism tour-operator
Q002078	agent de asistenta turistica
Q002079	agent turism de afaceri
Q002080	agent transporturi externe
Q002081	agent transporturi interne
Q002082	functionar agentie voiaj
Q002083	agent de turism pentru circuite tematice
Q002084	oficiant telefoane
Q002085	oficiant telegraf
Q002086	radiotelegrafist
Q002087	telefonist
Q002088	telefonist instructor
Q002089	telegrafist (teleimprimatorist)
Q002090	receptioner de hotel
Q002091	lucrator concierge
Q002092	sef de receptie hotel
Q002093	responsabil cazare
Q002094	functionar informatii clienti
Q002095	receptionist
Q002096	calculator pret cost
Q002097	functionar economic
Q002098	operator devize
Q002099	sef sectie inventar
Q002100	agent bursa
Q002101	administrator financiar (patrimoniu) studii medii
Q002102	pontator
Q002103	gestionar depozit
Q002104	magaziner
Q002105	operator siloz (silozar)
Q002106	primitor-distribuitor materiale si scule
Q002107	recuziter
Q002108	sortator produse
Q002109	trezorier (studii medii)
Q002110	pivnicer
Q002111	lucrator gestionar
Q002112	sef raion/ adjunct marfuri alimentare/ nealimentare
Q002113	receptioner-distribuitor
Q002114	dispecer
Q002115	facturist
Q002116	programator productie
Q002117	agent transporturi
Q002118	functionar informatii
Q002119	impiegat auto
Q002120	impiegat informatii aviatie
Q002121	impiegat registru miscare
Q002122	insotitor vagoane
Q002123	inspector exploatare trafic
Q002124	operator circulatie miscare
Q002125	operator comercial
Q002126	operator dana
Q002127	operator programare
Q002128	picher
Q002129	reditionar
Q002130	revizor tehnic vagoane
Q002131	scriitor vagoane
Q002132	sef agentie colectare si expeditie marfuri
Q002133	avizier cai ferate
Q002134	sef halta
Q002135	sef statie taxare
Q002136	sef tura la comanda personalului de tren
Q002137	verificator documente expeditie
Q002138	expeditor international
Q002139	operator receptie
Q002140	agent curier
Q002141	impiegat de miscare metrou
Q002142	operator portuar dispecer/ planificator
Q002143	grafician mers de tren
Q002144	referent de specialitate TIR si tranzite (studii superioare)
Q002145	agent feroviar marfa
Q002146	referent protocol aeroportuar
Q002147	revizor tehnic auto
Q002148	bibliotecar (studii medii)
Q002149	discotecar
Q002150	filmotecar
Q002151	fonotecar
Q002152	fototecar
Q002153	videotecar
Q002154	agent postal
Q002155	cartator postal
Q002156	diriginte posta
Q002157	factor postal
Q002158	oficiant posta telegrame
Q002159	codificator
Q002160	corector editura presa
Q002161	corector-revizor poligrafie
Q002162	arhivar
Q002163	referent evidenta persoanelor
Q002164	functionar ghiseu servicii publice
Q002165	conductor tren
Q002166	revizor bilete
Q002167	controlor bilete
Q002168	conductor vagon de dormit si cuseta
Q002169	controlor acces metrou
Q002170	sef tura comanda vagon de dormit � cuseta
Q002171	ghid national de turism (tour-operator)
Q002172	ghid de turism montan, drumetie montana
Q002173	ghid galerii de arta/ interpret
Q002174	ghid habitat natural flora, fauna
Q002175	ghid turism ornitologic
Q002176	ghid turism speologic
Q002177	ghid turism ecvestru
Q002178	ghid de turism sportiv (alpinism si catarari pe stanci/ schi/ bob/ inot/canotaj/ iahting/ zbor cu aparate ultrausoare)
Q002179	ghid montan
Q002180	ghid obiectiv cultural
Q002181	insotitor grup turistic
Q002182	organizator activitate turism (studii medii)
Q002183	ranger
Q002184	custode pentru arii protejate
Q002185	animator de hotel
Q002186	insotitor speolog
Q002187	ghid turistic pentru pesteri amenajate
Q002188	ghid canioning
Q002189	bucatar
Q002190	bucatar specialist/ vegetarian/ dietetician
Q002191	maestru in arta culinara
Q002192	ajutor ospatar
Q002193	ospatar (chelner)
Q002194	somelier
Q002195	barman
Q002196	barman preparator
Q002197	frizer
Q002198	coafor stilist
Q002199	stilist extensii de par
Q002200	cosmetician
Q002201	manichiurist
Q002202	pedichiurist
Q002203	machior
Q002204	tatuator
Q002205	montator bijuterii pe corp
Q002206	stilist protezist de unghii
Q002207	operator intretinere corporala
Q002208	dermopigmentist
Q002209	guvernanta de hotel/ etaj
Q002210	lenjereasa de hotel
Q002211	administrator piete si targuri
Q002212	intendent
Q002213	sef cantina
Q002214	dispecer pentru servire in camera (hotel)
Q002215	gospodar
Q002216	administrator pensiune turistica
Q002217	ingrijitor cladiri
Q002218	administrator de condominii
Q002219	astrolog
Q002220	camerista hotel
Q002221	insotitor
Q002222	valet
Q002223	antreprenor servicii funerare
Q002224	imbalsamator
Q002225	ingrijitor farmacii, cabinete veterinare
Q002226	agent dezinfectie, deratizare, dezinsectie
Q002227	gazda club
Q002228	agent ecolog
Q002229	raportor ecolog
Q002230	intretinator textile-piele
Q002231	animator centre de vacanta
Q002232	lucrator pensiune turistica
Q002233	operator partie de schi
Q002234	prestidigitator
Q002235	iluzionist de circ
Q002236	lucrator interpret in limbaj mimico-gestual
Q002237	vanzator ambulant de produse alimentare
Q002238	anticar
Q002239	librar
Q002240	lucrator produse naturiste
Q002241	vanzator de produse naturiste
Q002242	vanzator de bilete
Q002243	casier
Q002244	casier metrou
Q002245	manechin
Q002246	model - atelier artistic si publicitate
Q002247	prezentator moda
Q002248	vanzator la domiciliul clientului pe baza de comanda
Q002249	ingrijitor de copii
Q002250	guvernanta
Q002251	baby sitter
Q002252	bona
Q002253	educator specializat
Q002254	ingrijitor grupa invatamant prescolar
Q002255	infirmier/infirmiera
Q002256	ingrijitor la domiciliu
Q002257	mediator sanitar
Q002258	mediator social
Q002259	lucrator prin arte combinate
Q002260	operator prestatii sociale
Q002261	supraveghetor de noapte servicii sociale
Q002262	lucrator social
Q002263	sef compartiment pentru prevenire
Q002264	specialisti pentru prevenire
Q002265	servant pompier
Q002266	sef grupa interventie
Q002267	sef echipa specializata
Q002268	agent de politie penitenciara
Q002269	educator in penitenciare
Q002270	agent de securitate
Q002271	agent control acces
Q002272	agent de securitate incinta (magazin, hotel, intreprindere etc.)
Q002273	agent garda de corp
Q002274	agent de securitate interventie
Q002275	agent transport valori
Q002276	dispecer centru de alarma
Q002277	sef tura servicii securitate
Q002278	inspector de securitate
Q002279	evaluator de risc de efractie
Q002280	agent de securitate conducator caini de serviciu patrulare
Q002281	agent de securitate competitii sportive
Q002282	sef serviciu voluntar/ privat pentru situatii de urgenta
Q002283	cadru tehnic cu atributii in domeniul prevenirii si stingerii incendiilor
Q002284	salvator la strand
Q002285	salvamar
Q002286	gardian feroviar
Q002287	agent conducator caini de serviciu
Q002288	salvator din mediul subteran speologic
Q002289	salvator din mediul subacvatic speologic
Q002290	agricultor
Q002291	gradinar
Q002292	legumicultor
Q002293	lucrator calificat in culturi de camp si legumicultura
Q002294	agricultor pentru culturi de camp ecologice
Q002295	arboricultor
Q002296	ciupercar
Q002297	floricultor
Q002298	peisagist - floricultor
Q002299	lucrator calificat in floricultura si arboricultura
Q002300	viticultor
Q002301	lucrator calificat in irigatii
Q002302	crescator-ingrijitor de animale domestice pentru productia de lapte sicarne
Q002303	tocator de furaje
Q002304	lucrator calificat in cresterea animalelor
Q002305	mamos porcine
Q002306	crescator de oi montan
Q002307	crescator de pasari
Q002308	fazanier
Q002309	crescator de pasari pentru reproductie
Q002310	crescator de pasari pentru oua de consum
Q002311	crescator de pui pentru carne
Q002312	crescator de pasari de rasa si pentru decor
Q002313	arbitru pentru pasari de rasa
Q002314	apicultor
Q002315	sericicultor
Q002316	crescator de animale mici
Q002317	crescator-ingrijitor animale salbatice captive
Q002318	crescator-ingrijitor de animale de laborator
Q002319	crescator de melci
Q002320	antrenor cabaline
Q002321	herghelegiu
Q002322	fermier in productia animala
Q002323	agricultor in culturi vegetale si crescator de animale
Q002324	cioplitor in lemn
Q002325	muncitor plantatii si amenajare zona verde
Q002326	protectionist silvic
Q002327	lucrator in culturi acvatice
Q002328	piscicultor
Q002329	pescar in ape interioare si de coasta
Q002330	pescar in mari si oceane
Q002331	muncitor constructor barne, chirpici, piatra
Q002332	confectioner placi din diverse materiale
Q002333	confectioner plase si panze rabit din stuf
Q002334	laborant pentru constructii de drumuri si constructii civile
Q002335	sobar
Q002336	zidar cosuri fabrica
Q002337	zidar pietrar
Q002338	zidar samotor
Q002339	zidar rosar-tencuitor
Q002340	zidar restaurator
Q002341	cioplitor in piatra si marmura
Q002342	gaterist la taiat blocuri de piatra, marmura
Q002343	taietor, slefuitor, lustruitor piatra, marmura
Q002344	restaurator piatra
Q002345	betonist
Q002346	fierar betonist
Q002347	montator elemente prefabricate din beton armat
Q002348	constructor structuri monolite
Q002349	operator injectorist
Q002350	injectorist in constructii
Q002351	dulgher (exclusiv restaurator)
Q002352	dulgher restaurator
Q002353	pavator
Q002354	asfaltator
Q002355	cantonier
Q002356	chesonier
Q002357	constructor cai ferate
Q002358	constructor linii tramvai
Q002359	fascinar
Q002360	finisor terasamente
Q002361	sef echipa intretinere poduri metalice, viaducte si tuneluri
Q002362	revizor cale sau puncte periculoase
Q002363	meserias intretinere cale
Q002364	sef echipa intretinere cale
Q002365	meserias intretinere poduri metalice, viaducte si tuneluri
Q002366	alpinist utilitar
