C000001_el_000	Ένοπλες δυνάμεις
C001638_el_005	εργάτης συστήματος διανομής φυσικού αερίου
C001638_el_006	εργάτρια συστήματος διανομής φυσικού αερίου
C001638_el_007	χειρίστρια συστήματος διανομής φυσικού αερίου
C001638_el_008	χειρίστρια συστήματος μεταφοράς φυσικού αερίου
C001638_el_009	χειριστής συστήματος διανομής φυσικού αερίου
C001638_el_010	χειριστής συστήματος μεταφοράς φυσικού αερίου
C001639_el_000	ράπτης ενδυμάτων/ράπτρια ενδυμάτων
C001639_el_001	ράπτης ενδυμάτων
C001639_el_002	ράπτρια ενδυμάτων
C001639_el_003	ράφτης
C001639_el_004	ράφτρα
C001639_el_005	ράφτρια
C001640_el_000	πανεπιστημιακός καθηγητής φαρμακευτικής/πανεπιστημιακή καθηγήτρια φαρμακευτικής
C001640_el_001	αναπληρωτής καθηγητής φαρμακευτικής
C001640_el_002	αναπληρώτρια καθηγήτρια φαρμακευτικής
C001640_el_003	επίκουρη καθηγήτρια φαρμακευτικής
C001640_el_004	επίκουρος καθηγητής φαρμακευτικής
C001640_el_005	καθηγήτρια φαρμακευτικής
C001640_el_006	καθηγητής φαρμακευτικής
C001640_el_007	λέκτορας φαρμακευτικής
C001640_el_008	λεκτόρισσα φαρμακευτικής
C001640_el_009	πανεπιστημιακή καθηγήτρια φαρμακευτικής
C001640_el_010	πανεπιστημιακός καθηγητής φαρμακευτικής
C001641_el_000	εκπαιδευτής εξωτερικών δραστηριοτήτων/εκπαιδεύτρια εξωτερικών δραστηριοτήτων
C001641_el_001	εκπαιδευτής εξωτερικών δραστηριοτήτων
C001641_el_002	εκπαιδεύτρια εξωτερικών δραστηριοτήτων
C001642_el_000	διοικητικός υπάλληλος εκπαιδευτικού οργανισμού/διοικητική υπάλληλος εκπαιδευτικού οργανισμού
C001642_el_001	γραμματέας εκπαιδευτικού οργανισμού
C001642_el_002	γραμματέας σχολείου
C001642_el_003	διοικητική υπάλληλος εκπαιδευτικού οργανισμού
C001642_el_004	διοικητικός υπάλληλος εκπαιδευτικού οργανισμού
C001643_el_000	γλωσσομαθής νομικός
C001643_el_001	μεταφράστρια νομικών κειμένων
C001643_el_002	μεταφραστής νομικών κειμένων
C001643_el_003	νομική μεταφράστρια
C001643_el_004	νομικός μεταφραστής
C001644_el_000	παιδαγωγός προσχολικής ηλικίας
C001644_el_001	βρεφονηπιοκόμος
C001644_el_002	νηπιαγωγός
C001645_el_000	βοτανολόγος
C001646_el_000	βοηθός κομμωτηρίου
C001647_el_000	αντιπρόσωπος υπηρεσιών ενοικίασης μηχανημάτων και λοιπού εξοπλισμού γραφείου
C001648_el_000	διαχειριστής μεταφορών μέσω σωληναγωγών/διαχειρίστρια μεταφορών μέσω σωληναγωγών
C001648_el_001	διαχειρίστρια μεταφορών μέσω σωληναγωγών
C001648_el_002	διαχειριστής μεταφορών μέσω σωληναγωγών
C001648_el_003	επόπτης μεταφορών μέσω σωληναγωγών
C001648_el_004	επόπτρια μεταφορών μέσω σωληναγωγών
C001649_el_000	χαράκτης λίθων/χαράκτρια λίθων
C001649_el_001	λιθογράφος
C001649_el_002	λιθοξόος
C001649_el_003	χαράκτης
C001649_el_004	χαράκτης λίθων
C001649_el_005	χαράκτης πέτρας
C001649_el_006	χαράκτρια
C001649_el_007	χαράκτρια λίθων
C001649_el_008	χαράκτρια πέτρας
C001650_el_000	ναύτης
C001650_el_001	ναυτικός
C001650_el_002	ναυτόπαις
C001651_el_000	ειδικευμένος πωλητής οπτικών/ειδικευμένη πωλήτρια οπτικών ειδών
C001651_el_001	ειδικευμένη πωλήτρια οπτικών ειδών
C001651_el_002	ειδικευμένος πωλητής οπτικών
C001652_el_000	οικονομικός σύμβουλος/οικονομική σύμβουλος
C001652_el_001	αναλυτής οικονομικής πολιτικής
C001652_el_002	αναλύτρια οικονομικής πολιτικής
C001652_el_003	οικονομική αναλύτρια
C001652_el_004	οικονομική επιστήμονας
C001652_el_005	οικονομική σύμβουλος
C001652_el_006	οικονομικός αναλυτής
C001652_el_007	οικονομικός επιστήμονας
C001652_el_008	οικονομικός σύμβουλος
C001652_el_009	οικονομολόγος
C001652_el_010	οικονομολόγος ερευνήτρια
C001652_el_011	οικονομολόγος ερευνητής
C001652_el_012	χρηματοοικονομική αναλύτρια
C001652_el_013	χρηματοοικονομικός αναλυτής
C001653_el_000	υπεύθυνος post-production/υπεύθυνη post-production
C001653_el_001	επικεφαλής post-production
C001653_el_002	υπεύθυνη post-production
C001653_el_003	υπεύθυνος post-production
C001654_el_000	συντονιστής διεθνών εμπορευματικών μεταφορών/συντονίστρια διεθνών εμπορευματικών μεταφορών
C001654_el_001	συντονίστρια διεθνών εμπορευματικών μεταφορών
C001654_el_002	συντονιστής διεθνών εμπορευματικών μεταφορών
C001655_el_000	καθηγητής φυσικής δευτεροβάθμιας εκπαίδευσης/καθηγήτρια φυσικής δευτεροβάθμιας εκπαίδευσης
C001655_el_001	καθηγήτρια φυσικής δευτεροβάθμιας εκπαίδευσης
C001655_el_002	καθηγητής φυσικής δευτεροβάθμιας εκπαίδευσης
C001656_el_000	κοινωνικός ψυχολόγος/κοινωνική ψυχολόγος
C001656_el_001	life coach
C001656_el_002	κοινωνική λειτουργός-ψυχοθεραπεύτρια
C001656_el_003	κοινωνική ψυχολόγος
C001656_el_004	κοινωνικός λειτουργός-ψυχοθεραπευτής
C001656_el_005	κοινωνικός ψυχολόγος
C001656_el_006	σύμβουλος προσωπικής ανάπτυξης
C001656_el_007	σύμβουλος σχέσεων
C001656_el_008	σύμβουλος ψυχικής υγείας
C001656_el_009	σύμβουλος-ψυχοθεραπευτής
C001656_el_010	σύμβουλος-ψυχοθεραπεύτρια
C001657_el_000	σύμβουλος δραματουργίας
C001657_el_001	δραματουργική σύμβουλος
C001657_el_002	δραματουργικός σύμβουλος
C001658_el_000	εργάτης φύλλων μετάλλου/εργάτρια φύλλων μετάλλου
C001658_el_001	εργάτης φύλλων μετάλλου
C001658_el_002	εργάτρια φύλλων μετάλλου
C001659_el_000	διαχειριστής ιπποτροφείου/διαχειρίστρια ιπποτροφείου
C001659_el_001	άλογα
C001659_el_002	διαχειρίστρια ιπποτροφείου
C001659_el_003	διαχειριστής ιπποτροφείου
C001659_el_004	διευθυντής ιπποτροφείου
C001659_el_005	διευθύντρια ιπποτροφείου
C001659_el_006	ιππασία
C001659_el_007	σταβλάρχης
C001659_el_008	σταβλάρχης ιπποτροφείου
C001659_el_009	υπεύθυνη μονάδας εκτροφής ιπποειδών
C001659_el_010	υπεύθυνος μονάδας εκτροφής ιπποειδών
C001660_el_000	αναλυτικός χημικός/αναλυτική χημικός
C001660_el_001	αναλυτική χημικός
C001660_el_002	αναλυτικός χημικός
C001660_el_003	κρυσταλλογράφος
C001661_el_000	διευθυντής καταστήματος χρωμάτων και σιδηρικών/διευθύντρια καταστήματος χρωμάτων και σιδηρικών
C001661_el_001	διευθυντής καταστήματος χρωμάτων και σιδηρικών
C001661_el_002	διευθύντρια καταστήματος χρωμάτων και σιδηρικών
C001662_el_000	διευθυντής κρεοπωλείου/διευθύντρια κρεοπωλείου
C001662_el_001	διευθυντής κρεοπωλείου
C001662_el_002	διευθύντρια κρεοπωλείου
C001663_el_000	υπάλληλος ληξιαρχείου
C001664_el_000	τεχνικός συστημάτων αυτοματισμού
C001664_el_001	ελέγκτρια συστημάτων αυτοματισμού
C001664_el_002	ελεγκτής συστημάτων αυτοματισμού
C001664_el_003	ελεγκτής/-τρια συστημάτων αυτοματισμού
C001664_el_004	επιθεωρήτρια ηλεκτρονικών συστημάτων
C001664_el_005	επιθεωρήτρια οργάνων
C001664_el_006	επιθεωρήτρια συστημάτων αυτοματισμού
C001664_el_007	επιθεωρητής ηλεκτρονικών συστημάτων
C001664_el_008	επιθεωρητής οργάνων
C001664_el_009	επιθεωρητής συστημάτων αυτοματισμού
C001664_el_010	επιθεωρητής/-τρια ηλεκτρονικών συστημάτων
C001664_el_011	επιθεωρητής/-τρια οργάνων
C001664_el_012	επιθεωρητής/-τρια συστημάτων αυτοματισμού
C001664_el_013	μηχανικός συστημάτων ελέγχου αυτοματισμού
C001664_el_014	τεχνικός αυτοματισμού
C001664_el_015	τεχνικός συστημάτων ρομποτικής
C001664_el_016	τεχνολόγος συστημάτων αυτοματισμού
C001664_el_017	τεχνολόγος συστημάτων ρομποτικής
C001665_el_000	μηχανολόγος μηχανικός
C001666_el_000	αστυνομικός υπάλληλος
C001666_el_001	αστυνομικός
C001667_el_000	οδηγός αντλιοφόρου οχήματος παράδοσης σκυροδέματος
C001667_el_001	οδηγός φορτηγού ανάμειξης τσιμέντου
C001667_el_002	χειρίστρια αντλιών τσιμέντου
C001667_el_003	χειριστής αντλιών τσιμέντου
C001668_el_000	αστρονόμος-αστροφυσικός
C001668_el_001	αστρονόμος
C001668_el_002	αστροφυσικός
C001669_el_000	τεχνικός εξωσωματικής κυκλοφορίας
C001669_el_001	perfusionist
C001669_el_002	εξωσωματίστρια
C001669_el_003	εξωσωματιστής
C001669_el_004	εξωσωματιστής/-τρια
C001669_el_005	τεχνικός εξοπλισμού εξωσωματικής κυκλοφορίας
C001669_el_006	χειρίστρια εξοπλισμού εξωσωματικής κυκλοφορίας
C001669_el_007	χειρίστρια εξωσωματικής κυκλοφορίας
C001669_el_008	χειρίστρια μηχανημάτων εξωσωματικής κυκλοφορίας
C001669_el_009	χειριστής εξοπλισμού εξωσωματικής κυκλοφορίας
C001669_el_010	χειριστής εξωσωματικής κυκλοφορίας
C001669_el_011	χειριστής μηχανημάτων εξωσωματικής κυκλοφορίας
C001669_el_012	χειριστής/-τρια εξοπλισμού εξωσωματικής κυκλοφορίας
C001669_el_013	χειριστής/-τρια εξωσωματικής κυκλοφορίας
C001669_el_014	χειριστής/-τρια μηχανημάτων εξωσωματικής κυκλοφορίας
C001670_el_000	μηχανικός κατασκευής αγωγών
C001670_el_001	pipeline engineer
C001670_el_002	μηχανικός με ειδίκευση στην κατασκευή αγωγών
C001670_el_003	μηχανικός με ειδικότητα στην κατασκευή αγωγών
C001670_el_004	πολιτικός μηχανικός με ειδίκευση στην κατασκευή αγωγών
C001670_el_005	πολιτικός μηχανικός με ειδικότητα στην κατασκευή αγωγών
C001671_el_000	μηχανικός ανάπτυξης λογισμικού ενσωματωμένων συστημάτων
C001671_el_001	μηχανικός ανάπτυξης λογισμικού ενσωματωμένου συστήματος
C001671_el_002	μηχανικός ανάπτυξης λογισμικών ενσωματωμένων συστημάτων
C001671_el_003	τεχνικός ανάπτυξης λογισμικού ενσωματωμένου συστήματος
C001671_el_004	τεχνικός ανάπτυξης λογισμικού ενσωματωμένων συστημάτων
C001671_el_005	τεχνικός ανάπτυξης λογισμικών ενσωματωμένων συστημάτων
C001672_el_000	διευθυντής επιχειρηματικής ανάπτυξης ΤΠΕ/διευθύντρια επιχειρηματικής ανάπτυξης ΤΠΕ
C001672_el_001	διευθυντής επιχειρηματικής ανάπτυξης ΤΠ
C001672_el_002	διευθυντής επιχειρηματικής ανάπτυξης ΤΠΕ
C001672_el_003	διευθυντής επιχειρηματικής ανάπτυξης τεχνολογίας πληροφορικής και επικοινωνιών
C001672_el_004	διευθυντής επιχειρηματικής ανάπτυξης τεχνολογιών πληροφοριών και επικοινωνιών
C001672_el_005	διευθυντής επιχειρηματικής ανάπτυξης των τεχνολογιών πληροφοριών και επικοινωνιών
C001672_el_006	διευθύντρια επιχειρηματικής ανάπτυξης ΤΠ
C001672_el_007	διευθύντρια επιχειρηματικής ανάπτυξης ΤΠΕ
C001672_el_008	διευθύντρια επιχειρηματικής ανάπτυξης τεχνολογίας πληροφορικής και επικοινωνιών
C001672_el_009	διευθύντρια επιχειρηματικής ανάπτυξης τεχνολογιών πληροφοριών και επικοινωνιών
C001672_el_010	διευθύντρια επιχειρηματικής ανάπτυξης των τεχνολογιών πληροφοριών και επικοινωνιών
C001673_el_000	χειριστής κλιβάνου ανόπτησης μετάλλων/χειρίστρια κλιβάνου ανόπτησης μετάλλων
C001673_el_001	χειρίστρια κλιβάνου ανόπτησης μετάλλων
C001673_el_002	χειριστής κλιβάνου ανόπτησης μετάλλων
C001674_el_000	υπεύθυνος εργασιών αποσυναρμολόγησης/υπεύθυνη εργασιών αποσυναρμολόγησης
C001674_el_001	υπεύθυνη εργασιών αποξήλωσης
C001674_el_002	υπεύθυνη εργασιών αποσυναρμολόγησης
C001674_el_003	υπεύθυνη εργασιών κατεδάφισης
C001674_el_004	υπεύθυνος εργασιών αποξήλωσης
C001674_el_005	υπεύθυνος εργασιών αποσυναρμολόγησης
C001674_el_006	υπεύθυνος εργασιών κατεδάφισης
C001675_el_000	ελεγκτής ποιότητας κέντρου κλήσεων/ελέγκτρια ποιότητας κέντρου κλήσεων
C001675_el_001	ελέγκτρια ποιότητας κέντρου κλήσεων
C001675_el_002	ελεγκτής ποιότητας κέντρου κλήσεων
C001676_el_000	υπεύθυνος ηλεκτρονικού εμπορίου/υπεύθυνη ηλεκτρονικού εμπορίου
C001676_el_001	υπεύθυνη ηλεκτρονικής δραστηριότητας
C001676_el_002	υπεύθυνη ηλεκτρονικής επιχειρηματικής δραστηριότητας
C001676_el_003	υπεύθυνη ηλεκτρονικού εμπορίου
C001676_el_004	υπεύθυνη ηλεκτρονικών δραστηριοτήτων
C001676_el_005	υπεύθυνη ηλεκτρονικών επιχειρηματικών δραστηριοτήτων
C001676_el_006	υπεύθυνος ηλεκτρονικής δραστηριότητας
C001676_el_007	υπεύθυνος ηλεκτρονικής επιχειρηματικής δραστηριότητας
C001676_el_008	υπεύθυνος ηλεκτρονικού εμπορίου
C001676_el_009	υπεύθυνος ηλεκτρονικών δραστηριοτήτων
C001676_el_010	υπεύθυνος ηλεκτρονικών επιχειρηματικών δραστηριοτήτων
C001677_el_000	νεωκόρος
C001677_el_001	καντηλανάφτης
C001677_el_002	καντηλανάφτρια
C001678_el_000	μηχανικός εγκατάστασης
C001679_el_000	χονδρέμπορος κρέατος και προϊόντων κρέατος
C001680_el_000	ηλεκτρολόγος μηχανικός συστημάτων ηλεκτρικής ισχύος
C001680_el_001	ηλεκτρολόγος μηχανικός παραγωγής ηλεκτρικής ισχύος
C001680_el_002	μηχανικός συστημάτων ηλεκτρικής ισχύος
C001681_el_000	καλλιτεχνικός εκπαιδευτής/καλλιτεχνική εκπαιδεύτρια
C001681_el_001	καλλιτεχνική εκπαιδεύτρια
C001681_el_002	καλλιτεχνικός εκπαιδευτής
C001682_el_000	ταξιδιωτικός συνοδός/ταξιδιωτική συνοδός
C001682_el_001	αεροσυνοδός
C001682_el_002	βοηθός καμπίνας
C001682_el_003	θαλαμηπόλος
C001682_el_004	προσωπικό καμπίνας αεροσκάφους
C001682_el_005	συνοδός εδάφους
C001682_el_006	συνοδός ταξιδίου
C001682_el_007	ταξιδιωτική συνοδός
C001682_el_008	ταξιδιωτικός συνοδός
C001682_el_009	φροντιστής
C001682_el_010	φροντιστής αέρος
C001683_el_000	κατασκευαστής αντιγράφων επίπλων/κατασκευάστρια αντιγράφων επίπλων
C001683_el_001	κατασκευάστρια αντιγράφων επίπλων
C001683_el_002	κατασκευαστής αντιγράφων επίπλων
C001684_el_000	διαχειριστής επικοινωνίας δεδομένων αεροπορίας/διαχειρίστρια επικοινωνίας δεδομένων αεροπορίας
C001684_el_001	διαχειρίστρια αεροπορικών δεδομένων
C001684_el_002	διαχειρίστρια επικοινωνίας δεδομένων αεροπορίας
C001684_el_003	διαχειριστής αεροπορικών δεδομένων
C001684_el_004	διαχειριστής επικοινωνίας δεδομένων αεροπορίας
C001684_el_005	σύμβουλος επικοινωνίας εροπορικών δεδομένων
C001685_el_000	καθηγητής ηλεκτρονικής και αυτοματισμού/καθηγήτρια ηλεκτρονικής και αυτοματισμού
C001685_el_001	καθηγήτρια ηλεκτρονικής και αυτοματισμού
C001685_el_002	καθηγητής ηλεκτρονικής και αυτοματισμού
C001686_el_000	συναρμολογητής πυροτεχνημάτων/συναρμολογήτρια πυροτεχνημάτων
C001686_el_001	συναρμολογήτρια πυροτεχνημάτων
C001686_el_002	συναρμολογητής πυροτεχνημάτων
C001687_el_000	διευθυντής ασφαλιστικής εταιρείας/διευθύντρια ασφαλιστικής εταιρείας
C001687_el_001	διευθυντής ασφαλιστικής εταιρείας
C001687_el_002	διευθυντής ασφαλιστικού γραφείου
C001687_el_003	διευθύντρια ασφαλιστικής εταιρείας
C001687_el_004	διευθύντρια ασφαλιστικού γραφείου
C001688_el_000	διευθυντής παραγωγής υδατοκαλλιέργειας/διευθύντρια παραγωγής υδατοκαλλιέργειας
C001688_el_001	διευθυντής παραγωγής υδατοκαλλιέργειας
C001688_el_002	διευθύντρια παραγωγής υδατοκαλλιέργειας
C001689_el_000	συντονιστής περιβαλλοντικών προγραμμάτων/συντονίστρια περιβαλλοντικών προγραμμάτων
C001689_el_001	environmental programme coordinator
C001689_el_002	συντονίστρια περιβαλλοντικών προγραμμάτων
C001689_el_003	συντονιστής περιβαλλοντικών προγραμμάτων
C001690_el_000	τεχνικός εξοπλισμού σφυρηλάτησης
C001691_el_000	συναρμολογητής πλαστικών προϊόντων/συναρμολογήτρια πλαστικών προϊόντων
C001691_el_001	συναρμολογήτρια πλαστικών ειδών
C001691_el_002	συναρμολογήτρια πλαστικών προϊόντων
C001691_el_003	συναρμολογητής πλαστικών ειδών
C001691_el_004	συναρμολογητής πλαστικών προϊόντων
C001692_el_000	πανεπιστημιακός καθηγητής φυσικής/πανεπιστημιακή καθηγήτρια φυσικής
C001692_el_001	αναπληρωτής καθηγητής φυσικής
C001692_el_002	αναπληρώτρια καθηγήτρια φυσικής
C001692_el_003	επίκουρη καθηγήτρια φυσικής
C001692_el_004	επίκουρος καθηγητής φυσικής
C001692_el_005	καθηγήτρια φυσικής
C001692_el_006	καθηγητής φυσικής
C001692_el_007	λέκτορας φυσικής
C001692_el_008	λεκτόρισσα φυσικής
C001692_el_009	πανεπιστημιακή καθηγήτρια φυσικής
C001692_el_010	πανεπιστημιακός καθηγητής φυσικής
C001693_el_000	χειριστής κλωστικής μηχανής/χειρίστρια κλωστικής μηχανής
C001693_el_001	χειρίστρια κλωστικής μηχανής
C001693_el_002	χειριστής κλωστικής μηχανής
C001694_el_000	καθηγητής ιδιαίτερων μαθημάτων/καθηγήτρια ιδιαίτερων μαθημάτων
C001694_el_001	ιδιαιτεράς
C001694_el_002	καθηγήτρια ιδιαίτερων μαθημάτων
C001694_el_003	καθηγήτρια ιδιαιτέρων
C001694_el_004	καθηγητής ιδιαίτερων μαθημάτων
C001694_el_005	καθηγητής ιδιαιτέρων
C001694_el_006	προγυμνάστρια
C001694_el_007	προγυμναστής
C001694_el_008	φροντίστρια
C001694_el_009	φροντιστής
C001695_el_000	φοροτεχνικός
C001695_el_001	ειδική σε θέματα φορολογίας
C001695_el_002	ειδικός σε θέματα φορολογίας
C001695_el_003	λειτουργός φορολογίας
C001695_el_004	σύμβουλος σε θέματα φορολογίας
C001695_el_005	φορολογική σύμβουλος
C001695_el_006	φορολογικός σύμβουλος
C001695_el_007	φοροτεχνική σύμβουλος
C001695_el_008	φοροτεχνικός σύμβουλος
C001696_el_000	καθηγητής νοηματικής γλώσσας/καθηγήτρια νοηματικής γλώσσας
C001696_el_001	δάσκαλος νοηματικής γλώσσας
C001696_el_002	δάσκαλος παιδιών με πρόβλημα ακοής
C001696_el_003	δασκάλα νοηματικής γλώσσας
C001696_el_004	δασκάλα παιδιών με πρόβλημα ακοής
C001696_el_005	καθηγήτρια νοηματικής γλώσσας
C001696_el_006	καθηγητής νοηματικής γλώσσας
C001697_el_000	κτίστης κατοικιών/κτίστρια κατοικιών
C001697_el_001	κτίστης κατοικιών
C001697_el_002	κτίστρια κατοικιών
C001697_el_003	οικοδόμος κατοικιών
C001697_el_004	χτίστης
C001698_el_000	τεχνουργός πυροτεχνικών εφέ
C001699_el_000	τεχνικός παραγωγής υποδημάτων
C001699_el_001	τεχνικός κατασκευής υποδημάτων
C001700_el_000	υπεύθυνος φιαλών αερίου/υπεύθυνη πληρώσεως φιαλών αερίου
C001700_el_001	υπεύθυνη για το γέμισμα φιαλών αερίου
C001700_el_002	υπεύθυνη πληρώσεως φιαλών αερίου
C001700_el_003	υπεύθυνος για το γέμισμα φιαλών αερίου
C001700_el_004	υπεύθυνος πληρώσεως φιαλών αερίου
C001700_el_005	χειρίστρια μηχανής πληρώσεως φιαλών αερίου
C001700_el_006	χειρίστρια μηχανημάτων πλήρωσης φιαλών αερίου
C001700_el_007	χειριστής μηχανής πληρώσεως φιαλών αερίου
C001700_el_008	χειριστής μηχανημάτων πλήρωσης φιαλών αερίου
C001701_el_000	τεχνικός σκηνικών
C001701_el_001	βοηθός σκηνογράφου
C001701_el_002	ξυλουργός
C001701_el_003	τεχνήτρια σκηνικών
C001701_el_004	τεχνίτης σκηνικών
C001701_el_005	τεχνίτρια σκηνικών
C001702_el_000	υπεύθυνος ελιγμών/υπεύθυνη ελιγμών
C001702_el_001	ελιγμοδηγός
C001702_el_002	κλειδούχος κίνησης
C001702_el_003	μηχανοδηγός σταθμού
C001702_el_004	υπεύθυνη ελιγμών
C001702_el_005	υπεύθυνος ελιγμών
C001703_el_000	ερευνητής παιδαγωγικής/ερευνήτρια παιδαγωγικής
C001703_el_001	ερευνήτρια παιδαγωγικής
C001703_el_002	ερευνήτρια σε θέματα εκπαίδευσης
C001703_el_003	ερευνητής παιδαγωγικής
C001703_el_004	ερευνητής σε θέματα εκπαίδευσης
C001704_el_000	χονδρέμπορος γαλακτοκομικών προϊότνων και βρώσιμων ελαίων
C001705_el_000	συντηρητής επίπλων/συντηρήτρια επίπλων
C001705_el_001	συντηρήτρια επίπλων
C001705_el_002	συντηρητής επίπλων
C001706_el_000	ναυπηγός αρχιτέκτονας
C001706_el_001	ναυπηγός σχεδιάστρια
C001706_el_002	ναυπηγός σχεδιαστής
C001707_el_000	δύτης εργοταξίων/δύτρια εργοταξίων
C001707_el_001	δύτης εργοταξίων
C001707_el_002	δύτρια εργοταξίων
C001708_el_000	εκπαιδευτής ναυαγοσωστικής/εκπαιδεύτρια ναυαγοσωστικής
C001708_el_001	εκπαιδευτής ναυαγοσωστικής
C001708_el_002	εκπαιδευτής ναυαγοσωστών
C001708_el_003	εκπαιδεύτρια ναυαγοσωστικής
C001708_el_004	εκπαιδεύτρια ναυαγοσωστών
C001709_el_000	σύμβουλος σε θέματα διανοητικής ιδιοκτησίας
C001709_el_001	σύμβουλος βιομηχανικής ιδιοκτησίας
C001709_el_002	σύμβουλος σε θέματα πνευματικής ιδιοκτησίας
C001710_el_000	συντάκτης ομιλιών/συντάκτρια ομιλιών
C001710_el_001	συγγραφέας λόγων
C001710_el_002	συγγραφέας ομιλιών
C001710_el_003	συντάκτης ομιλιών
C001710_el_004	συντάκτρια ομιλιών
C001711_el_000	υπεύθυνος περιποίησης τριχώματος ζώων/υπεύθυνη περιποίησης τριχώματος ζώων
C001711_el_001	groomer
C001711_el_002	υπεύθυνη για την περιποίηση τριχώματος ζώων
C001711_el_003	υπεύθυνη καλλωπισμού ζώων
C001711_el_004	υπεύθυνη να περιποιηθεί το τρίχωμα ζώων
C001711_el_005	υπεύθυνη περιποίησης τριχώματος ζώου
C001711_el_006	υπεύθυνη περιποίησης τριχώματος ζώων
C001711_el_007	υπεύθυνη περιποίησης τριχώματος των ζώων
C001711_el_008	υπεύθυνος για την περιποίηση τριχώματος ζώων
C001711_el_009	υπεύθυνος καλλωπισμού ζώων
C001711_el_010	υπεύθυνος να περιποιηθεί το τρίχωμα ζώων
C001711_el_011	υπεύθυνος περιποίησης τριχώματος ζώου
C001711_el_012	υπεύθυνος περιποίησης τριχώματος ζώων
C001711_el_013	υπεύθυνος περιποίησης τριχώματος των ζώων
C001712_el_000	ειδικός στήριξης ατόμων με ψυχικές διαταραχές
C001712_el_001	ειδική στήριξης ατόμων με ψυχικές διαταραχές
C001713_el_000	κατασκευαστής αμαξωμάτων/κατασκευάστρια αμαξωμάτων
C001713_el_001	κατασκευάστρια αμαξωμάτων
C001713_el_002	κατασκευαστής αμαξωμάτων
C001714_el_000	γραμματέας
C001714_el_001	γραμματέας σχολείου
C001714_el_002	διοικητική γραμματέας
C001714_el_003	διοικητικός γραμματέας
C001714_el_004	υπάλληλος υποδοχής
C001715_el_000	βοηθός ερευνητής/βοηθός ερευνήτρια
C001715_el_001	βοηθός ερευνήτρια
C001715_el_002	βοηθός ερευνητής
C001716_el_000	επικεφαλής ομάδας οπωροπαραγωγής
C001717_el_000	τεχνικός μηχανών χύτευσης
C001718_el_000	αναμείκτης χημικών/αναμείκτρια χημικών
C001718_el_001	αναμείκτης χημικών
C001718_el_002	αναμείκτρια χημικών
C001719_el_000	καθηγητής μουσικής δευτεροβάθμιας εκπαίδευσης/καθηγήτρια μουσικής δευτεροβάθμιας εκπαίδευσης
C001719_el_001	καθηγήτρια μουσικής δευτεροβάθμιας εκπαίδευσης
C001719_el_002	καθηγητής μουσικής δευτεροβάθμιας εκπαίδευσης
C001720_el_000	διευθυντής εισαγωγών-εξαγωγών ξυλείας και κατασκευαστικών υλικών/διευθύντρια εισαγωγών-εξαγωγών ξυλείας και κατασκευαστικών υλικών
C001720_el_001	διευθυντής εισαγωγών-εξαγωγών ξυλείας και δομικών υλικών
C001720_el_002	διευθυντής εισαγωγών-εξαγωγών ξυλείας και κατασκευαστικών υλικών
C001720_el_003	διευθυντής εισαγωγών-εξαγωγών ξυλείας και οικοδομικών υλικών
C001720_el_004	διευθύντρια εισαγωγών-εξαγωγών ξυλείας και δομικών υλικών
C001720_el_005	διευθύντρια εισαγωγών-εξαγωγών ξυλείας και κατασκευαστικών υλικών
C001720_el_006	διευθύντρια εισαγωγών-εξαγωγών ξυλείας και οικοδομικών υλικών
C001721_el_000	εκτυπωτής σχεδίων σε υφάσματα/εκτυπώτρια σχεδίων σε υφάσματα
C001721_el_001	εκτυπωτής σχεδίων σε υφάσματα
C001721_el_002	εκτυπώτρια σχεδίων σε υφάσματα
C001722_el_000	αρχηγός εκδρομής
C001722_el_001	αρχηγός εκδρομών
C001722_el_002	επικεφαλής εκδρομής
C001722_el_003	συνοδός οργανωμένων ταξιδίων
C001723_el_000	επιβλέπων αποστακτηρίου/επιβλέπουσα αποστακτηρίου
C001723_el_001	αρχιεργάτης αποστακτηρίου
C001723_el_002	αρχιεργάτρια αποστακτηρίου
C001723_el_003	επιβλέπουσα αποστακτηρίου
C001723_el_004	επιβλέπων αποστακτηρίου
C001723_el_005	επικεφαλής αποσταγματοποιός
C001723_el_006	επόπτης αποστακτηρίου
C001723_el_007	επόπτης εγκατάστασης απόσταξης
C001723_el_008	επόπτρια αποστακτηρίου
C001723_el_009	επόπτρια εγκατάστασης απόσταξης
C001724_el_000	μέλος του κοινοβουλίου
C001724_el_001	βουλευτής
C001724_el_002	βουλεύτρια
C001724_el_003	ευρωβουλευτής
C001724_el_004	ευρωβουλεύτρια
C001724_el_005	μέλος του ευρωπαϊκού κοινοβουλίου
C001725_el_000	ψυχοθεραπευτής ζώων/ψυχοθεραπεύτρια ζώων
C001725_el_001	θεραπευτής ζώου
C001725_el_002	θεραπευτής ζώων
C001725_el_003	θεραπεύτρια ζώου
C001725_el_004	θεραπεύτρια ζώων
C001725_el_005	ψυχοθεραπευτής για ζώα
C001725_el_006	ψυχοθεραπευτής ζώου
C001725_el_007	ψυχοθεραπευτής ζώων
C001725_el_008	ψυχοθεραπευτής των ζώων
C001725_el_009	ψυχοθεραπεύτρια για ζώα
C001725_el_010	ψυχοθεραπεύτρια ζώου
C001725_el_011	ψυχοθεραπεύτρια ζώων
C001725_el_012	ψυχοθεραπεύτρια των ζώων
