C000001_pl_000	Siły zbrojne
C002086_pl_003	inżynier narzędziowiec
C002086_pl_004	inżynier narzędziowy
C002087_pl_000	kierownik ds. licencji
C002087_pl_001	specjalista ds. licencji
C002088_pl_000	operator tunelowych maszyn wiertniczych
C002088_pl_001	operator maszyn drążących
C002088_pl_002	operator maszyn drążących tunele
C002089_pl_000	wykonawca rekwizytów
C002090_pl_000	kierownik ds. zgodności z przepisami i bezpieczeństwa informacji w dziedzinie gier hazardowych
C002090_pl_001	dyrektor ds. bezpieczeństwa informacji
C002090_pl_002	dyrektor ds. zgodności z przepisami
C002090_pl_003	dyrektor ds. zgodności z przepisami i bezpieczeństwa informacji w dziedzinie gier hazardowych
C002090_pl_004	kierownik ds. bezpieczeństwa informacji
C002090_pl_005	kierownik ds. zgodności z przepisami
C002091_pl_000	specjalista ds. recyklingu
C002091_pl_001	koordynator ds. recyklingu
C002092_pl_000	analityk ryzyka finansowego
C002092_pl_001	analityk ryzyka kredytowego
C002092_pl_002	analityk ryzyka operacyjnego
C002092_pl_003	menedżer ryzyka
C002093_pl_000	spawacz
C002093_pl_001	monter spawacz
C002093_pl_002	operator robota spawalniczego
C002093_pl_003	spawacz elektryczny metodą MAG
C002093_pl_004	spawacz elektryczny metodą MIG
C002093_pl_005	spawacz metodą TIG
C002093_pl_006	spawacz ręczny gazowy
C002093_pl_007	spawacz ręczny łukiem elektrycznym
C002094_pl_000	technik ds. monitorowania wód gruntowych
C002094_pl_001	technik ds. ochrony wód gruntowych
C002094_pl_002	technik ds. wód gruntowych
C002094_pl_003	technik ds. zapobiegania zanieczyszczeniom
C002095_pl_000	kierownik zmiany w rafinerii
C002095_pl_001	kierownik zmiany - rafineria
C002096_pl_000	dyrektor ds. technologii
C002096_pl_001	dyrektor ds. rozwiązań technologicznych
C002096_pl_002	dyrektor technologii
C002096_pl_003	dyrektorzy ds. technologii
C002097_pl_000	koordynator programów sportowych
C002098_pl_000	technik farmaceutyczny
C002099_pl_000	redaktor legislacyjny
C002099_pl_001	legislator
C002100_pl_000	technik medyczny diagnostyki oddechowej
C002100_pl_001	technik medyczny ds. rehabilitacji oddechowej
C002101_pl_000	inżynier ds. planowania w górnictwie
C002102_pl_000	inżynier gazownictwa - dystrybucja gazu
C002102_pl_001	inżynier gazownictwa
C002102_pl_002	inżynier gazownik
C002103_pl_000	specjalista ds. oceny ryzyka ubezpieczeniowego
C002104_pl_000	artysta sztuki wideo
C002104_pl_001	artysta multimedialny
C002104_pl_002	artysta sztuk wizualnych
C002104_pl_003	artystka multimedialna
C002104_pl_004	artystka sztuk wizualnych
C002104_pl_005	artystka sztuki wideo
C002105_pl_000	technik kontroli jakości wyrobów skórzanych
C002105_pl_001	kontroler jakości wyrobów skórzanych
C002106_pl_000	farmaceuta
C002106_pl_001	farmaceuta - specjalista farmacji aptecznej
C002106_pl_002	farmaceuta - specjalista leku roślinnego
C002106_pl_003	farmaceuta - specjalista toksykologii
C002106_pl_004	farmaceuta- specjalista mikrobiologii i biotechnologii farmaceutycznej
C002106_pl_005	farmacuta - specjalista analityki farmceutycznej
C002106_pl_006	specjalista radiofarmacji
C002107_pl_000	mistrz produkcji w budownictwie drogowym
C002108_pl_000	inżynier ds. taboru kolejowego
C002108_pl_001	konstruktor taboru kolejowego
C002109_pl_000	operator sprzętu pożarniczego
C002110_pl_000	pracownik dydaktyczny w ZOO
C002110_pl_001	przewodnik po ZOO
C002111_pl_000	dyspozytor kopalni
C002112_pl_000	rękawicznik
C002113_pl_000	sprzątacz pojazdów/sprzątaczka pojazdów
C002113_pl_001	sprzątacz pojazdów
C002113_pl_002	sprzątaczka pojazdów
C002114_pl_000	pracownik obsługi młyna gorzelniczego
C002114_pl_001	pracownik do obsługi młyna gorzelniczego
C002115_pl_000	pracownik systemu przesyłowego energii elektrycznej
C002115_pl_001	dyspozytor systemu przesyłowego energii elektrycznej
C002116_pl_000	pracownik schroniska dla zwierząt
C002117_pl_000	technik diagnostyki obrazowej
C002117_pl_001	technik elektroradiolog
C002117_pl_002	technik obrazowania radiologicznego
C002118_pl_000	kierownik techniczny
C002119_pl_000	operator maszyn do szycia
C002120_pl_000	technik silników turbośmigłowych
C002121_pl_000	dyrektor agencji tłumaczeń ustnych
C002121_pl_001	kierownik agencji tłumaczeń ustnych
C002122_pl_000	kontroler bezpieczeństwa żywności
C002122_pl_001	inspektor ds. bezpieczeństwa żywności
C002122_pl_002	kierownik ds. bezpieczeństwa żywności
C002122_pl_003	kierownik ds. jakości
C002122_pl_004	kontroler ds. bezpieczeństwa żywności
C002122_pl_005	koordynator systemu HACCP
C002123_pl_000	operator obrabiarki rotacyjnej
C002123_pl_001	operator wyoblarki
C002124_pl_000	operator maszyn wykończalniczych do skóry
C002125_pl_000	kierownik ds. importu i eksportu komputerów, urządzeń peryferyjnych i oprogramowania
C002126_pl_000	operator wariografu
C002126_pl_001	operator poligrafu
C002127_pl_000	behawiorysta zwierząt
C002127_pl_001	behawiorysta zwierzęcy
C002127_pl_002	behawioryści zwierząt
C002127_pl_003	psycholog zwierzęcy
C002128_pl_000	mistrz produkcji w przemyśle metalurgicznym
C002129_pl_000	technik filtracji napojów
C002129_pl_001	technik procesu filtracji napojów
C002129_pl_002	technik procesu klaryfikacji napojów
C002129_pl_003	technik procesów filtracji napojów
C002129_pl_004	technik procesów klaryfikacji napojów
C002130_pl_000	kompozytor
C002131_pl_000	wykładowca akademicki w dziedzinie psychologii
C002131_pl_001	pracownik naukowo-dydaktyczny w dziedzinie psychologii
C002132_pl_000	dyrektor domu towarowego
C002132_pl_001	dyrektor domu handlowego
C002133_pl_000	wiertacz w drewnie
C002133_pl_001	operator wiertarki do drewna
C002133_pl_002	wiertacz drewna
C002134_pl_000	porządkowy przy wejściu do lokalu
C002134_pl_001	bramkarz
C002135_pl_000	operator przetwórstwa mięsa
C002135_pl_001	operator procesów przetwarzania mięsa
C002135_pl_002	operator przetwarzania mięsa
C002135_pl_003	operator przetwarzania produktów mięsnych
C002135_pl_004	operatorzy przetwórstwa mięsa
C002136_pl_000	inwestor w nieruchomości
C002137_pl_000	monter wyrobów z drewna
C002138_pl_000	listonosz
C002138_pl_001	kurier
C002138_pl_002	listonoszka
C002139_pl_000	technik urządzeń i systemów energetyki wodnej
C002140_pl_000	kierownik sklepu muzycznego
C002140_pl_001	kierownik sklepu audio-wideo
C002140_pl_002	kierownik sklepu z instrumentami muzycznymi
C002140_pl_003	kierownik sklepu z płytami CD i DVD
C002141_pl_000	dyrektor programowy
C002141_pl_001	kierownik programowy
C002142_pl_000	inżynier elektroniki mikrosystemów
C002142_pl_001	inżynier systemów mikroelektromechanicznych
C002143_pl_000	fizyk
C002143_pl_001	biofizyk
C002143_pl_002	ekonofizyk
C002143_pl_003	fizyk medyczny
C002143_pl_004	fizyk nuklearny
C002144_pl_000	bileter/bileterka
C002144_pl_001	bileter
C002144_pl_002	bileterka
C002145_pl_000	operator zszywarki introligatorskiej
C002145_pl_001	operatorka zszywarki introligatorskiej
C002146_pl_000	koordynator ruchu lotniczego naziemnego
C002146_pl_001	follow me
C002146_pl_002	marszałek
C002147_pl_000	technik stacji uzdatniania wody
C002148_pl_000	operator maszyny rotograwiurowej
C002148_pl_001	operatorka maszyny rotograwiurowej
C002149_pl_000	hurtownik urządzeń i sprzętu biurowego
C002150_pl_000	kierownik ds. dystrybucji skór i wyrobów skórzanych
C002150_pl_001	kierownik ds. łańcucha dostaw skór i wyrobów skórzanych
C002151_pl_000	logopeda
C002151_pl_001	neurologopeda
C002151_pl_002	surdologopeda
C002152_pl_000	hurtownik zegarków i biżuterii
C002153_pl_000	rytownik
C002153_pl_001	grawer
C002153_pl_002	trawiacz
C002154_pl_000	technik akwakultury ds. wychowu
C002155_pl_000	pracownik obsługi osuszacza
C002155_pl_001	obsługa osuszacza
C002155_pl_002	pracownik ds. obsługi osuszacza
C002155_pl_003	pracownik ds. obsługi urządzenia suszącego
C002156_pl_000	sekser drobiu
C002156_pl_001	pracownik sprawdzający płeć drobiu
C002156_pl_002	sekser drobiowy
C002156_pl_003	sekser indyków
C002156_pl_004	sekser kur
C002156_pl_005	sekserka drobiu
C002156_pl_006	sekserzy drobiu
C002157_pl_000	pierwszy oficer - lotnictwo
C002157_pl_001	drugi pilot
C002158_pl_000	probierz
C002159_pl_000	robotnik magazynowy
C002160_pl_000	specjalista ds. importu i eksportu żywych zwierząt
C002161_pl_000	terapeuta tradycyjnej medycyny chińskiej
C002162_pl_000	specjalista ds. testowania silników kolejowych
C002163_pl_000	nauczyciel przedmiotu biznes i ekonomia w szkole ponadpodstawowej/nauczycielka przedmiotu biznes i ekonomia w szkole ponadpodstawowej
C002163_pl_001	nauczyciel przedmiotu biznes i ekonomia w zajęć artystycznych w szkole ponadpodstawowej
C002163_pl_002	nauczycielka przedmiotu biznes i ekonomia w zajęć artystycznych w szkole ponadpodstawowej
C002164_pl_000	konserwator przyrody
C002165_pl_000	kierownik ds. zakupów surowców do produkcji wyrobów skórzanych
C002166_pl_000	nauczyciel zajęć artystycznych w szkole ponadpodstawowej/nauczycielka zajęć artystycznych w szkole ponadpodstawowej
C002166_pl_001	nauczyciel zajęć artystycznych w szkole ponadpodstawowej
C002166_pl_002	nauczycielka zajęć artystycznych w szkole ponadpodstawowej
C002167_pl_000	sprzedawca biżuterii i zegarków
C002167_pl_001	sprzedawczyni biżuterii i zegarków
C002168_pl_000	kierownik ds. zarządzania wiedzą i informacją w zakresie technologii informacyjno-telekomunikacyjnych
C002168_pl_001	kierownicy ds. zarządzania wiedzą i informacją w zakresie technologii informacyjno-telekomunikacyjnych
C002168_pl_002	kierownik ds. zarządzania wiedzą i informacją w zakresie TIK
C002168_pl_003	kierownik ds. zarządzania wiedzą i informacją w zakresie technologii ICT
C002168_pl_004	kierownik ds. zarządzania wiedzą i informacją w zakresie technologii informacyjnej i telekomunikacyjnej
C002168_pl_005	kierownik ds. zarządzania wiedzą i informacją w zakresie technologii informacyjno-telekomunikacyjnej
C002168_pl_006	kierownik ds. zarządzania wiedzą i informacją w zakresie technologii informacyjnych i telekomunikacyjnych
C002168_pl_007	kierownik ds. zarządzania wiedzą i informacją w zakresie technologii informatycznych
C002169_pl_000	inżynier ds. hydrauliki siłowej
C002169_pl_001	inżynier hydrauliki siłowej
C002170_pl_000	instruktor narciarstwa
C002170_pl_001	instruktor narciarski
C002171_pl_000	inżynier wiedzy
C002171_pl_001	analityk danych
C002171_pl_002	analityk wiedzy
C002171_pl_003	inżynier ds. wiedzy
C002171_pl_004	inżynier rozwiązań semantycznych
C002171_pl_005	inżynierowie wiedzy
C002171_pl_006	inżynierzy wiedzy
C002172_pl_000	opiekun w domu pomocy społecznej
C002173_pl_000	kierownik sklepu z wyposażeniem kuchni i łazienek
C002173_pl_001	kierownik sklepu z artykułami do dekoracji wnętrz
C002173_pl_002	kierownik sklepu z artykułami wyposażenia wnętrz
C002173_pl_003	kierownik sklepu z wyposażeniem kuchni
C002173_pl_004	kierownik sklepu z wyposażeniem łazienek
C002174_pl_000	administrator sieci informacyjno-telekomunikacyjnej
C002174_pl_001	administrator sieciowy
C002174_pl_002	administratorzy sieci
C002174_pl_003	inżynier sieci
C002174_pl_004	operator sieci
C002174_pl_005	specjalista ds. konfiguracji sieci
C002175_pl_000	operator odbioru mleka
C002175_pl_001	operator dostaw mleka
C002175_pl_002	pracownik ds. dostaw mleka
C002175_pl_003	pracownik przyjęć mleka
C002176_pl_000	technik mechanik lotniczy
C002176_pl_001	mechanik pokładowy
C002177_pl_000	kierownik zakładu w przemyśle chemicznym
C002177_pl_001	dyrektor zakładu ds. operacyjnych w przemyśle technicznym
C002177_pl_002	dyrektor zakładu ds. technicznych w przemyśle chemicznym
C002177_pl_003	kierownik ds. technicznych
C002177_pl_004	kierownik zakładu ds. produkcji w przemyśle chemicznym
C002178_pl_000	maszynista
C002178_pl_001	maszynista pociągu metra
C002178_pl_002	maszynista pojazdu trakcyjnego
C002179_pl_000	nauczyciel kształcenia zawodowego/nauczycielka kształcenia zawodowego
C002179_pl_001	nauczyciel kształcenia zawodowego
C002179_pl_002	nauczyciel przedmiotów zawodowych artystycznych
C002179_pl_003	nauczyciel przedmiotów zawodowych ekonomicznych
C002179_pl_004	nauczyciel przedmiotów zawodowych medycznych
C002179_pl_005	nauczycielka kształcenia zawodowego
C002180_pl_000	operator urządzeń do produkcji nawozów sztucznych
C002181_pl_000	recepcjonista w placówce hotelarskiej/recepcjonistka w placówce hotelarskiej
C002181_pl_001	obsługa recepcji
C002181_pl_002	obsługa rezerwacji
C002181_pl_003	pracownik recepcji
C002181_pl_004	recepcjonista
C002181_pl_005	recepcjonistka
C002181_pl_006	technik hotelarstwa
C002182_pl_000	technik lotniskowych służb operacyjnych
C002182_pl_001	technik eksploatacji portów i terminali
C002182_pl_002	technik obsługi operacyjnej portu lotniczego
C002183_pl_000	kierownik ds. logistyki i dystrybucji
C002183_pl_001	dyrektor ds. logistyki i dystrybucji
C002183_pl_002	kierownik ds. dystrybucji
C002183_pl_003	kierownik ds. łańcucha dostaw
C002183_pl_004	kierownik działu logistyki
C002183_pl_005	koordynator dystrybucji
C002184_pl_000	brygadzista posadzkarz
C002185_pl_000	kierownik ośrodka sportowego
C002185_pl_001	dyrektor
C002185_pl_002	dyrektor generalna
C002185_pl_003	dyrektor generalny
C002185_pl_004	kierownik basenu pływackiego
C002185_pl_005	kierownik hali sportowej
C002185_pl_006	kierownik klubu fitness
C002186_pl_000	sprzedawca gier i zabawek
C002186_pl_001	sprzedawczyni gier i zabawek
C002187_pl_000	instruktor szkolenia w zakresie pomocy pielęgniarskiej i położnictwa
C002187_pl_001	nauczyciel przedmiotów zawodowych medycznych
C002188_pl_000	asystent terapii zajęciowej/asystentka terapii zajęciowej
C002188_pl_001	asystent terapii zajęciowej
C002188_pl_002	asystentka terapii zajęciowej
C002189_pl_000	specjalista kontroli z użyciem badań nieniszczących
C002189_pl_001	specjalista kontroli mtodami NDT
C002189_pl_002	specjalistka kontroli mtodami NDT
C002189_pl_003	specjalistka kontroli z użyciem badań nieniszczących
C002190_pl_000	stylista fryzur/stylistka fryzur
C002190_pl_001	stylista fryzur
C002190_pl_002	stylistka fryzur
C002191_pl_000	paleontolog
C002192_pl_000	budowniczy gitar
C002192_pl_001	monter gitar
C002193_pl_000	dyrektor ds. informatyzacji
C002193_pl_001	dyrektor ds. informatyki
C002193_pl_002	dyrektor ds. rozwiązań informatycznych
C002193_pl_003	dyrektor ds. technologii informatycznych
C002193_pl_004	dyrektor informatyzacji
C002193_pl_005	dyrektorzy ds. informatyzacji
C002194_pl_000	szef sztabu wyborczego/szefowa sztabu wyborczego
C002194_pl_001	szef kampanii wyborczej
C002194_pl_002	szef sztabu wyborczego
C002194_pl_003	szefowa kampanii wyborczej
C002194_pl_004	szefowa sztabu wyborczego
C002195_pl_000	mistrz produkcji w przemyśle elektronicznym
C002196_pl_000	instruktor nauki jazdy samochodem osobowym
C002196_pl_001	instruktorka nauki jazdy samochodem osobowym
C002197_pl_000	kierownik agencji tłumaczeń pisemnych
C002197_pl_001	dyrektor agencji tłumaczeń pisemnych
C002198_pl_000	szlifierz-ostrzarz
C002198_pl_001	operator ostrzarki narzędziowej
C002198_pl_002	operatorka ostrzarki narzędziowej
C002199_pl_000	inżynier ds. kontraktów
C002200_pl_000	marynarz motorzysta żeglugi śródlądowej
C002201_pl_000	monter taboru szynowego
C002201_pl_001	monter taboru kolejowego
C002202_pl_000	specjalista ds. importu i eksportu komputerów, urządzeń peryferyjnych i oprogramowania
C002203_pl_000	doradca do spraw planowania rodziny
C002204_pl_000	operator produkcji rybnej
C002204_pl_001	operator procesów produkcji rybnej
C002204_pl_002	operator produkcji wyrobów rybnych
C002204_pl_003	operator produkcji wyrobów z ryb
C002205_pl_000	prezenter wiadomości/prezenterka wiadomości
C002205_pl_001	prezenter wiadomości
C002205_pl_002	prezenterka wiadomości
C002206_pl_000	specjalista ds. kontroli jakości silników kolejowych
C002207_pl_000	pracownik ochrony obsługujący bramki elektromagnetyczne
C002208_pl_000	specjalista ds. zdrowia zwierząt wodnych
C002209_pl_000	analityk kosztów
C002210_pl_000	asystent organizatora imprez zbiorowych
C002210_pl_001	asystent organizatora eventów
C002210_pl_002	asystent organizatora imprez rozrywkowych
C002210_pl_003	asystent organizatora usług konferencyjnych
C002211_pl_000	rysownik odzieży - operator CAD
C002211_pl_001	projektant odzieży CAD
C002212_pl_000	technik ds. analiz gleby
C002213_pl_000	opiekun zwierząt domowych
C002213_pl_001	niania dla zwierząt
C002213_pl_002	opiekun zwierząt
C002213_pl_003	opiekun zwierzęcia domowego
C002213_pl_004	opiekunka zwierząt domowych
C002213_pl_005	opiekunowie zwierząt domowych
C002213_pl_006	wyprowadzacz psów
C002214_pl_000	operator maszyn do produkcji mebli z tworzyw sztucznych
C002214_pl_001	operator maszyn do produkcji mebli plastikowych
C002215_pl_000	operator urządzeń do przetwórstwa mięsa
C002215_pl_001	operator konserwacji przetworzonych produktów mięsnych
C002215_pl_002	operator przetwarzania mięsa
C002215_pl_003	operator przetworzonych produktów z mięsa
C002215_pl_004	operatorzy przetworzonych produktów mięsnych
C002216_pl_000	kierownik do spraw importu i eksportu maszyn wykorzystywanych w górnictwie, budownictwie oraz inżynierii lądowej i wodnej
C002217_pl_000	kaskader
C002217_pl_001	kaskaderka
C002218_pl_000	pracownik ds. podatków
C002219_pl_000	inżynier sprzedaży
C002219_pl_001	inżynier handlowiec
C002220_pl_000	instruktor szkolenia wojskowego służby przygotowawczej i oficerskiej
C002221_pl_000	pracownik do spraw lokalnej pomocy społecznej
C002221_pl_001	pracownik do spraw lokalnej opieki socjalnej
C002222_pl_000	kierownik zakładu usług pogrzebowych
C002223_pl_000	inżynier włókiennik
C002224_pl_000	inspektor jakości wyrobów tekstylnych
C002224_pl_001	kontroler jakości tkanin
C002225_pl_000	specjalista ds. analiz sensorycznych
C002225_pl_001	specjalista ds. analizy sensorycznej
C002226_pl_000	operator maszyn do usuwania zadziorów
C002226_pl_001	operator gratownicy
C002227_pl_000	tartacznik
C002227_pl_001	operator maszyn tartacznych
C002228_pl_000	twórca interfejsu użytkownika
C002228_pl_001	deweloper interfejsów użytkownika
C002228_pl_002	projektant interfejsów użytkownika
C002228_pl_003	twórca UI
C002228_pl_004	twórca interfejsów użytkownika
C002228_pl_005	twórcy interfejsu użytkownika
C002229_pl_000	operator zautomatyzowanej linii produkcyjnej
C002230_pl_000	mineralog
C002231_pl_000	robotnik na platformie wiertniczej
C002231_pl_001	pomocnik pokładowy
C002231_pl_002	pomocnik wiertniczy
C002232_pl_000	specjalista w zakresie działań wojennych
C002232_pl_001	analityk
C002232_pl_002	specjalista w zakresie wojny elektronicznej
C002232_pl_003	specjalistka w zakresie działań wojennych
C002232_pl_004	specjalistka w zakresie wojny elektronicznej
C002233_pl_000	inżynier elektryk
C002234_pl_000	operator maszyn do produkcji prefabrykatów betonowych
C002235_pl_000	przewodnik górski
C002235_pl_001	przewodnik turystyczny górski
C002235_pl_002	przewodnik wycieczek
C002236_pl_000	sprzedawca artykułów gospodarstwa domowego
C002236_pl_001	sprzedawczyni artykułów gospodarstwa domowego
C002237_pl_000	kierownik ds. dystrybucji produktów chemicznych
C002237_pl_001	kierownik ds. łańcucha dostaw produktów chemicznych
C002238_pl_000	scenograf
C002239_pl_000	brygadzista stolarz
C002239_pl_001	brygadzista stolarni
C002240_pl_000	laborant chemiczny
C002240_pl_001	pracownik laboratorium chemicznego
C002240_pl_002	pracownik laboratorium techniki jądrowej
C002240_pl_003	technik analityk
C002240_pl_004	technik chemik
C002241_pl_000	pracownik do wykańczania odzieży
C002242_pl_000	pracownik wytwórni produktów nabiałowych
C002242_pl_001	pracownik wytwórni produktów mlecznych
C002242_pl_002	pracownik zakładu przetwórstwa mlecznego
C002242_pl_003	pracownik zakładu przetwórstwa nabiału
C002243_pl_000	asystent pielęgniarski/asystentka pielęgniarska
C002243_pl_001	asystent pielęgniarski
C002243_pl_002	asystentka pielęgnarska
C002244_pl_000	kierownik punktu zakładów bukmacherskich
C002245_pl_000	oświetleniowiec
C002245_pl_001	operator konsolety oświetleniowej
C002246_pl_000	kierownik sklepu z amunicją
C002246_pl_001	kierownik sklepu myśliwskiego
C002246_pl_002	kierownik sklepu z bronią
C002247_pl_000	urzędnik ds. kontroli przestrzegania praw człowieka
C002248_pl_000	parkingowy
C002249_pl_000	barwiarz tkanin
C002249_pl_001	barwiarz
C002249_pl_002	farbiarz
C002249_pl_003	farbiarz tkanin
C002250_pl_000	mechanik okrętowy
C002250_pl_001	maszynista okrętowy
C002251_pl_000	brygadzista elektryk
C002252_pl_000	operator maszyn do odbarwiania makulatury metodą mycia
C002253_pl_000	strażak
C002254_pl_000	projektant makiet scenograficznych
C002254_pl_001	wykonawca makiet scenograficznych
C002255_pl_000	instruktor muzyczny
C002255_pl_001	nauczyciel akademicki muzyki
C002256_pl_000	monter maszyn i urządzeń okrętowych
C002257_pl_000	operator nawijarki do włókien
C002257_pl_001	operator maszyn do nawijania włókien
C002257_pl_002	operator nawijarki włókien
C002258_pl_000	asystent rekreacji ruchowej
C002258_pl_001	asystent klubu fitness
C002258_pl_002	asystent siłowni
C002258_pl_003	pracownik spa
C002258_pl_004	ratownik morski
C002258_pl_005	ratownik wodny
C002259_pl_000	operator suszarni do gliny
C002259_pl_001	operator urządzeń do suszenia gliny
C002260_pl_000	koordynator ruchu statków
C002260_pl_001	specjalista ds. organizacji ruchu wodnego
C002260_pl_002	specjalista ds. organizacji ruchu żeglugowego
C002261_pl_000	kierownik ds. importu i eksportu elektronicznego i telekomunikacyjnego sprzętu i części
C002262_pl_000	wytwórca lalek
C002262_pl_001	lalkarka
C002262_pl_002	lalkarz
C002262_pl_003	wytwórczyni lalek
C002263_pl_000	specjalista ds. importu i eksportu zegarków i biżuterii
C002264_pl_000	specjalista ds. rozpatrywania wniosków o dotacje
C002265_pl_000	inżynier gazownictwa - produkcja gazu
C002265_pl_001	inżynier gazownictwa
C002265_pl_002	inżynier gazownik
C002266_pl_000	tokarz frezer
C002267_pl_000	kierownik produkcji ds. lokacji
C002267_pl_001	kierownik produkcji ds. lokalizacji
C002268_pl_000	nauczyciel geografii w szkole ponadpodstawowej/nauczycielka geografii w szkole ponadpodstawowej
C002268_pl_001	nauczyciel geografii w szkole ponadpodstawowej
C002268_pl_002	nauczycielka geografii w szkole ponadpodstawowej
C002269_pl_000	konserwator urządzeń oczyszczania ścieków
C002270_pl_000	opiekun klienta w dziedzinie technologii informacyjno-telekomunikacyjnych
C002270_pl_001	opiekun klienta w dziedzinie TIK
C002270_pl_002	opiekun klienta w dziedzinie technologii ICT
C002270_pl_003	opiekun klienta w dziedzinie technologii informacyjnej i telekomunikacyjnej
C002270_pl_004	opiekun klienta w dziedzinie technologii informacyjno-telekomunikacyjnej
C002270_pl_005	opiekun klienta w dziedzinie technologii informacyjnych i telekomunikacyjnych
C002270_pl_006	opiekun klienta w dziedzinie technologii informatycznych
C002270_pl_007	opiekunka klienta w dziedzinie technologii informacyjno-telekomunikacyjnych
C002270_pl_008	opiekunowie klienta w dziedzinie technologii informacyjno-telekomunikacyjnych
C002270_pl_009	specjalista ds. obsługi klienta w dziedzinie technologii informacyjno-telekomunikacyjnych
C002271_pl_000	ekolog
C002272_pl_000	złotnik-jubiler
C002272_pl_001	złotnik
C002273_pl_000	technik kontroli jakości obuwia
C002273_pl_001	kontroler jakości obuwia
C002274_pl_000	specjalista ds. emisji papierów wartościowych
C002275_pl_000	prywatny pilot
C002275_pl_001	pilot prywatnego samolotu
C002276_pl_000	reżyser
C002276_pl_001	dyrektor cyrku
C002276_pl_002	reżyser teatralny
C002277_pl_000	specjalista ds. dietetyki
C002277_pl_001	dietetyczka
C002277_pl_002	dietetyk
C002278_pl_000	specjalista ds. chromatografii
C002278_pl_001	specjalista ds. chromatografii gazowej
C002279_pl_000	technolog pakowania żywności i napojów
C002279_pl_001	technolog pakowania produktów spożywczych i napojów
C002279_pl_002	technolog procesu pakowania produktów spożywczych i napojów
C002279_pl_003	technolog procesu pakowania żywności i napojów
C002279_pl_004	technolog procesów pakowania produktów spożywczych i napojów
C002279_pl_005	technolog procesów pakowania żywności i napojów
C002280_pl_000	inspektor składowiska odpadów
C002281_pl_000	szkutnik
C002281_pl_001	szkutniczka
C002282_pl_000	wykładowca akademicki w dziedzinie nauk o przestrzeni kosmicznej
C002282_pl_001	pracownik naukowo-dydaktyczny w dziedzinie nauk o przestrzeni kosmicznej
C002283_pl_000	urzędnik ds. administracji w instytucji obronnej
C002283_pl_001	kierownik ds. administracji w instytucji obronnej
C002284_pl_000	operator urządzeń do produkcji farb
C002284_pl_001	operator mieszalnika farb
C002285_pl_000	specjalista grawerowania w metalu
C002285_pl_001	rytowniczka
C002285_pl_002	rytownik
C002286_pl_000	menedżer winnicy
C002287_pl_000	specjalista ds. kontroli jakości silników pojazdów mechanicznych
C002287_pl_001	diagnosta silników pojazdów mechanicznych
C002288_pl_000	kierownik projektów w zakresie technologii informacyjno-telekomunikacyjnych
C002288_pl_001	kierownicy projektów w zakresie technologii informacyjno-telekomunikacyjnych
C002288_pl_002	kierownik projektów w zakresie TIK
C002288_pl_003	kierownik projektów w zakresie technologii ICT
C002288_pl_004	kierownik projektów w zakresie technologii informacyjnej i telekomunikacyjnej
C002288_pl_005	kierownik projektów w zakresie technologii informacyjno-telekomunikacyjnej
C002288_pl_006	kierownik projektów w zakresie technologii informacyjnych i telekomunikacyjnych
C002288_pl_007	kierownik projektów w zakresie technologii informatycznych
C002289_pl_000	koordynator ds. zgodności rurociągów
C002290_pl_000	mechanik sprzętu ciężkiego
C002291_pl_000	wytwórca dywanów
C002291_pl_001	wytwórczymi dywanów metodą rękodzielniczą
C002292_pl_000	operator rozdmuchiwarki
C002293_pl_000	operator maszyn do walcowania tworzyw sztucznych
C002294_pl_000	kierownik sklepu ortopedycznego
C002295_pl_000	inżynier mechanik - maszyny i urządzenia przemysłowe
C002296_pl_000	agent klarujący
C002297_pl_000	autor tekstów i sloganów reklamowych
C002297_pl_001	adiustator
C002297_pl_002	asystent wydawniczy
C002297_pl_003	korektor
C002297_pl_004	korektorka
C002298_pl_000	nauczyciel w szkole freinetowskiej/nauczycielka w szkole freinetowskiej
C002298_pl_001	nauczyciel w szkole freinetowskiej
C002298_pl_002	nauczycielka w szkole freinetowskiej
C002299_pl_000	doradca polityczny
C002299_pl_001	doradca premiera
C002299_pl_002	doradca prezydenta
C002300_pl_000	hurtownik surowców rolnych, nasion i paszy
C002301_pl_000	kierownik ds. importu i eksportu maszyn i urządzeń biurowych
C002302_pl_000	inżynier mikroelektroniki
C002302_pl_001	inżynier mikroelektronik
C002303_pl_000	architekt
C002303_pl_001	architekt wnętrz
C002304_pl_000	administrator baz danych
C002304_pl_001	administrator bazy danych
C002304_pl_002	administrator danych
C002304_pl_003	administrator hurtowni danych
C002304_pl_004	administratorzy baz danych
C002304_pl_005	specjalista ds. konfiguracji baz danych
C002305_pl_000	monter namiotów
C002305_pl_001	monter namiotów cyrkowych
C002305_pl_002	monter namiotów halowych
C002305_pl_003	monter namiotów wystawienniczych
C002306_pl_000	kierownik przychodni
C002307_pl_000	specjalista ds. dozorowania lotniczego i koordynacji kodów
C002308_pl_000	specjalista ds. komunikacji technicznej
C002308_pl_001	autor dokumentacji technicznej
C002308_pl_002	specjalista do spraw komunikacji technicznej
C002308_pl_003	specjalista ds. dokumentacji
C002308_pl_004	specjalista ds. dokumentacji technicznej
C002308_pl_005	specjalistka ds. komunikacji technicznej
C002308_pl_006	specjaliści ds. komunikacji technicznej
C002309_pl_000	animator turystyki
C002309_pl_001	animator czasu wolnego gości
